lsoa,retained_for_fit,min_direction_activity,exclusion_reason,cluster,LSOA21CD,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,MEU,HDU,OUT,n_lsoa11_sources,signature_dominant_code,signature_dominant_type,distance_centre_km,signature_dominant_collapsed
E01032623,True,39.70663,retained,0,E01032623,0.0,0.9451889782089327,0.0,0.0,0.043316859189699373,0.0,1.407197193418627e-05,0.0,0.0,0.011480090629433897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ACS,Accessible suburbia,18.82186688694028,ACS
E01032639,True,2176.61633,retained,1,E01032639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8531139188506374,0.0,0.14688608114936266,0.0,0.0,0.0,1,LOU,Local urbanity,2.6640586690305095,LOU
E01032640,True,692.38643,retained,3,E01032640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,REU,Regional urbanity,3.564881592146188,REU
E01032719,True,397.51766,retained,1,E01032719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08258391935167375,0.0,0.9174160806483262,0.0,0.0,0.0,1,REU,Regional urbanity,2.465368452306198,REU
E01032739,True,28277.16704,retained,1,E01032739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7527688611173039,0.04282512344038464,0.2044060154423115,0.0,0.0,1,DIU,Concentrated urbanity,2.771012720531931,OTHER_RARE
E01032740,True,5127.98489,retained,1,E01032740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,DIU,Concentrated urbanity,1.6571435789330196,OTHER_RARE
E01032741,True,3096.98692,retained,1,E01032741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0456198315628996,0.8889222090388023,0.06545795939829806,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,23.015590837493512,CRN
E01032742,True,148.98126,retained,2,E01032742,0.0,0.07772239617970873,0.0,0.0,0.0,0.009972008582194611,0.0,0.0,0.0,0.9123055952380966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods,23.40681244067073,CRN
E01032744,True,1411.98023,retained,1,E01032744,0.0,0.0,0.0,0.0,0.0,0.032159239839829344,0.0,0.18302810548761414,0.7848126546725565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,17.29856150025203,DRN
E01032764,True,1735.00208,retained,1,E01032764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,7.9201788414604115,LOU
E01032765,True,75.70499,retained,3,E01032765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,7.570105726514037,LOU
E01032767,True,250.52255,retained,2,E01032767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5650306215124271,0.4349693784875729,0.0,0.0,1,REU,Regional urbanity,3.8965180576745464,REU
E01032769,True,985.26575,retained,1,E01032769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,5.885218291165411,LOU
E01032771,True,1396.05411,retained,1,E01032771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,7.455278739362301,LOU
E01032777,True,176.88941,retained,2,E01032777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15990269788703904,0.840097302112961,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,8.515064054471214,LOU
E01032780,True,509.79281,retained,2,E01032780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739016287704412,0.9782609837122956,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,7.98147297696997,LOU
E01032781,True,611.54971,retained,1,E01032781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,6.968467570144328,LOU
E01032783,True,746.89364,retained,1,E01032783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706706950012144,0.9293293049987856,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,7.352200624018052,LOU
E01032786,True,455.4108,retained,1,E01032786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,6.208540894294627,LOU
E01032788,True,337.64908,retained,0,E01032788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26127816373108365,0.0,0.7387218362689163,0.0,0.0,0.0,1,REU,Regional urbanity,5.940856711544799,REU
E01032789,True,128.45223,retained,0,E01032789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,REU,Regional urbanity,5.451502621084955,REU
E01033081,True,719.41453,retained,2,E01033081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028331756661827363,0.0,0.9716682433381727,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,12.419134039562808,DUN
E01033082,True,2686.44128,retained,1,E01033082,0.0,0.0,0.0,0.0,0.003254328373327056,0.0,0.0,0.0,0.13502381985945003,0.0,0.8605528800186852,0.0011689717485375765,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,12.819568621430603,DUN
E01033083,True,1163.00471,retained,2,E01033083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990697673996813,0.0,0.0009302326003185195,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,16.96988593903763,DRN
E01033084,True,8064.4816,retained,1,E01033084,0.0,0.02446749306046406,0.0,0.0,0.0,0.0,0.0,0.0,0.6662969381183149,0.08005769626884074,0.22917787255238006,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,17.000777406568716,DRN
E01033098,True,1532.25527,retained,1,E01033098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,REU,Regional urbanity,3.425339801675275,REU
E01033099,True,122.95772,retained,2,E01033099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8652142899038846,0.0,0.13478571009611537,0.0,0.0,0.0,1,LOU,Local urbanity,5.279310358991311,LOU
E01033100,True,1707.20246,retained,1,E01033100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649907342479779,0.0,0.23500926575202213,0.0,0.0,0.0,1,LOU,Local urbanity,3.7489169719110818,LOU
E01033132,True,1498.4547,retained,0,E01033132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07264403414947275,0.0,0.9273559658505274,0.0,0.0,0.0,1,REU,Regional urbanity,3.1319747510202847,REU
E01033133,True,224.37002,retained,2,E01033133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7228171730655476,0.0,0.27718282693445234,0.0,0.0,0.0,1,LOU,Local urbanity,5.55398529684034,LOU
E01033146,True,89.8749,retained,0,E01033146,0.0,0.0,0.0,0.0,0.12774390317017514,0.0,0.0,0.0,0.8722560968298249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods,14.281386991036337,DRN
E01033148,True,78.52029,retained,2,E01033148,0.0,0.0,0.26618730137358926,0.0,0.7338126986264109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land,19.251159604205068,WAL
E01033150,True,258.05041,retained,2,E01033150,0.0,0.0,0.6549333812761646,0.0,0.34506661872383537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl,19.667709777226953,OPS
E01033151,True,96.21425,retained,0,E01033151,0.0,0.0,0.14903311369376887,0.0,0.7271391252625546,0.0,0.0,0.0,0.12077343084072505,0.0,0.0030543302029515484,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land,14.440911657765676,WAL
E01033320,True,147.10049,retained,2,E01033320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,10.865292384528448,DUN
E01033322,True,123.68362,retained,2,E01033322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,10.738434000636182,DUN
E01033324,True,46.26142,retained,2,E01033324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032853874687772,0.19671461253122277,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,8.329293467070007,DUN
E01033327,True,7769.60245,retained,1,E01033327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,9.489558529267345,DUN
E01033341,True,143.51316,retained,3,E01033341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,9.7642265703823,DUN
E01033455,True,328.05091,retained,2,E01033455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,8.678040973455913,DUN
E01033456,True,309.80789,retained,1,E01033456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001017704790168496,0.0,0.9989822952098314,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods,10.393251223058735,DUN
E01033463,True,322.02971,retained,3,E01033463,0.0,0.62026219569114,0.023812724200159428,0.0,0.15183020973240044,0.0,0.0,0.027747934306447078,0.04942992389109184,0.12691701217876125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,ACS,Accessible suburbia,14.239602204824596,ACS
E01033486,True,375.87326,retained,2,E01033486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,LOU,Local urbanity,4.819140784264958,LOU
