unit,Station,mode_label,is_lu,easting,northing,lon,lat,matched_name,coord_source
1022,Haggerston,LO,False,533561.0,183929.0,-0.07559,51.53847,Haggerston Station,naptan_rse_tmu
1023,Hoxton,LO,False,533569.5,183101.0,-0.07578,51.531025,Hoxton Station,naptan_rse_tmu
1024,Shoreditch High Street,LO,False,533616.0,182263.0,-0.07543,51.52348,Shoreditch High Street Station,naptan_rse_tmu
1039,Rotherhithe,LO,False,535302.0,179778.0,-0.05209,51.50075,Rotherhithe Station,naptan_rse_tmu
1082,Shadwell LO,"DLR,LO",False,534988.5,180957.5,-0.056155,51.511425,Shadwell Rail Station,naptan_rse_tmu
1083,Surrey Quays,LO,False,535603.0,178978.5,-0.048065,51.493495,Surrey Quays Station,naptan_rse_tmu
1085,Wapping,LO,False,535021.0,180174.0,-0.05599,51.50438,Wapping Station,naptan_rse_tmu
1335,Barking Riverside,LO,False,546928.5,182180.5,0.116295,51.51944,Barking Riverside Station,naptan_rse_tmu
1395,Bushey,LO,False,,,,,,
1398,Hatch End,LO,False,513048.0,191312.0,-0.36885,51.6093,Hatch End,naptan_rse_tmu
1402,Watford Junction,LO,False,,,,,,
1404,Acton Central,LO,False,520639.0,180301.5,-0.26305500000000004,51.50877,Acton Central Station,naptan_rse_tmu
1409,Gospel Oak,LO,False,528285.0,185645.0,-0.151,51.55511,Gospel Oak Station,naptan_rse_tmu
1413,Hampstead Heath,LO,False,527263.0,185652.0,-0.16573,51.55541,Hampstead Heath Station,naptan_rse_tmu
1415,Kilburn High Road,LO,False,525448.0,183602.0,-0.19262,51.53739,Kilburn High Road Station,naptan_rse_tmu
1429,Dalston Kingsland,LO,False,533525.0,185013.0,-0.0757,51.54822,Dalston Kingsland Station,naptan_rse_tmu
1434,Headstone Lane,LO,False,513890.5,190580.0,-0.356925,51.60255,Headstone Lane Station,naptan_rse_tmu
1437,Brondesbury,LO,False,524781.0,184460.0,-0.20193,51.54525,Brondesbury Station,naptan_rse_tmu
1438,Brondesbury Park,LO,False,524240.0,183966.0,-0.2099,51.54093,Brondesbury Park Station,naptan_rse_tmu
1439,Caledonian Road & Barnsbury,LO,False,530771.0,184379.0,-0.11563,51.54317,Caledonian Road & Barnsbury Station,naptan_rse_tmu
1440,Camden Road,LO,False,529182.0,184174.0,-0.1386,51.54169,Camden Road Station,naptan_rse_tmu
1441,Canonbury,LO,False,532397.0,185039.0,-0.09195,51.54872,Canonbury Station,naptan_rse_tmu
1442,Carpenders Park,LO,False,,,,,,
1443,Dalston Junction,LO,False,533562.0,184744.5,-0.075265,51.545795,Dalston Junction Station,naptan_rse_tmu
1445,Finchley Road & Frognal,LO,False,526094.0,185044.0,-0.1828,51.5502,Finchley Road & Frognal Station,naptan_rse_tmu
1448,Kensal Rise,LO,False,523571.0,183243.0,-0.2198,51.534575000000004,Kensal Rise Station,naptan_rse_tmu
1449,Kentish Town West,LO,False,528620.0,184687.0,-0.14652,51.54643,Kentish Town West Station,naptan_rse_tmu
1451,South Hampstead,LO,False,526356.0,184079.0,-0.17937,51.54147,South Hampstead Station,naptan_rse_tmu
1452,South Acton,LO,False,520149.5,179240.5,-0.27046499999999996,51.499345,South Acton Station,naptan_rse_tmu
