cluster,low,medium,high
0,56.17977528089888,38.20224719101123,5.617977528089887
1,3.8461538461538463,15.384615384615385,80.76923076923077
2,28.888888888888886,24.444444444444443,46.666666666666664
3,22.58064516129032,38.70967741935484,38.70967741935484
4,15.568862275449103,44.31137724550898,40.119760479041915
