NLC,total_activity,log_total_activity,direction_balance,post_2300_share,midnight_share_common_window,night_tube_extension_share,post_0100_share,common_window_persistence,weekend_common_ratio,volume_band,cluster,Station,mode_label,tot_entry,tot_exit
522,40149.850876836455,10.600398911599578,-0.46426870870691717,0.1636144376935991,0.043395466112025875,0.066153868739834,0.032071948495474165,0.06810773671161612,0.8140081796458517,high,4,Blackhorse Road,"LO,LU",10754.765727736152,29395.085149100323
523,5855.107481398567,8.675240409536677,-0.31992878951089904,0.1541799468550381,0.0626034275549423,0.015183504681113805,0.010913965172170591,0.10181484741772676,0.8755031251920741,low,3,King George V,DLR,1990.9450162092585,3864.162465189309
524,153076.6295053877,11.938700454087806,0.5007499363919709,0.09031433868082879,0.021448964985088182,0.02179458344567879,0.010179287762333256,0.030508887326179988,0.7375944902654422,high,1,Bond Street,"EZL,LU",114864.87099665396,38211.75850873378
525,17856.60961822,9.790185005507837,0.0011946318162342497,0.13285126186997165,0.04016916027578681,0.003356876578052015,0.0019604272688070086,0.06451721617121824,0.8829796394422516,medium,2,Borough,LU,8938.970846100001,8917.638772120004
526,4990.382503890156,8.515468205260753,-0.49397783160273456,0.16793488494376194,0.04371644193600812,0.07604906423057559,0.035903454084473124,0.0684007006861509,0.8362006842500928,low,4,Boston Manor,LU,1262.6220878751355,3727.76041601502
527,17652.05632646356,9.778664210342905,-0.5566022359120963,0.17029287875175605,0.04832174240954921,0.07044611102905199,0.03471130236368786,0.07538475561487695,0.7561632338523945,medium,4,Bounds Green,LU,3913.441153353837,13738.615173109723
528,18998.70603240849,9.852178786050384,-0.3160873117916718,0.1501208928900541,0.047961938970614966,0.01351528483335554,0.007814807208635068,0.08028601699328157,0.8216225232848932,medium,4,Bow Road,LU,6496.728057552135,12501.977974856343
529,6647.912770347753,8.802208627102644,-0.376181764789266,0.14020431788081308,0.036580477221383266,0.052109766589508937,0.02391878678966139,0.054543897171735446,0.7344192556304447,low,4,Brent Cross,LU,2073.5446061166176,4574.3681642311385
530,15791.65384053436,9.667300164092156,-0.38973318993784273,0.14196662773089871,0.04492177571428076,0.012958955390614998,0.007243591685296712,0.07192562760796535,0.8624137336975358,medium,4,Bromley-by-Bow,LU,4818.561107434362,10973.092733099998
531,8184.041335866072,9.010063539989925,-0.5276630535929537,0.13368691410330807,0.038631987228467675,0.04024741270168417,0.020187217998870865,0.0563178473383104,0.7563627752523807,low,0,Buckhurst Hill,LU,1932.812546926012,6251.228788940059
