NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2,area_share
500,E01001202,1,342.9848155084575,1231702.4429543177,0.0002784640214610489
500,E01001231,5,232367.14252641096,1231702.4429543177,0.18865525830172375
500,E01001232,5,1056.5045089920684,1231702.4429543177,0.0008577595303440126
500,E01001351,2,106136.62926765755,1231702.4429543177,0.08617067366780731
500,E01001353,2,200381.42462247514,1231702.4429543177,0.16268655288354172
500,E01001354,4,84033.93427162491,1231702.4429543177,0.06822584038240932
500,E01001356,2,32723.20021776009,1231702.4429543177,0.026567455804724548
500,E01001358,2,118648.70203047694,1231702.4429543177,0.09632903036701818
500,E01002562,5,180355.0162671951,1231702.4429543177,0.1464274243335931
500,E01002691,4,275656.9044262163,1231702.4429543177,0.22380154070737693
501,E01000001,1,104883.69882723488,506176.4778921934,0.20720776924283163
501,E01000002,1,21278.675562081997,506176.4778921934,0.042038056866431424
501,E01000003,1,41995.90703347424,506176.4778921934,0.08296692728265935
501,E01002703,1,25828.143662160954,506176.4778921934,0.05102596582463456
501,E01002704,1,10737.37375181898,506176.4778921934,0.02121270786135947
501,E01002706,1,40307.835499168024,506176.4778921934,0.07963198066219283
501,E01002724,1,1728.9817115404253,506176.4778921934,0.0034157685847833246
501,E01032740,1,64144.642588073606,506176.4778921934,0.12672387080328784
501,E01033489,1,43605.15004321496,506176.4778921934,0.08614614062035116
501,E01033490,1,151666.06921342536,506176.4778921934,0.2996308122514684
502,E01000005,1,147838.36112763043,290636.5934303945,0.5086708434842591
502,E01004307,1,44227.461783696715,290636.5934303945,0.15217444321679643
502,E01004310,1,20267.71623179638,290636.5934303945,0.06973559658326495
502,E01032739,1,67347.65272089285,290636.5934303945,0.23172461501143404
502,E01032767,2,10955.401566378088,290636.5934303945,0.037694501704245424
503,E01004306,1,44722.75859409632,525377.6255496411,0.08512497757647774
503,E01004307,1,49504.700132680075,525377.6255496411,0.09422689076431282
503,E01004308,2,1435.0955946870358,525377.6255496411,0.0027315506502311807
