cluster,lnwc_group,enrichment_ratio
0,7,3.187852509568618
0,6,2.797098932258271
1,1,3.852399853083902
1,3,1.1657404547276593
2,1,2.0313141302851028
2,2,1.241938434920874
3,2,1.6245969389151056
3,3,1.3541526903325758
4,4,1.2767468762259804
4,5,1.1540370785720862
