cluster,lnwc_group,enrichment_ratio
0,7,2.3625043156209786
0,6,1.6144770267690634
1,1,2.0160743478856107
1,2,1.6197373973447593
2,6,1.1577950671929544
2,5,1.1458178768426823
3,6,1.393435113328406
3,7,1.3639333201685098
