cluster,metric,n,median,q25,q75,mean
0,log_total_activity,89,8.920244539574648,8.470021131858534,9.337228930909431,8.870656782247273
0,direction_balance,89,-0.5451679095179625,-0.603360044808606,-0.46710173294928203,-0.5234940690982774
0,post_2300_share,89,0.12284829463184375,0.10805559808057263,0.13462472635874345,0.11901253283478992
0,weekend_common_ratio,89,0.6626461522950106,0.6249759259821055,0.723416207402623,0.6701855510292118
1,log_total_activity,26,10.997810281753214,10.064682544017803,11.709109086416316,10.833454654227747
1,direction_balance,26,0.37785957549240695,0.17770560547163972,0.4512104382658315,0.32203437108421096
1,post_2300_share,26,0.1056206088405528,0.09088045013711672,0.13603531112726075,0.11461939329435569
1,weekend_common_ratio,26,0.9159056454723482,0.5596672473164352,1.0780845955647138,0.8465832297020993
2,log_total_activity,90,9.791264385559526,8.944030782093293,10.687998319826677,9.937928703294723
2,direction_balance,90,0.01451861548825074,-0.14327212130851466,0.16084976075118756,0.02347507164703868
2,post_2300_share,90,0.10020724733572353,0.08297807540269393,0.11945314955171106,0.10081128300760599
2,weekend_common_ratio,90,0.8257616726059616,0.7335893181364166,0.9372908738819363,0.8208933009405267
3,log_total_activity,31,9.65346185691618,9.188948438301285,10.296358928927031,9.78819509396715
3,direction_balance,31,-0.16133610795574208,-0.2900785668371886,0.012022505217630076,-0.1341417868462402
3,post_2300_share,31,0.1823491004700108,0.16599760566229693,0.20094861642661507,0.18747691341407974
3,weekend_common_ratio,31,0.8880618533739904,0.8515182679662916,1.0124430871333208,0.9322387664023782
4,log_total_activity,167,9.749280670614855,9.211138838918032,10.199471019948572,9.763494165543568
4,direction_balance,167,-0.3852793128205126,-0.48226521486123186,-0.2602178397517888,-0.3630662872187816
4,post_2300_share,167,0.14275495540418312,0.12285120516582293,0.1622987640501099,0.14324933158760658
4,weekend_common_ratio,167,0.7964045533681869,0.7531951948435553,0.8586592381108529,0.8096366182952761
