mode,analysis,chi_square,p_value,degrees_of_freedom,cramers_v,n,note,r_squared
bus,cluster_x_lnwc_chi_square,647.4974087251892,7.668312435153431e-126,18.0,0.25258490410000495,3383,Exploratory; ordinary chi-square ignores spatial autocorrelation.,
rail,cluster_x_dominant_lnwc_chi_square,224.59589981727007,1.686048702942909e-34,24.0,0.37992346325126697,389,Secondary categorical reduction; composition is the primary rail result.,
rail,composition_label_permutation,,0.001,,,389,Exploratory Euclidean composition test with label permutations.,0.20462501812287087
