K,cluster,n,share,mean_silhouette,relative_compactness_vs_sample,zero_bin_count_mean,log_total_activity_mean,post_midnight_share_mean
3,0,1249,0.3711738484398217,-0.22348948521679737,0.989594946305596,6.042433947157726,6.414203309786986,0.11164237460100895
3,1,1172,0.34829123328380385,0.5329551171245581,0.3921514206779818,0.026450511945392493,7.984117169228666,0.13398635790064703
3,2,944,0.28053491827637445,0.3225988118280126,0.7939055267064528,24.093220338983052,5.8270596030649955,0.06821059633164227
4,0,558,0.16582466567607726,0.23189397381960206,0.6974011001280399,26.81362007168459,5.599674057210126,0.05918363103309966
4,1,1132,0.33640416047548294,0.47819561568451485,0.38261050618541287,0.00265017667844523,8.015175848053664,0.13481980624055775
4,2,607,0.18038632986627043,0.052419973666615736,0.8591255485446578,18.695222405271828,6.2450460084736985,0.08850821010787568
4,3,1068,0.3173848439821694,-0.18763099781674922,0.8696133113782034,3.7537453183520597,6.442817800084051,0.11376326775002557
