lsoa,zero_bin_share
E01000001,0.0
E01000005,0.0
E01000008,0.3888888888888889
E01000009,0.0
E01000011,0.09722222222222222
E01000013,0.19444444444444445
E01000017,0.20833333333333334
E01000019,0.3888888888888889
E01000021,0.3611111111111111
E01000024,0.0
E01000027,0.2777777777777778
E01000029,0.2777777777777778
E01000030,0.2916666666666667
E01000031,0.3055555555555556
E01000032,0.0
E01000034,0.2916666666666667
E01000035,0.2638888888888889
E01000036,0.3333333333333333
E01000038,0.3194444444444444
E01000040,0.3611111111111111
E01000041,0.3333333333333333
E01000042,0.3611111111111111
E01000043,0.3611111111111111
E01000045,0.3333333333333333
E01000049,0.4166666666666667
E01000050,0.0
E01000052,0.027777777777777776
E01000057,0.3333333333333333
E01000058,0.3611111111111111
E01000060,0.0
E01000061,0.0
E01000062,0.3194444444444444
E01000063,0.027777777777777776
E01000064,0.2777777777777778
E01000065,0.3472222222222222
E01000067,0.0
E01000068,0.05555555555555555
E01000070,0.0
E01000071,0.3888888888888889
E01000072,0.3611111111111111
E01000073,0.3611111111111111
E01000074,0.3888888888888889
E01000075,0.3055555555555556
E01000077,0.375
E01000078,0.2916666666666667
E01000079,0.375
E01000080,0.4166666666666667
E01000082,0.0
E01000083,0.0
E01000084,0.20833333333333334
E01000085,0.3611111111111111
E01000086,0.2638888888888889
E01000087,0.19444444444444445
E01000088,0.2916666666666667
E01000090,0.3194444444444444
E01000091,0.0
E01000093,0.0
E01000094,0.0
E01000095,0.3055555555555556
E01000096,0.3611111111111111
E01000097,0.3333333333333333
E01000098,0.041666666666666664
E01000099,0.0
E01000101,0.0
E01000104,0.3194444444444444
E01000105,0.3611111111111111
E01000106,0.3472222222222222
E01000110,0.041666666666666664
E01000111,0.375
E01000112,0.0
E01000113,0.05555555555555555
E01000114,0.0
E01000118,0.3194444444444444
E01000120,0.3888888888888889
E01000121,0.4305555555555556
E01000123,0.3611111111111111
E01000124,0.2361111111111111
E01000126,0.027777777777777776
E01000127,0.013888888888888888
E01000128,0.19444444444444445
E01000129,0.0
E01000130,0.013888888888888888
E01000131,0.013888888888888888
E01000133,0.2361111111111111
E01000134,0.4027777777777778
E01000135,0.1388888888888889
E01000136,0.013888888888888888
E01000138,0.013888888888888888
E01000139,0.0
E01000140,0.0
E01000141,0.0
E01000143,0.3055555555555556
E01000144,0.013888888888888888
E01000146,0.0
E01000150,0.0
E01000151,0.0
E01000152,0.375
E01000154,0.0
E01000156,0.0
E01000160,0.2916666666666667
E01000161,0.027777777777777776
E01000162,0.013888888888888888
E01000164,0.0
E01000170,0.375
E01000171,0.2777777777777778
E01000172,0.3194444444444444
E01000173,0.3055555555555556
E01000174,0.2638888888888889
E01000175,0.3888888888888889
E01000176,0.2916666666666667
E01000178,0.027777777777777776
E01000180,0.20833333333333334
E01000181,0.08333333333333333
E01000182,0.0
E01000183,0.041666666666666664
E01000184,0.027777777777777776
E01000185,0.09722222222222222
E01000186,0.027777777777777776
E01000188,0.3333333333333333
E01000191,0.1527777777777778
E01000192,0.16666666666666666
E01000193,0.0
E01000194,0.0
E01000196,0.0
E01000197,0.013888888888888888
E01000198,0.375
E01000200,0.3333333333333333
E01000201,0.013888888888888888
E01000202,0.09722222222222222
E01000203,0.0
E01000205,0.06944444444444445
E01000206,0.3194444444444444
E01000208,0.0
E01000210,0.041666666666666664
E01000211,0.0
E01000213,0.4861111111111111
E01000214,0.0
E01000215,0.0
E01000218,0.0
E01000219,0.08333333333333333
E01000221,0.0
E01000222,0.041666666666666664
E01000223,0.0
E01000224,0.3055555555555556
E01000226,0.3611111111111111
E01000227,0.3333333333333333
E01000228,0.375
E01000229,0.08333333333333333
E01000231,0.027777777777777776
E01000232,0.1388888888888889
E01000233,0.25
E01000234,0.3194444444444444
E01000235,0.2222222222222222
E01000236,0.0
E01000237,0.0
E01000239,0.0
E01000240,0.041666666666666664
E01000242,0.2916666666666667
E01000243,0.25
E01000244,0.25
E01000246,0.3472222222222222
E01000248,0.0
E01000250,0.0
E01000251,0.2777777777777778
E01000252,0.3888888888888889
E01000253,0.3611111111111111
E01000255,0.3333333333333333
E01000256,0.09722222222222222
E01000257,0.2638888888888889
E01000258,0.05555555555555555
E01000259,0.3194444444444444
E01000260,0.013888888888888888
E01000261,0.2916666666666667
E01000263,0.0
E01000264,0.06944444444444445
E01000265,0.19444444444444445
E01000266,0.4027777777777778
E01000268,0.0
E01000269,0.027777777777777776
E01000271,0.05555555555555555
E01000273,0.041666666666666664
E01000274,0.19444444444444445
E01000278,0.3472222222222222
E01000279,0.3888888888888889
E01000281,0.0
E01000282,0.3611111111111111
E01000284,0.013888888888888888
E01000285,0.3611111111111111
E01000286,0.3333333333333333
E01000288,0.1388888888888889
E01000289,0.375
E01000290,0.4166666666666667
E01000292,0.3472222222222222
E01000296,0.0
E01000297,0.375
E01000298,0.0
E01000299,0.0
