lsoa,alightings,boardings,total_activity,exact_direction_zero
E01000001,848.25751,1695.58664,2543.84415,False
E01000002,156.91156999999998,20.0913,177.00286999999997,False
E01000005,5894.694390000001,5818.1283,11712.82269,False
E01000007,103.67462,28.53832,132.21294,False
E01000008,299.77321,87.66761,387.44082000000003,False
E01000009,12043.68535,16703.20159,28746.88694,False
E01000011,253.26733000000002,183.51076,436.77809,False
E01000013,2948.13232,4396.23086,7344.36318,False
E01000017,1002.85876,492.95450999999997,1495.8132699999999,False
E01000019,111.93169,71.65642,183.58811,False
E01000020,69.36795,30.1968,99.56474999999999,False
E01000021,293.81801,219.06466,512.88267,False
E01000024,1660.2088,879.8379199999999,2540.0467200000003,False
E01000027,1123.82169,607.7230000000001,1731.5446900000002,False
E01000029,711.48983,240.51676,952.00659,False
E01000030,414.56862,124.5355,539.10412,False
E01000031,194.75088,117.31278999999999,312.06367,False
E01000032,481.82025999999996,507.74102,989.5612799999999,False
E01000034,559.7860000000001,279.92897999999997,839.71498,False
E01000035,839.58534,628.38371,1467.96905,False
E01000036,567.85177,672.22453,1240.0763,False
E01000038,70.47512,40.01843,110.49355,False
E01000039,8.96028,18.758219999999998,27.7185,False
E01000040,575.7264700000001,290.55586,866.28233,False
E01000041,307.01531,123.06615,430.08146,False
E01000042,292.50794,185.79436,478.30230000000006,False
E01000043,123.53963,103.54773,227.08736,False
E01000045,710.91683,547.10684,1258.02367,False
E01000049,65.16989,91.5071,156.67699,False
E01000050,1343.66001,1030.01112,2373.6711299999997,False
E01000052,702.59973,272.95798,975.55771,False
E01000057,193.73806,167.75599,361.49405,False
E01000058,195.20714,113.32689,308.53403000000003,False
E01000060,2389.66063,1608.00038,3997.66101,False
E01000061,817.61467,621.50667,1439.1213400000001,False
E01000062,180.5049,53.86195,234.36685,False
E01000063,73.68533,160.85143,234.53676,False
E01000064,469.28758,315.548,784.8355799999999,False
E01000065,251.34676,92.63884,343.9856,False
E01000067,532.34015,366.36064,898.70079,False
E01000068,175.26230999999999,163.92042,339.18273,False
E01000070,1067.47579,834.41099,1901.8867799999998,False
E01000071,94.46291000000001,68.00044,162.46335,False
E01000072,360.39407,185.43703,545.8311,False
E01000073,88.40102,71.2012,159.60222,False
E01000074,135.25287,96.46039,231.71326,False
E01000075,1096.53498,1218.43302,2314.968,False
E01000077,147.77254,75.42492,223.19745999999998,False
E01000078,515.35526,385.31067,900.6659300000001,False
E01000079,108.34757,74.09518,182.44275,False
E01000080,79.81228,59.65978,139.47206,False
E01000082,1374.57439,515.97509,1890.5494800000001,False
E01000083,2109.45966,1300.50704,3409.9667,False
E01000084,168.39713,276.31,444.70713,False
E01000085,227.12888999999998,114.30333,341.43222,False
E01000086,268.57277,170.3199,438.89266999999995,False
E01000087,2259.51575,1473.09786,3732.6136100000003,False
E01000088,314.29304,181.29112,495.58416,False
E01000090,448.76399,168.62313,617.38712,False
E01000091,1450.01033,326.52248,1776.5328100000002,False
