lsoa,alightings,boardings,total_activity,exact_direction_zero
E01000093,1054.0812700000001,605.86632,1659.9475900000002,False
E01000094,1086.88155,637.45267,1724.3342200000002,False
E01000095,1200.1841200000001,1416.64962,2616.83374,False
E01000096,350.7369,293.67354,644.41044,False
E01000097,79.49302,74.25260999999999,153.74563,False
E01000098,638.43899,373.1421,1011.58109,False
E01000099,767.61162,401.98473,1169.59635,False
E01000101,544.25161,276.01677,820.26838,False
E01000103,41.75855,29.76932,71.52787000000001,False
E01000104,732.34907,362.40026,1094.74933,False
E01000105,475.84823,471.66248,947.51071,False
E01000106,296.754,144.72735,441.48135,False
E01000108,25.0059,55.75895,80.76485,False
E01000110,280.54483,134.70783,415.25266,False
E01000111,516.69184,375.89677,892.58861,False
E01000112,976.80418,663.2286,1640.03278,False
E01000113,975.53563,1751.95294,2727.48857,False
E01000114,1061.21334,696.23434,1757.44768,False
E01000115,15.277619999999999,23.95375,39.23137,False
E01000116,10.42255,7.40416,17.82671,False
E01000117,64.70195,29.27451,93.97646,False
E01000118,805.09659,424.99555999999995,1230.09215,False
E01000120,185.7432,199.07163,384.81483000000003,False
E01000121,107.34919,46.52724,153.87643,False
E01000123,133.72232,48.3948,182.11712,False
E01000124,193.45776,130.95991999999998,324.41768,False
E01000126,436.07525,212.28986,648.36511,False
E01000127,255.69005,125.08354999999999,380.7736,False
E01000128,118.85495,45.95268,164.80763000000002,False
E01000129,3893.27822,3965.8132,7859.091420000001,False
E01000130,699.50463,323.31029,1022.81492,False
E01000131,311.97749,324.53033,636.50782,False
E01000133,497.2167,156.3964,653.6131,False
E01000134,148.53079,43.18635,191.71714,False
E01000135,257.29552,91.14012,348.43564000000003,False
E01000136,331.82261,320.46322,652.28583,False
E01000138,530.17357,237.46762999999999,767.6412,False
E01000139,2120.41494,1051.14862,3171.56356,False
E01000140,1701.31782,999.54561,2700.86343,False
E01000141,7351.28236,5565.17974,12916.4621,False
E01000143,548.20704,314.0505,862.2575400000001,False
E01000144,585.01847,806.20345,1391.22192,False
E01000146,4891.29149,7215.78113,12107.072619999999,False
E01000147,31.186609999999998,16.589199999999998,47.77580999999999,False
E01000150,688.19975,427.22435,1115.4241,False
E01000151,759.79526,413.93746,1173.73272,False
E01000152,105.55029,46.15899,151.70928,False
E01000154,781.99031,560.0421,1342.03241,False
E01000156,1626.73105,657.35552,2284.08657,False
E01000159,33.86768,34.268519999999995,68.1362,False
E01000160,385.04158,334.78515,719.82673,False
E01000161,704.51249,391.32318,1095.83567,False
E01000162,1573.28657,1026.81618,2600.10275,False
E01000164,1898.10564,1032.9182700000001,2931.02391,False
E01000166,3.1482099999999993,24.42472,27.57293,False
E01000167,65.92544,33.0873,99.01274,False
E01000168,7.583959999999999,0.05513,7.6390899999999995,False
E01000169,27.00547,1.1018299999999999,28.1073,False
E01000170,293.99551,172.33009,466.3256,False
E01000171,1024.1543199999999,891.40003,1915.5543499999999,False
E01000172,86.72184,46.433299999999996,133.15514,False
E01000173,54.58805,66.79684,121.38489000000001,False
E01000174,487.45293000000004,294.91561,782.36854,False
E01000175,87.34661,41.693999999999996,129.04061,False
E01000176,199.2357,86.65189,285.88759,False
E01000178,221.293,229.7275,451.02049999999997,False
E01000180,43.25684,36.848729999999996,80.10557,False
E01000181,206.55377,206.70302,413.25679,False
E01000182,804.48414,944.37768,1748.86182,False
E01000183,312.819,213.0397,525.8587,False
E01000184,312.18591,123.52874,435.71465,False
E01000185,386.95206,143.37718,530.32924,False
E01000186,417.93755,224.73401,642.67156,False
E01000187,95.69839,1.5418999999999996,97.24029,False
E01000188,676.78208,80.65402,757.4360999999999,False
E01000189,24.644569999999998,75.9038,100.54837,False
E01000191,250.10233,187.73755,437.83988,False
E01000192,158.38343999999998,145.05705,303.44048999999995,False
E01000193,6495.32162,6887.99807,13383.31969,False
E01000194,1809.97819,1175.74814,2985.72633,False
E01000195,0.0,102.05684,102.05684,True
E01000196,1655.49656,1462.3718099999999,3117.86837,False
E01000197,210.70811,156.11011,366.81822,False
E01000198,211.74074,130.2561,341.99684,False
E01000199,43.51864,32.43853,75.95716999999999,False
E01000200,231.58924,137.18243999999999,368.77167999999995,False
E01000201,335.37319,205.12221,540.4954,False
E01000202,222.70254,150.35034000000002,373.05288,False
E01000203,886.68493,798.7195399999999,1685.40447,False
E01000204,20.76881,14.26606,35.03487,False
E01000205,202.75696,78.00919,280.76615,False
E01000206,109.12325,162.15377,271.27702,False
E01000207,39.24005,29.13371,68.37376,False
E01000208,1710.51534,3090.65489,4801.17023,False
E01000209,41.92800999999999,22.966169999999998,64.89417999999999,False
E01000210,662.98807,510.06888,1173.05695,False
E01000211,2515.72897,1528.75999,4044.48896,False
E01000212,15.315639999999998,20.44153,35.75717,False
E01000213,63.464879999999994,55.04992,118.5148,False
E01000214,6452.04638,4813.9844299999995,11266.03081,False
E01000215,518.83559,420.08865,938.92424,False
E01000218,967.12824,813.3513399999999,1780.47958,False
E01000219,424.95072,324.71408,749.6648,False
E01000221,1026.04615,982.63726,2008.6834099999999,False
E01000222,816.27793,332.92061,1149.1985399999999,False
E01000223,2605.64518,2081.13931,4686.78449,False
E01000224,80.51821,70.21989,150.7381,False
E01000226,373.0299,122.78438,495.81428,False
E01000227,183.76014,138.61377,322.37391,False
E01000228,104.54102999999999,75.17707,179.7181,False
E01000229,343.63688,132.65771,476.29459,False
E01000230,15.87135,68.94246,84.81380999999999,False
E01000231,622.71484,213.48157,836.19641,False
E01000232,265.14391,173.59917,438.74307999999996,False
E01000233,565.64791,360.78151,926.42942,False
E01000234,168.49392999999998,84.10584,252.59976999999998,False
E01000235,670.89174,296.46989,967.3616300000001,False
E01000236,572.66026,493.51939,1066.17965,False
E01000237,2586.76557,2508.15023,5094.915800000001,False
E01000238,55.96273,31.116979999999998,87.07971,False
E01000239,1049.18977,482.76793,1531.9577,False
E01000240,488.16587,192.34702,680.51289,False
E01000242,224.22539999999998,148.74905,372.97445,False
E01000243,1630.21949,1116.9695199999999,2747.18901,False
E01000244,925.40938,736.11425,1661.5236300000001,False
E01000246,53.36562,40.188539999999996,93.55416,False
E01000247,58.55674,22.65695,81.21369,False
E01000248,1041.1173,1124.64069,2165.75799,False
E01000250,3043.01961,3599.16212,6642.18173,False
E01000251,961.84316,692.2125,1654.05566,False
E01000252,52.35695,39.86447,92.22142,False
E01000253,86.09701999999999,93.17135,179.26837,False
E01000255,222.61774,194.89113,417.50887,False
E01000256,389.2973,185.81174,575.10904,False
E01000257,1050.00034,1095.52214,2145.52248,False
E01000258,184.68892,99.04599999999999,283.73492,False
E01000259,266.63328,187.30584,453.93912,False
E01000260,557.49762,206.19554000000002,763.69316,False
E01000261,166.0041,212.00303,378.00712999999996,False
E01000263,320.95122,211.88918,532.8404,False
E01000264,2153.10971,2356.70292,4509.81263,False
E01000265,824.49524,309.2674,1133.76264,False
E01000266,52.244789999999995,48.07774,100.32253,False
E01000267,37.504329999999996,31.08666,68.59098999999999,False
E01000268,1335.00611,956.30911,2291.31522,False
E01000269,300.30821,164.45236,464.76057,False
E01000270,77.54198,30.4168,107.95877999999999,False
E01000271,273.4686,120.56239,394.03099,False
E01000272,9.20222,9.37276,18.57498,False
E01000273,1108.34657,1182.6662000000001,2291.0127700000003,False
E01000274,641.60584,257.56525999999997,899.1710999999999,False
E01000275,16.180009999999996,13.9342,30.114209999999996,False
E01000276,15.955259999999999,18.43401,34.389269999999996,False
E01000277,19.701439999999998,41.75666,61.458099999999995,False
E01000278,225.49521,169.47429,394.9695,False
E01000279,78.38197,77.77029,156.15226,False
E01000280,31.530019999999997,44.16001,75.69003,False
E01000281,1321.93117,1189.3959399999999,2511.32711,False
E01000282,314.63076,612.22889,926.85965,False
E01000283,36.26918,33.01452,69.2837,False
E01000284,285.24548,239.48621,524.73169,False
E01000285,294.42623,45.82775,340.25397999999996,False
E01000286,309.99671,188.65411,498.65082,False
E01000287,35.22284,64.92764,100.15047999999999,False
E01000288,321.18781,152.19183999999998,473.37964999999997,False
E01000289,100.1632,53.82081,153.98401,False
E01000290,154.43547,69.19225999999999,223.62772999999999,False
E01000292,158.6452,83.37711999999999,242.02231999999998,False
E01000296,1956.53305,2706.11408,4662.647129999999,False
E01000297,183.52427,113.16792,296.69219,False
E01000298,956.51449,1006.77308,1963.28757,False
E01000299,2074.9204,1192.78504,3267.7054399999997,False
E01000301,91.65783,79.9853,171.64312999999999,False
E01000302,868.32011,602.93682,1471.25693,False
E01000303,0.12264999999999981,0.21944,0.3420899999999998,False
E01000304,7.58904,7.58132,15.170359999999999,False
E01000305,1017.4284700000001,689.91821,1707.34668,False
E01000307,5219.55221,6417.8432,11637.395410000001,False
E01000309,538.21977,256.10747,794.3272400000001,False
E01000310,2034.60543,2073.51947,4108.124900000001,False
E01000313,3447.91294,3292.2207000000003,6740.13364,False
E01000314,735.44767,842.59616,1578.04383,False
E01000315,91.03679,70.82445,161.86124,False
E01000316,1476.77171,1361.57756,2838.3492699999997,False
E01000318,156.36117,138.93249,295.29366,False
E01000321,687.82922,515.83113,1203.66035,False
E01000323,5359.8939,5537.02605,10896.91995,False
E01000324,244.72584,159.90245,404.62829,False
E01000325,53.20999,76.41315,129.62314,False
E01000326,214.75437,79.44475,294.19912,False
E01000327,104.17121999999999,61.66586999999999,165.83709,False
E01000328,22.85145,11.320879999999999,34.17233,False
E01000329,117.17676,70.88657,188.06333,False
E01000330,276.06849,207.49795,483.56644,False
E01000331,153.99402,110.26505999999999,264.25908,False
E01000332,554.99585,238.93967999999998,793.93553,False
E01000333,585.75006,263.90005,849.65011,False
E01000334,88.75636,26.49082,115.24718,False
E01000335,996.3953,1525.53043,2521.92573,False
E01000336,373.28059,204.83317,578.11376,False
E01000338,160.03922,45.26598,205.3052,False
E01000340,305.20609,137.19554,442.40163,False
E01000342,26.36214,16.626479999999997,42.98862,False
E01000343,159.4535,77.73325,237.18675,False
E01000344,233.19351,116.70013,349.89364,False
E01000345,77.38471,47.067209999999996,124.45192,False
E01000347,584.62306,416.30339,1000.9264499999999,False
E01000349,124.43113,75.03186,199.46299,False
E01000350,178.06727,135.613,313.68027,False
E01000352,391.54801,256.288,647.83601,False
E01000353,157.64638,54.751839999999994,212.39821999999998,False
E01000354,175.26532,71.50728,246.7726,False
E01000356,638.69706,889.4532899999999,1528.15035,False
E01000357,2.5963,3.76767,6.36397,False
E01000358,159.7712,73.07827999999999,232.84947999999997,False
E01000359,274.9337,74.11621,349.04990999999995,False
E01000360,2229.72761,2247.111,4476.83861,False
E01000361,13.044789999999999,6.697649999999999,19.74244,False
E01000362,4794.2309000000005,6465.59792,11259.82882,False
E01000363,47.155469999999994,49.05475,96.21021999999999,False
E01000364,70.71994,18.721839999999997,89.44178,False
E01000365,1926.57329,26.393749999999997,1952.96704,False
E01000367,298.75952,107.4472,406.20672,False
E01000369,103.3616,71.39612,174.75772,False
E01000370,637.75738,534.6679,1172.42528,False
E01000372,36.9731,10.47972,47.45282,False
E01000374,181.78309,82.36979,264.15288,False
E01000375,110.60527,48.14334,158.74861,False
E01000376,20.10502,35.43795,55.54297,False
E01000377,21.57398,9.381639999999999,30.955619999999996,False
E01000379,22.64885,19.26845,41.9173,False
E01000380,44.109809999999996,22.208009999999998,66.31782,False
E01000381,28.271169999999998,32.89247,61.16364,False
E01000382,18.63448,28.20025,46.83473,False
E01000383,116.60961999999999,103.70448,220.3141,False
E01000384,252.89055,122.41838999999999,375.30894,False
E01000385,96.71661,86.71992,183.43653,False
E01000386,956.97204,665.56215,1622.5341899999999,False
E01000387,13.11333,7.958179999999998,21.071509999999996,False
E01000389,369.82995999999997,302.01541,671.84537,False
E01000390,21.662089999999996,19.75726,41.419349999999994,False
E01000391,11.141739999999999,12.231569999999998,23.373309999999996,False
E01000392,1819.8548700000001,1530.03199,3349.88686,False
E01000394,254.82431,207.04063,461.86494,False
E01000396,23.64135,14.384959999999998,38.026309999999995,False
E01000398,148.78408,52.44914,201.23322,False
E01000399,409.95835999999997,213.78513,623.74349,False
E01000400,446.95528,443.49907,890.45435,False
E01000402,114.99501,62.239489999999996,177.2345,False
E01000403,2074.6005099999998,1645.62563,3720.2261399999998,False
E01000404,696.2232,312.79816,1009.02136,False
E01000405,83.54044999999999,69.34955,152.89,False
E01000406,546.88796,226.25278,773.14074,False
E01000407,279.96188,157.77222,437.7341,False
E01000408,613.3203,436.3207,1049.641,False
E01000409,342.5761,153.94152,496.51761999999997,False
E01000410,66.21294,33.48219,99.69513,False
E01000412,68.7905,104.60383999999999,173.39434,False
E01000413,117.12841,69.70288,186.83129,False
E01000414,1789.78189,1904.72333,3694.50522,False
E01000415,11.421999999999999,7.7158,19.1378,False
E01000416,1410.26756,6623.74449,8034.01205,False
E01000417,1455.26346,315.68718,1770.95064,False
E01000418,405.88086,91.69602,497.57687999999996,False
E01000420,258.43875,75.05496,333.49371,False
E01000421,128.90036999999998,56.716989999999996,185.61735999999996,False
E01000422,773.3428,473.98955,1247.3323500000001,False
E01000423,66.58189999999999,48.39401,114.97591,False
E01000424,6.0416799999999995,13.81544,19.857120000000002,False
E01000426,328.72131,188.415,517.13631,False
E01000427,67.12006,42.91045,110.03050999999999,False
E01000428,1575.72817,1192.62782,2768.35599,False
E01000429,149.96563,87.22671,237.19234,False
E01000430,257.70875,146.525,404.23375,False
E01000431,52.60474,35.75356,88.3583,False
E01000433,677.03582,452.38865000000004,1129.42447,False
E01000434,611.77715,623.8348100000001,1235.6119600000002,False
E01000436,119.92725999999999,62.57053,182.49778999999998,False
E01000437,18.29343,9.65362,27.94705,False
E01000439,390.81742,242.90267,633.72009,False
E01000440,7.832269999999999,2.5936399999999997,10.425909999999998,False
E01000441,81.9372,55.529469999999996,137.46667,False
E01000442,438.27747999999997,221.42685,659.70433,False
E01000443,124.49341,57.15667,181.65008,False
E01000444,194.21977,41.434189999999994,235.65396,False
E01000445,213.28122,118.84074,332.12196,False
E01000447,585.1868499999999,738.35904,1323.5458899999999,False
E01000448,165.92544999999998,180.5019,346.42735,False
E01000450,191.32876,120.02167999999999,311.35044,False
E01000451,623.09105,221.05796999999998,844.14902,False
E01000454,354.1834,171.87628,526.0596800000001,False
E01000455,122.48832999999999,108.42593,230.91425999999998,False
E01000456,43.26307,29.3346,72.59767,False
E01000457,1406.38923,1351.47615,2757.86538,False
E01000459,296.98797,284.06555,581.0535199999999,False
E01000461,122.00225,100.85552,222.85777000000002,False
E01000462,1696.54499,2184.8432000000003,3881.3881900000006,False
E01000463,125.91202999999999,71.08131,196.99334,False
E01000464,52.90317,16.55887,69.46204,False
E01000465,352.65353,191.51101,544.16454,False
E01000466,731.66813,285.54462,1017.21275,False
E01000467,1740.58957,684.97246,2425.56203,False
E01000469,663.5708500000001,251.64765,915.2185000000001,False
E01000470,704.02637,446.25462,1150.28099,False
E01000472,2135.0312,1595.56316,3730.59436,False
E01000473,3855.34099,3344.7663000000002,7200.10729,False
E01000475,322.00131,154.10976,476.11107,False
E01000476,176.95062000000001,123.33922,300.28984,False
E01000477,340.68443,188.10852,528.79295,False
E01000478,273.99353,133.13060000000002,407.12413000000004,False
E01000479,812.96155,409.68536,1222.64691,False
E01000480,275.47409,214.65009999999998,490.12419,False
E01000481,1592.17167,1615.40035,3207.5720199999996,False
E01000483,1388.94217,1070.92192,2459.86409,False
E01000485,525.0374400000001,257.76694,782.80438,False
E01000486,15.22473,8.83007,24.0548,False
E01000487,1110.0076999999999,1014.68411,2124.69181,False
E01000489,505.92642,363.33262,869.25904,False
E01000491,140.23002,87.37685,227.60687000000001,False
E01000493,651.3523,389.30473,1040.65703,False
E01000494,545.53562,323.00638,868.5419999999999,False
E01000495,217.06716,97.07236,314.13952,False
E01000497,2025.9464,1178.36585,3204.31225,False
E01000498,119.45703999999999,80.65041,200.10744999999997,False
E01000499,2087.61141,1133.53649,3221.1479,False
E01000501,251.96389,123.85036,375.81425,False
E01000502,78.92474,36.41697,115.34171,False
E01000503,63.199,27.72964,90.92864,False
E01000506,314.39970999999997,313.79355,628.19326,False
E01000507,279.17024000000004,205.60012,484.77036000000004,False
E01000508,1306.7169,879.44425,2186.16115,False
E01000510,2271.21754,1831.06237,4102.27991,False
E01000511,363.9226,245.02661,608.94921,False
E01000512,77.15691,37.64199,114.7989,False
E01000513,1059.69953,574.01644,1633.7159700000002,False
E01000515,1504.6470199999999,935.47208,2440.1191,False
E01000516,1927.74067,1457.4168200000001,3385.15749,False
E01000518,1942.96126,1511.95986,3454.92112,False
E01000519,1711.46352,740.43821,2451.90173,False
E01000520,703.5235,442.45661,1145.98011,False
E01000521,1256.57279,475.64044,1732.2132299999998,False
E01000523,1851.12347,1445.73042,3296.8538900000003,False
E01000524,3432.04924,3323.58648,6755.63572,False
E01000525,1795.16372,1221.61057,3016.7742900000003,False
E01000526,928.47695,633.75317,1562.23012,False
E01000528,320.39359,253.3647,573.75829,False
E01000530,135.98761,64.73398999999999,200.72159999999997,False
E01000531,235.87797,149.28819,385.16616,False
E01000532,433.12775,165.53086,598.65861,False
E01000533,1942.39955,1091.27548,3033.6750300000003,False
E01000535,917.88668,453.68129,1371.56797,False
E01000536,2.6997,9.71318,12.41288,False
E01000541,2226.63206,848.36381,3074.9958699999997,False
E01000543,4126.15546,4891.6359999999995,9017.79146,False
E01000544,389.72404,320.41995,710.14399,False
E01000545,902.83566,1074.30574,1977.1414,False
E01000547,273.74865,172.64084,446.38949,False
E01000548,1244.87506,2167.10763,3411.98269,False
E01000549,14.26114,16.677419999999998,30.938559999999995,False
E01000550,2085.05368,1771.40333,3856.45701,False
E01000551,293.61085,261.51448,555.1253300000001,False
E01000552,545.81544,285.09767,830.91311,False
E01000553,1618.09854,1148.69044,2766.7889800000003,False
E01000554,295.08199,165.10806,460.19005000000004,False
E01000555,189.29146,130.57995,319.87140999999997,False
E01000556,923.26493,576.89841,1500.16334,False
E01000557,488.20937,419.13406,907.3434299999999,False
E01000563,260.42995,202.17379,462.60374,False
E01000564,999.57038,641.11922,1640.6896000000002,False
E01000565,1254.13339,635.62873,1889.7621199999999,False
E01000568,2311.5733,2868.81953,5180.392830000001,False
E01000571,828.81508,540.78983,1369.60491,False
E01000572,47.632819999999995,24.18159,71.81441,False
E01000574,167.10875000000001,98.81819,265.92694,False
E01000575,284.32838,338.72581,623.0541900000001,False
E01000576,620.06596,385.68581,1005.7517700000001,False
E01000577,174.903,203.52748,378.43048,False
E01000578,623.49853,971.04515,1594.54368,False
E01000580,330.84353,183.00705,513.85058,False
E01000581,572.3775899999999,802.9172,1375.29479,False
E01000583,1545.5096800000001,1267.76581,2813.27549,False
E01000586,5123.57395,4130.45777,9254.031719999999,False
E01000587,111.93647,60.143589999999996,172.08006,False
E01000589,360.2144,280.22981,640.44421,False
E01000590,203.40074,144.00267,347.40341,False
E01000591,267.86872,432.21488,700.0835999999999,False
E01000592,662.7138,846.9819,1509.6957,False
E01000594,1593.13817,2107.35977,3700.49794,False
E01000595,123.28781,60.034209999999995,183.32201999999998,False
E01000596,558.53266,474.18689,1032.71955,False
E01000599,546.1689700000001,439.80064,985.9696100000001,False
E01000601,1570.9569999999999,1388.81737,2959.77437,False
E01000602,319.62518,263.60918000000004,583.23436,False
E01000603,222.29266,360.03331,582.32597,False
E01000604,242.95752,89.76928,332.72679999999997,False
E01000605,462.32626,410.55327,872.8795299999999,False
E01000606,286.72955,136.00422,422.73377000000005,False
E01000608,4180.32445,2958.8923,7139.21675,False
E01000609,172.70883,68.34241,241.05124,False
E01000612,1889.94669,997.38143,2887.32812,False
E01000615,89.43603999999999,207.32452,296.76056,False
E01000616,973.64951,733.73777,1707.38728,False
E01000620,2061.41276,1354.47784,3415.8906,False
E01000621,1743.32998,1434.17272,3177.5027,False
E01000622,37.5989,41.10121,78.70011,False
E01000623,783.19583,386.01248,1169.20831,False
E01000625,317.39938,262.9269,580.32628,False
E01000626,1384.80236,851.32726,2236.1296199999997,False
E01000627,826.74249,427.25408,1253.99657,False
E01000628,1235.38143,908.83092,2144.21235,False
E01000631,11.469199999999999,16.2546,27.723799999999997,False
E01000633,12152.52711,11776.93767,23929.464780000002,False
E01000634,1544.49607,1857.73237,3402.22844,False
E01000636,1405.9667,1220.20498,2626.17168,False
E01000638,3983.8559,2001.30311,5985.15901,False
E01000640,3606.35521,2775.64581,6382.00102,False
E01000642,4544.16241,4155.98498,8700.14739,False
E01000643,1876.04343,1453.58816,3329.63159,False
E01000645,30.811249999999998,23.07568,53.88692999999999,False
E01000646,196.27302,125.37294,321.64596,False
E01000648,121.89937,67.19715,189.09652,False
E01000649,237.09421999999998,247.5301,484.62432,False
E01000650,80.92459,76.63651999999999,157.56110999999999,False
E01000651,125.44347,54.01213,179.4556,False
E01000652,18.67544,12.62758,31.303019999999997,False
E01000653,77.99739,65.61251,143.60989999999998,False
E01000654,10.15384,5.67416,15.828,False
E01000655,11.953199999999999,2.09182,14.04502,False
E01000656,90.83333999999999,63.45317,154.28651,False
E01000657,139.19779,107.08333,246.28112,False
E01000658,31.026249999999997,13.78103,44.80728,False
E01000659,266.43489999999997,105.71674,372.15164,False
E01000661,741.46935,353.46413,1094.93348,False
E01000662,219.72005,169.11894,388.83898999999997,False
E01000663,122.68493,85.65034,208.33526999999998,False
E01000664,50.83929,22.84735,73.68664,False
E01000665,625.2406,357.50305000000003,982.74365,False
E01000666,234.25736,167.12633,401.38369,False
E01000667,98.41224999999999,36.830799999999996,135.24304999999998,False
E01000668,1300.07908,610.58547,1910.66455,False
E01000670,240.77897,355.62653,596.4055,False
E01000671,483.57558,222.39652999999998,705.9721099999999,False
E01000672,102.96253,61.24673,164.20926,False
E01000673,88.10978999999999,49.13114,137.24093,False
E01000674,196.79319,137.53804,334.33123,False
E01000676,3156.68342,3661.82944,6818.51286,False
E01000677,153.36201,164.17282,317.53483,False
E01000678,242.55802999999997,200.58472,443.14275,False
E01000679,59.16735,51.09534,110.26268999999999,False
E01000680,11.748,14.84827,26.596269999999997,False
E01000681,9.32882,8.489329999999999,17.81815,False
E01000682,172.29972,79.59469,251.89441,False
E01000683,117.7146,71.04817,188.76277,False
E01000684,37.7614,66.91954,104.68093999999999,False
E01000685,122.95532999999999,51.66107,174.6164,False
E01000686,404.52051,225.59884,630.1193499999999,False
E01000687,66.02893,85.52006,151.54899,False
E01000688,18.53869,10.20404,28.74273,False
E01000689,58.46984,22.74204,81.21188,False
E01000690,325.22867,132.34331,457.57198000000005,False
E01000691,356.32725,136.67802,493.00527,False
E01000692,551.34783,599.9154,1151.26323,False
E01000693,325.99787,461.17847,787.17634,False
E01000694,44.463429999999995,116.94242999999999,161.40586,False
E01000696,486.07754,373.21488,859.29242,False
E01000697,237.3903,530.3121,767.7024,False
E01000698,74.39975999999999,35.89135,110.29110999999999,False
E01000699,188.75933,147.52013,336.27946,False
E01000700,39.728069999999995,45.19273,84.92079999999999,False
E01000702,251.03922,347.73536,598.77458,False
E01000703,893.8990699999999,1161.12874,2055.02781,False
E01000704,95.96047999999999,68.56304,164.52352,False
E01000705,580.6193499999999,278.72408,859.3434299999999,False
E01000706,476.03159,450.39268000000004,926.42427,False
E01000707,138.26608,120.70854,258.97461999999996,False
E01000708,278.69482,336.49787,615.19269,False
E01000709,39.92442,23.53991,63.46433,False
E01000710,96.22779,99.63474,195.86253,False
E01000711,49.07176,30.98548,80.05724,False
E01000712,159.87505000000002,281.46972999999997,441.34478,False
E01000713,58.196799999999996,33.28164,91.47844,False
E01000714,2043.07089,2510.69686,4553.76775,False
E01000715,239.36639,175.66781,415.0342,False
E01000716,65.81587999999999,61.11167,126.92755,False
E01000717,212.01419,132.37573,344.38992,False
E01000718,197.57972,83.52218,281.1019,False
E01000719,56.06828,60.96601,117.03429,False
E01000720,19.95491,8.46923,28.42414,False
E01000721,29.82893,20.74469,50.57362,False
E01000722,777.34638,503.73007,1281.07645,False
E01000723,9.898829999999998,10.11037,20.0092,False
E01000724,46.47826,33.015769999999996,79.49403,False
E01000725,33.51419,14.866029999999999,48.380219999999994,False
E01000726,18.958579999999998,8.84008,27.798659999999998,False
E01000727,773.17617,348.95032,1122.1264899999999,False
E01000728,160.80462,78.91531,239.71993,False
E01000729,24.58902,7.6670799999999995,32.2561,False
E01000730,970.779,878.42504,1849.20404,False
E01000731,38.95422,25.95767,64.91189,False
E01000732,116.77488,37.40521,154.18009,False
E01000733,25.40935,11.96171,37.37106,False
E01000734,42.85418,11.90609,54.76027,False
E01000735,285.13797,137.7076,422.84557,False
E01000736,131.6752,43.30496,174.98015999999998,False
E01000737,183.66363,106.20327999999999,289.86691,False
E01000738,276.61362,200.67822,477.29184000000004,False
E01000739,70.95997,24.33319,95.29316,False
E01000741,914.6481699999999,1110.31137,2024.9595399999998,False
E01000742,83.4176,38.06077,121.47836999999998,False
E01000743,1354.96321,832.1824799999999,2187.14569,False
E01000744,345.81377,243.55454,589.36831,False
