k,n_retained,n_excluded,pct_excluded,cluster_sizes,central_outer_total_variation,central_outer_same_cluster_probability
3,3365,228,6.345672140272753,1283;1621;461,0.3690322580645161,0.31793548387096776
4,3365,228,6.345672140272753,1147;1062;311;845,0.4254377880184331,0.23439631336405528
