threshold,stage,k,cluster,n_units,pct_of_core
70.0,scan,9,5,892,29.458388375165125
70.0,scan,9,6,520,17.17305151915456
70.0,scan,9,7,166,5.482166446499339
70.0,scan,9,8,89,2.939233817701453
70.0,scan,10,0,139,4.5904887714663145
70.0,scan,10,1,100,3.3025099075297226
70.0,scan,10,2,465,15.35667107001321
70.0,scan,10,3,867,28.632760898282694
70.0,scan,10,4,141,4.656538969616909
70.0,scan,10,5,171,5.647291941875825
70.0,scan,10,6,329,10.865257595772787
70.0,scan,10,7,667,22.02774108322325
70.0,scan,10,8,82,2.7080581241743724
70.0,scan,10,9,67,2.212681638044914
90.0,scan,2,0,1602,56.25
90.0,scan,2,1,1246,43.75
90.0,scan,3,0,315,11.060393258426966
90.0,scan,3,1,583,20.47050561797753
90.0,scan,3,2,1950,68.46910112359551
90.0,scan,4,0,1035,36.34129213483146
90.0,scan,4,1,463,16.257022471910112
90.0,scan,4,2,177,6.214887640449438
90.0,scan,4,3,1173,41.186797752808985
90.0,scan,5,0,168,5.898876404494382
90.0,scan,5,1,736,25.84269662921348
90.0,scan,5,2,193,6.776685393258427
90.0,scan,5,3,666,23.384831460674157
90.0,scan,5,4,1085,38.09691011235955
90.0,scan,6,0,764,26.825842696629213
90.0,scan,6,1,710,24.929775280898877
90.0,scan,6,2,174,6.109550561797753
90.0,scan,6,3,240,8.426966292134832
90.0,scan,6,4,828,29.073033707865168
90.0,scan,6,5,132,4.634831460674158
90.0,scan,7,0,80,2.808988764044944
90.0,scan,7,1,242,8.497191011235955
90.0,scan,7,2,886,31.109550561797754
90.0,scan,7,3,1030,36.16573033707865
90.0,scan,7,4,190,6.671348314606742
90.0,scan,7,5,148,5.196629213483146
90.0,scan,7,6,272,9.55056179775281
90.0,scan,8,0,708,24.859550561797754
90.0,scan,8,1,142,4.985955056179775
90.0,scan,8,2,170,5.969101123595506
90.0,scan,8,3,188,6.601123595505618
90.0,scan,8,4,483,16.959269662921347
90.0,scan,8,5,160,5.617977528089888
90.0,scan,8,6,98,3.441011235955056
90.0,scan,8,7,899,31.566011235955056
90.0,scan,9,0,175,6.144662921348314
90.0,scan,9,1,131,4.599719101123595
90.0,scan,9,2,437,15.344101123595506
90.0,scan,9,3,44,1.5449438202247192
90.0,scan,9,4,725,25.456460674157302
90.0,scan,9,5,121,4.248595505617978
90.0,scan,9,6,153,5.372191011235955
90.0,scan,9,7,859,30.161516853932586
90.0,scan,9,8,203,7.127808988764045
90.0,scan,10,0,64,2.247191011235955
90.0,scan,10,1,476,16.713483146067414
90.0,scan,10,2,690,24.22752808988764
90.0,scan,10,3,806,28.30056179775281
90.0,scan,10,4,133,4.669943820224719
90.0,scan,10,5,141,4.950842696629214
90.0,scan,10,6,99,3.476123595505618
90.0,scan,10,7,228,8.00561797752809
90.0,scan,10,8,93,3.265449438202247
90.0,scan,10,9,118,4.143258426966292
100.0,scan,2,0,1064,38.53676204273814
100.0,scan,2,1,1697,61.46323795726186
100.0,scan,3,0,1961,71.02499094530967
100.0,scan,3,1,511,18.50778703368345
100.0,scan,3,2,289,10.467222021006881
100.0,scan,4,0,992,35.929011227816005
100.0,scan,4,1,225,8.149221296631655
100.0,scan,4,2,398,14.415067004708439
100.0,scan,4,3,1146,41.506700470843896
100.0,scan,5,0,469,16.986599058312205
100.0,scan,5,1,943,34.15429192321623
100.0,scan,5,2,997,36.11010503440782
100.0,scan,5,3,186,6.736689605215502
100.0,scan,5,4,166,6.012314378848243
100.0,scan,6,0,821,29.73560304237595
100.0,scan,6,1,176,6.374501992031872
100.0,scan,6,2,232,8.402752625860195
100.0,scan,6,3,1008,36.50851140890982
100.0,scan,6,4,419,15.17566099239406
100.0,scan,6,5,105,3.802969938428106
100.0,scan,7,0,153,5.541470481709526
100.0,scan,7,1,145,5.251720391162622
100.0,scan,7,2,501,18.14559942049982
100.0,scan,7,3,144,5.215501629844259
100.0,scan,7,4,829,30.025353132922856
100.0,scan,7,5,895,32.41579137993481
100.0,scan,7,6,94,3.404563563926114
100.0,scan,8,0,290,10.503440782325244
100.0,scan,8,1,233,8.438971387178558
100.0,scan,8,2,147,5.324157913799348
100.0,scan,8,3,80,2.897500905469033
100.0,scan,8,4,777,28.141977544367982
100.0,scan,8,5,952,34.48026077508149
100.0,scan,8,6,203,7.352408547627671
100.0,scan,8,7,79,2.86128214415067
100.0,scan,9,0,130,4.708438971387179
100.0,scan,9,1,111,4.020282506338283
100.0,scan,9,2,175,6.338283230713509
100.0,scan,9,3,655,23.723288663527708
100.0,scan,9,4,220,7.968127490039841
100.0,scan,9,5,69,2.499094530967041
100.0,scan,9,6,800,28.97500905469033
100.0,scan,9,7,200,7.243752263672582
100.0,scan,9,8,401,14.523723288663527
100.0,scan,10,0,792,28.685258964143426
100.0,scan,10,1,144,5.215501629844259
100.0,scan,10,2,593,21.477725461789205
100.0,scan,10,3,106,3.839188699746469
100.0,scan,10,4,471,17.05903658094893
100.0,scan,10,5,63,2.2817819630568636
100.0,scan,10,6,263,9.525534226729446
100.0,scan,10,7,101,3.658094893154654
100.0,scan,10,8,124,4.491126403477001
100.0,scan,10,9,104,3.766751177109743
110.0,scan,2,0,1693,62.773451983685575
110.0,scan,2,1,1004,37.226548016314425
110.0,scan,3,0,1839,68.18687430478309
110.0,scan,3,1,283,10.493140526510938
110.0,scan,3,2,575,21.31998516870597
110.0,scan,4,0,414,15.350389321468299
110.0,scan,4,1,1084,40.192806822395255
110.0,scan,4,2,983,36.447905079718204
110.0,scan,4,3,216,8.008898776418242
110.0,scan,5,0,287,10.64145346681498
110.0,scan,5,1,274,10.159436410826844
110.0,scan,5,2,1023,37.93103448275862
110.0,scan,5,3,990,36.70745272525028
110.0,scan,5,4,123,4.560622914349277
110.0,scan,6,0,93,3.4482758620689653
110.0,scan,6,1,968,35.89173155357805
110.0,scan,6,2,535,19.836855765665554
110.0,scan,6,3,177,6.562847608453837
110.0,scan,6,4,706,26.17723396366333
110.0,scan,6,5,218,8.083055246570263
110.0,scan,7,0,221,8.194289951798295
110.0,scan,7,1,137,5.079718205413422
110.0,scan,7,2,749,27.771598071931777
110.0,scan,7,3,873,32.36929922135706
110.0,scan,7,4,95,3.522432332220986
110.0,scan,7,5,465,17.24137931034483
110.0,scan,7,6,157,5.82128290693363
110.0,scan,8,0,146,5.413422321097515
110.0,scan,8,1,827,30.663700407860585
110.0,scan,8,2,128,4.746014089729329
110.0,scan,8,3,305,11.308861698183167
110.0,scan,8,4,440,16.314423433444567
110.0,scan,8,5,95,3.522432332220986
110.0,scan,8,6,208,7.71227289581016
110.0,scan,8,7,548,20.318872821653688
110.0,scan,9,0,763,28.29069336299592
110.0,scan,9,1,124,4.597701149425287
110.0,scan,9,2,648,24.026696329254726
110.0,scan,9,3,182,6.748238783833889
110.0,scan,9,4,113,4.189840563589173
110.0,scan,9,5,424,15.721171672228403
110.0,scan,9,6,212,7.860585836114201
