threshold,stage,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
36.0,scan,2,3365,93.65432785972725,228,6.345672140272753,5,42,True,30,3.873383099999046,294.7553940207656,-1939845.278709023,-1972905.7893994907,1049,2316,31.173848439821693,0.35634472639072384,1383.3627854534298,8.664560632588313e-303,0.4110504863078887,0.0006981279622488777,0.00040811132426614574,0.009921766887436786,0.0014771147186786238,0.004125377338170303,0.005174752981428571,68.86217132867844,False
36.0,scan,3,3365,93.65432785972725,228,6.345672140272753,5,42,True,25,1.5016568999999436,299.38684206397306,-1949075.9744936312,-1998669.8011209539,470,1613,13.967310549777118,0.501899821206802,1914.534604433953,0.0,0.5688681155365714,0.037689794711111266,0.03224496951075467,0.3314073388807988,0.22349170096744322,0.29509791903918964,0.2833323196291439,1.771417471412167,False
36.0,scan,4,3365,93.65432785972725,228,6.345672140272753,5,42,True,10,1.0751329999984591,300.6533038920268,-1935647.1336282785,-2001774.276192456,231,1494,6.864784546805349,0.53395708526222,2008.0098121529136,0.0,0.596551565650971,0.06396617768496199,0.07494016585940642,0.3461254549275914,0.23345103931950667,0.3092468841363779,0.29627445946115866,1.8022379864715314,False
36.0,scan,5,3365,93.65432785972725,228,6.345672140272753,5,42,True,14,1.8739329999989423,301.5051103530194,-1919493.134950462,-2002153.5934514946,150,1213,4.457652303120357,0.5697011972626812,2062.9813466841133,0.0,0.61279206746551,0.09291791055398024,0.07148015009042967,0.35734146458474914,0.2779791303165716,0.31120295766684797,0.31550785085605626,1.8056640927220389,False
36.0,scan,6,3365,93.65432785972725,228,6.345672140272753,5,42,True,32,2.8511799999978393,302.66367720799065,-1905353.6337845612,-2004547.4082224485,161,1229,4.784546805349183,0.5707083645966061,2068.84694859095,0.0,0.6144230272673266,0.06542171595151491,0.06825491269120551,0.41704065726318384,0.3197895227791725,0.3638210420036513,0.3668837406820025,1.555556437403611,False
36.0,scan,7,3365,93.65432785972725,228,6.345672140272753,5,42,True,24,2.7205003000017314,303.3677937071488,-1888134.4015238849,-2003861.4918986273,150,886,4.457652303120357,0.6157190975174907,2167.310593487484,0.0,0.6436303137246825,0.12950858866402393,0.09106895774494884,0.3866476698528574,0.2911338936183764,0.3376471571025821,0.338476240191272,1.819091045119,False
36.0,scan,8,3365,93.65432785972725,228,6.345672140272753,5,42,True,37,6.124318099999073,304.22153236546745,-1871938.1556878607,-2004198.561999458,127,872,3.774145616641902,0.6197146801734444,2166.3303603273635,0.0,0.6432321597638855,0.1583631370842152,0.10008054672490134,0.4038184052192831,0.31188508498791173,0.35990071029679543,0.3585347335013301,1.7284648383198986,False
36.0,scan,9,3365,93.65432785972725,228,6.345672140272753,5,42,True,25,7.371646799998416,304.53920025930637,-1852142.6530061518,-2000936.375254604,85,1178,2.526002971768202,0.5688845270861089,2054.412565052411,0.0,0.6097772839846278,0.10434122523851029,0.12668906592645818,0.4768753550426126,0.3755767065113447,0.46533429194034637,0.4392621178314345,1.2950912541573107,False
36.0,scan,10,3365,93.65432785972725,228,6.345672140272753,5,42,True,59,7.184095500000694,304.97208646715706,-1833121.7984250248,-1998448.836610332,64,1127,1.901931649331352,0.5706435968323841,2054.7450350513664,0.0,0.6097600700600198,0.1303319708033421,0.15885829014917086,0.4377227537157818,0.3575407946949333,0.4089778370763735,0.40141379516236286,1.4215844191442688,False
36.0,scan,11,3365,93.65432785972725,228,6.345672140272753,5,42,True,47,8.650784600002225,305.59804155880573,-1815406.370674124,-1997266.7247962859,47,1025,1.3967310549777117,0.5704485056030084,2040.7250599668732,0.0,0.6054636434009759,0.1093111718709953,0.17157586228018373,0.45132073434171416,0.3284440143814047,0.432351638488723,0.40403879573728063,1.4118656713696693,False
36.0,scan,12,3365,93.65432785972725,228,6.345672140272753,5,42,True,76,9.459344200000487,306.03145754322355,-1796379.078927734,-1994772.7489867508,55,869,1.6344725111441307,0.5845707276087394,2051.8088835030285,0.0,0.6086516204900174,0.13741671999581467,0.19723207011336386,0.46351894038922903,0.37885819431044027,0.43725951089986975,0.4265455485331797,1.370476680905433,False
