threshold,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
0.0,2,3593,100.0,0,0.0,5,42,True,23,3.4929035999994085,290.05200698368185,-2040103.3198111462,-2073517.9176043463,1116,2477,31.060395212914,0.4455575976589847,1759.5616340457436,0.0,0.4897136268576284,0.007893592643172374,0.004813171015479613,0.09401822467151515,0.04523957894252247,0.07421893244313614,0.07115891201905793,6.261444772225502,False
0.0,3,3593,100.0,0,0.0,5,42,True,24,1.2972195000002102,296.158701724234,-2061869.222766757,-2111994.2128279507,493,1883,13.721124408572225,0.5222353500631381,2124.0218734407317,0.0,0.591092443855357,0.026148592981673,0.03032237970701347,0.3332930171863602,0.22562693274332563,0.2922011068277582,0.28370701891914796,1.8407558334394505,False
0.0,4,3593,100.0,0,0.0,5,42,True,28,1.5628332999986014,297.8430177981792,-2051863.8356231945,-2118699.217952382,174,1636,4.842749791260784,0.5659074766253404,2276.285797720997,0.0,0.6334036772697121,0.043473736775307054,0.054951980090169494,0.341728706106127,0.22701645328550651,0.3056892271940216,0.291478128861885,1.9415092269015213,False
0.0,5,3593,100.0,0,0.0,5,42,True,22,2.022074300000895,298.8872969734703,-2037251.097233497,-2120796.871830678,190,1133,5.28806011689396,0.6388444211001674,2458.762911480113,0.0,0.6841591169119602,0.0760573245539116,0.05186165835345058,0.3543888449168561,0.26356629980467894,0.3124029342129011,0.310119359644812,2.0599952928828853,False
50.0,2,3228,89.84135819649318,365,10.15864180350682,5,42,True,28,1.1106658000007883,296.1809193659015,-1868508.1138443623,-1901344.130821097,916,2312,28.376703841387855,0.2735537718477646,1050.3705438235302,2.022044634445007e-230,0.3252853514642065,9.658286986228957e-05,0.0002485230251317178,0.0009580804087639287,0.00034711571895635696,5.344261105075192e-07,0.00043524351794359766,628.5074000417712,False
50.0,3,3228,89.84135819649318,365,10.15864180350682,5,42,True,37,2.110318600000028,300.5202500256045,-1874694.3974799332,-1923951.4627540498,446,1532,13.816604708798017,0.49128444274314376,1800.7255103273,0.0,0.5577443442875349,0.03634600365922468,0.027880287100063843,0.3206992902430067,0.2141712960221074,0.2885134886073864,0.2744613582908335,1.7899949406449895,False
50.0,4,3228,89.84135819649318,365,10.15864180350682,5,42,True,49,2.671986299999844,302.05779728290787,-1862804.307109582,-1928482.4206810805,231,1289,7.156133828996283,0.5416406274257509,1910.1396896427013,0.0,0.5915445687477362,0.07088096318388883,0.0352793330256816,0.35243420900605055,0.24721151855253998,0.31026512628830266,0.3033036179489644,1.7858033843727197,False
50.0,5,3228,89.84135819649318,365,10.15864180350682,5,42,True,16,1.601348500000313,302.67981700663006,-1845011.5088741295,-1927110.67074301,191,1250,5.916976456009913,0.5520185865532717,1935.2809977630423,0.0,0.599218429340069,0.08443689016096761,0.06998906332273513,0.35592556799242187,0.27184080405266475,0.3135308858962205,0.3137657526471023,1.7593334578300406,False
70.0,2,3028,84.27497912607849,565,15.725020873921514,5,42,True,20,0.7898261999998795,298.0039698405447,-1761417.70118748,-1793908.2679637042,1400,1628,46.23513870541612,0.464724018694612,1610.6366139063357,0.0,0.5319354309009702,0.04672368183413592,0.010207926319367119,0.05526468204601797,0.009761238419268698,0.04784058305731146,0.03762216784086605,12.352398741622174,False
70.0,3,3028,84.27497912607849,565,15.725020873921514,5,42,True,49,1.2607624000011128,302.2955003624462,-1765758.8518544561,-1814497.7098475997,334,1489,11.030383091149274,0.45788028112618495,1590.0369483455797,0.0,0.5249708920150676,0.03115242916995253,0.04909763087639789,0.3094577642597417,0.20640183942021584,0.29194272254945114,0.2692674420764696,1.7004665606625808,False
