parent,parent_n,sub_k,seed_ari_mean,reproducible,eta2_direction_balance,eta2_post_midnight_share,eta2_post_midnight_persistence,eta2_weekend_ratio,eta2_log_total_activity,eta2_km_to_centre
C1,1145,2,0.9165898423873865,True,0.034688434770430945,0.05823344733683857,0.06846186363791677,0.06425912284942799,0.38281629549533835,0.051537013326349045
C1,1145,3,1.0,True,0.173497429763872,0.22957935641321903,0.2053806272633218,0.09155398719519513,0.3327378043465849,0.0732317462767424
