NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason,imd_score,imd_covered_area_m2,total_catchment_area_m2,imd_coverage_ratio,total_activity_metric,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,distance_to_centre_km
500,0,1.0,1.181470643379288e-37,5913.695163326618,14018.011921536674,19931.70708486329,Acton Town,3,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,2136966.533860529,True,0.0889740723479801,0.3479874272286271,0.0722505131869922,0.1949629822731166,0.2958250049632838,0.0,0.0,2136966.5338605377,1.0000000000000042,True,2.0,0.7459275487884899,,24.09469053961413,2136966.5366398334,2136966.533860529,1.000000001300584,19931.707084863283,9.900117233629755,-0.4066042473785248,0.0478428670795634,0.0856030654478587,0.0754671459637347,0.8606663913080502,medium,10.685404159149039
501,3,1.0,3.9968049417465697e-125,11049.72327684,6330.322317268003,17380.045594108,Barbican,1,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,506176.4778921927,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506176.4778921934,1.000000000000001,True,1.0,-0.0,,14.042067947616422,506176.4785440002,506176.4778921927,1.000000001287708,17380.045594108,9.763135557775504,0.2715413451603327,0.0196241072362688,0.0030242846023453,0.0289725246312853,0.5786905917405434,medium,2.3833087155279156
502,3,1.0,3.637571621732165e-50,12244.379849940393,13127.939881514514,25372.319731454907,Aldgate,1,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,308165.20598731784,True,0.9416568191251304,0.0583431808748696,0.0,0.0,0.0,0.0,0.0,308165.2059873244,1.000000000000021,True,1.0,0.1142828604266375,,17.431908956374038,308165.2063815474,308165.20598731784,1.0000000012792798,25372.31973145491,10.141453496672003,-0.0348237780749206,0.0252125253540988,0.0011259831342128,0.0379643771206456,0.718626561852749,medium,3.5895266993420356
503,2,1.0,2.118088457146785e-18,25196.40203101999,26446.2887469,51642.69077791999,Aldgate East,1,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,983020.768581642,True,0.4312337784161714,0.4523318655998562,0.1164343559839722,0.0,0.0,0.0,0.0,983020.7685816276,0.9999999999999856,True,2.0,0.4994830267403109,,26.996717817464305,983020.7698397044,983020.768581642,1.0000000012797923,51642.690777920005,10.852123313706397,-0.0242025869886391,0.0357460228481148,0.0055808327194924,0.0567115139724642,0.9715872266803496,high,3.930427267645119
505,4,0.973294497992638,0.1230966731444956,2726.357168859186,7092.771858705201,9819.129027564388,Alperton,4,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,2063533.0205897456,True,0.0,0.0983163863873759,0.0419330809297035,0.642542522063259,0.193136224676481,0.0240717859431805,0.0,2063533.020589769,1.000000000000011,True,4.0,0.540906000056631,,26.422158272763916,2063533.023287111,2063533.0205897456,1.0000000013071588,9819.129027564388,9.192189540525368,-0.4446845211615567,0.0418735033586676,0.0126601953871513,0.0618501173884954,0.6830609290046609,low,12.609410741101232
507,1,1.0,5.848511862032458e-24,31737.71886116,25901.40646412001,57639.12532528001,Angel,1,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,2294117.836522543,True,0.5183994918444572,0.3798058552933915,0.0,0.1017946528621512,0.0,0.0,0.0,2294117.836522504,0.9999999999999828,True,1.0,0.4835071928184545,,22.750385856819324,2294117.839476805,2294117.836522543,1.0000000012877552,57639.12532528,10.961974224387292,0.101256088882394,0.0333334412160701,0.0016221041040503,0.0541395500013579,0.9995170764451784,high,3.072216525279845
508,0,1.0,1.4920640344016498e-39,9954.105804043724,19429.07578368006,29383.181587723782,Archway,2/3,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,2627675.5252533685,True,0.061401019501625,0.7331212499928557,0.0500480672354559,0.0302379011556062,0.1251917621144571,0.0,0.0,2627675.525253383,1.0000000000000056,True,2.0,0.4700802491252809,,25.410276555237658,2627675.528651209,2627675.5252533685,1.0000000012930974,29383.18158772377,10.288211767296763,-0.3224623566154241,0.0385168401682111,0.0535156528883775,0.0594346891371752,0.7869622795228649,high,6.388871615599986
509,0,1.0,7.563927093776893e-39,3121.476679486484,9686.938155317,12808.414834803483,Arnos Grove,4,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,3312758.991381347,True,0.0,0.0,0.0223363293351594,0.1874180161868372,0.5902484055839616,0.1999972488940415,0.0,3312758.9913813546,1.0000000000000022,True,5.0,0.5302401084122632,,18.01734705682048,3312758.9956809664,3312758.991381347,1.0000000012978967,12808.414834803483,9.457935713504192,-0.512589696735197,0.0473234208235082,0.0706297407645615,0.0728189197409532,0.8076543921912906,medium,12.143914754163116
510,0,1.0,7.745299364641327e-57,2788.6440344604034,6681.370309785282,9470.014344245688,Arsenal,2,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,1450264.4349277057,True,0.0392413568746539,0.7054554465781513,0.2553031965471947,0.0,0.0,0.0,0.0,1450264.4349276917,0.9999999999999902,True,2.0,0.3709176505720188,,24.104813366598165,1450264.4367978883,1450264.4349277057,1.0000000012895458,9470.014344245688,9.155991291768895,-0.4110581181632777,0.0416753791554409,0.0589532698304804,0.0658047065624402,0.7795247513301725,low,5.851469927976903
511,3,1.0,2.2573291944203717e-25,51064.58130176767,23898.36473050797,74962.94603227565,Baker Street,1,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,1032424.1727292184,True,0.301290133877291,0.0,0.0,0.6120839015424498,0.0,0.0866259645802591,0.0,1032424.1727292476,1.0000000000000284,True,4.0,0.4490526881833642,,10.33703002975547,1032424.1740631883,1032424.1727292183,1.0000000012920756,74962.94603227565,11.224762557366091,0.362395263382034,0.0309190431703475,0.0285076311505231,0.045736296897985,0.7351039335757854,high,2.754493469016398
512,0,1.0,3.312793211707495e-24,16469.15800745222,28849.970374424967,45319.12838187719,Balham LU,3,528480.3274,173244.480799999,-0.1526912294756308,51.44362737290878,2441306.8943554848,True,0.0,0.207090956785368,0.1588385821176174,0.2292679563325808,0.2143609374290551,0.1904415673353786,0.0,2441306.894355515,1.0000000000000124,True,4.0,0.8232514408036099,,9.928017621523173,2441306.897491663,2441306.8943554848,1.000000001284631,45319.128381877206,10.721506547924276,-0.2731917582934745,0.0422643080748414,0.0675715701991157,0.0639307447376751,0.8330448818161511,high,7.323660101559454
513,3,1.0,1.5673449138322407e-166,91406.14782448392,32449.579175152,123855.72699963592,Bank and Monument,1,532710.1551,181119.8978,-0.088908087271181,51.513425435909184,270882.8051319224,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270882.8051319224,0.9999999999999998,True,1.0,-0.0,,9.682,270882.8054792592,270882.8051319224,1.0000000012822399,123855.72699963594,11.726880749144003,0.4760100326204961,0.0316963767675859,0.019706374035511,0.0445810634212127,0.3688743472512699,high,2.6805791630356164
514,0,1.0,1.5909772190541232e-21,18710.73475998977,50301.57582767076,69012.31058766053,Barking,4,544358.8052,184382.179,0.080182080144555,51.539885097485445,3674725.221772792,True,0.1052018635134805,0.0751055742740206,0.2272444313504339,0.4190730782215583,0.168844473774517,0.0045305788659894,0.0,3674725.221772726,0.999999999999982,True,4.0,0.748911119116548,,35.09079070626348,3674725.226434043,3674725.2217727923,1.0000000012684624,69012.31058766051,11.142054672042764,-0.4577566060123984,0.0434653215271612,0.0171419569191642,0.0668130160098733,0.7932289796292948,high,14.777365295748309
515,4,1.0,5.204223289368523e-38,714.948946704523,4023.674694132535,4738.623640837058,Barkingside,4,544798.7557,189493.9487,0.0886252042343672,51.58570377518845,2414786.2909222115,True,0.0,0.0,0.0295513200214721,0.0999111387669306,0.5752562787974342,0.100453178167701,0.1948280842464619,2414786.2909222003,0.9999999999999952,True,5.0,0.617607854511964,,17.53610369045904,2414786.2939934395,2414786.2909222115,1.0000000012718426,4738.6236408370605,8.463713010869435,-0.6982461571570473,0.0511553079372187,0.0618815726544248,0.0745695305382272,0.6336395767575607,low,17.266654266079275
516,0,1.0,3.152924600723678e-46,7402.351236572083,12966.531270303212,20368.882506875296,Barons Court,2,524045.7583,178327.6646,-0.2146840501234848,51.49029837209941,1168873.5079104537,True,0.1797323088312895,0.6426472093387157,0.0915388444589747,0.0222825159517434,0.0637991214192766,0.0,0.0,1166450.687810541,0.9979272178866948,True,2.0,0.5508122389358449,,17.196892536289965,1166450.7606131502,1168873.5079104537,0.9979272801711158,20368.88250687528,9.92181274125504,-0.2731706087387462,0.0425489722815002,0.089181449875139,0.0663516325465069,0.703028114888279,medium,6.4245360860463885
517,2,1.0,7.349750906141729e-44,6602.944139000001,10111.78975898,16714.73389798,Bayswater,1,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448,430477.2164615136,True,0.0447442571032684,0.5156983129820757,0.4395574299146558,0.0,0.0,0.0,0.0,430477.2164614973,0.9999999999999624,True,2.0,0.4326171885112603,,17.29432256044916,430477.2170189796,430477.21646151354,1.0000000012949954,16714.73389798,9.72410570444014,-0.2099253055057041,0.0298721246737787,0.0012841002358597,0.0477249651912303,1.1123525396319067,medium,4.313916083864184
