unit,raw_k5,ilr_k5,raw_k6,ilr_k6,Station,Fare Zone,lon,lat,best_matched_ilr_for_raw_k5,follows_k5_best_match
582,0,4,2,2,Gants Hill,4,0.0661941322556114,51.57653500920319,4,True
583,2,0,0,3,Gloucester Road,1,-0.183734689874311,51.49448863919927,0,True
584,0,4,2,2,Golders Green,3,-0.1940222522452373,51.57228620318889,4,True
585,0,1,0,4,Goldhawk Road,2,-0.2266448641540456,51.50199179519617,4,False
586,3,2,3,3,Goodge Street,1,-0.1343429023656584,51.520601842773736,3,False
587,4,1,1,5,Grange Hill,4,0.0923218422133414,51.61319815416051,1,True
588,3,3,3,1,Great Portland Street,1,-0.1442909711973862,51.52384645620309,3,True
589,0,1,2,4,Greenford,4,-0.3465040750206399,51.54259127112355,4,False
590,3,2,4,3,Green Park,1,-0.1425418901108901,51.50686769929983,3,False
591,3,1,3,4,Gunnersbury,3,-0.2751361823945699,51.49174191093943,3,False
592,4,4,1,0,Hainault,4,0.0935081961587912,51.6036401975141,1,False
593,3,2,0,3,Hammersmith (DIS),2,-0.2230418838988803,51.49199951963806,3,False
594,2,0,0,3,Hampstead,2/3,-0.1785230935437581,51.5565898798849,0,True
595,0,3,2,4,Hanger Lane,3,-0.2926845249496959,51.53018552933825,4,False
596,0,3,2,4,Harlesden,3,-0.2585901442236528,51.5366984829526,4,False
597,0,1,2,5,Harrow & Wealdstone,5,-0.3348864548890388,51.59204382510434,4,False
598,0,3,2,4,Harrow-on-the-Hill,5,-0.3367522322346986,51.57941460314498,4,False
599,3,3,0,4,Wood Lane,2,-0.223589832503072,51.51014064093162,3,True
601,0,4,2,2,Hendon Central,3/4,-0.2263467398232382,51.58317142482077,4,True
602,0,4,2,0,High Barnet,5,-0.1941662468819022,51.65052191222786,4,True
603,1,2,5,3,Highbury & Islington,2,-0.1037367147978817,51.5474243924603,2,True
604,0,4,2,0,Highgate,3,-0.1464678822653945,51.57784395375154,4,True
605,3,3,0,1,High Street Kensington,1,-0.1922060959253196,51.50044509893274,3,True
606,4,1,1,4,Hillingdon,6,-0.4493839489109262,51.55394931648672,1,True
607,3,2,4,3,Holborn,1,-0.1204164211277831,51.5175781351181,3,False
608,0,0,2,2,Holland Park,2,-0.2056604531683881,51.5071535735316,4,False
609,0,0,2,2,Holloway Road,2,-0.1132635134211874,51.55275576448648,4,False
610,4,1,1,5,Hornchurch,6,0.219106840074,51.55404895710733,1,True
611,0,4,2,2,Hounslow Central,4,-0.3662939172379908,51.47131979963469,4,True
612,0,4,2,2,Hounslow East,4,-0.3563344605692854,51.47326292270873,4,True
613,2,0,5,2,Hounslow West,5,-0.3857939831542604,51.47361867347103,0,True
614,3,2,4,3,Hyde Park Corner,1,-0.1541496692283758,51.5027515504957,3,False
615,4,1,1,5,Ickenham,6,-0.4420401367813711,51.56196897211082,1,True
616,2,0,2,2,Kennington,2,-0.1059654128623501,51.48834003191997,0,True
617,0,1,2,4,Kensal Green,2,-0.2244787816465951,51.53057177755812,4,False
618,3,3,3,5,Kensington (Olympia),2,-0.2101299631004321,51.49773548808454,3,True
619,1,1,5,5,Kentish Town,2,-0.1407479399821426,51.55029387744979,2,False
620,4,3,0,1,Kenton,4,-0.3167281554174249,51.58161162102015,1,False
621,4,1,1,5,Kew Gardens,3/4,-0.285040916474055,51.47699774458654,1,True
622,0,0,2,2,Kilburn,2,-0.2047148916011985,51.546953022454446,4,False
623,0,3,2,4,Kilburn Park,2,-0.1940203229099902,51.534947545387965,4,False
624,4,4,1,0,Kingsbury,4,-0.2786447440288867,51.584641087244194,1,False
625,2,2,0,3,King's Cross St. Pancras,1,-0.1247761302179285,51.52978514307589,0,False
626,3,2,4,3,Knightsbridge,1,-0.1614661160661897,51.50124118729131,3,False
627,0,3,2,4,Ladbroke Grove,2,-0.2109018577576743,51.51732053919889,4,False
628,2,3,0,1,Lambeth North,1,-0.1122327661467621,51.498842228801465,0,False
629,2,0,5,3,Lancaster Gate,1,-0.175445101856735,51.51168719578341,0,True
630,0,1,0,4,Latimer Road,2,-0.2178539357732128,51.513458663999614,4,False
631,1,2,4,3,Leicester Square,1,-0.128332134429999,51.51140465728606,2,True
632,0,4,2,2,Leyton,3,-0.005487155382425,51.55660356521063,4,True
633,0,4,2,2,Leytonstone,3/4,0.0081832198740443,51.568320494028455,4,True
634,3,2,3,3,Liverpool Street LU,1,-0.0832133092355498,51.51735237101746,3,False
635,2,2,0,3,London Bridge LU,1,-0.0896485172357084,51.50506500549169,0,False
636,0,4,2,0,Loughton,6,0.055338101699993,51.64131224348847,4,True
637,0,3,2,1,Maida Vale,2,-0.1858293287116454,51.529729085515065,4,False
638,0,0,2,2,Manor House,2/3,-0.0960648306959596,51.57075126410129,4,False
639,3,3,3,1,Mansion House,1,-0.094105792133622,51.51181640319618,3,True
640,2,2,0,3,Marble Arch,1,-0.1573589906802929,51.51359976087709,0,False
641,0,3,0,1,Marylebone LU,1,-0.1642402663188004,51.52215890700219,4,False
642,0,0,2,2,Mile End,2,-0.0337680632945871,51.52523491887216,4,False
643,4,1,1,5,Mill Hill East,4,-0.2100614199314407,51.608233232687525,1,True
645,3,3,3,1,Moorgate,1,-0.0893115351555198,51.51836305552553,3,True
646,4,1,1,5,Moor Park,6/7,-0.4322869639728746,51.62986629669337,1,True
647,0,4,2,0,Morden,4,-0.1947548535043926,51.40253820130652,4,True
648,2,2,5,3,Mornington Crescent,2,-0.1387497986411517,51.534704942339104,0,False
649,0,4,2,2,Neasden,3,-0.2511708953836603,51.55442640049901,4,True
650,0,4,2,0,Newbury Park,4,0.089920829906462,51.57570573751538,4,True
653,0,0,2,2,North Acton,2/3,-0.2597600781194744,51.5236117661968,4,False
654,0,1,2,5,North Ealing,3,-0.2888251159580139,51.51748228438488,4,False
655,0,0,2,2,Northfields,3,-0.312994928337679,51.49965470504596,4,False
656,4,1,1,4,North Harrow,5,-0.3626047009909967,51.58494710527484,1,True
657,0,1,2,4,Northolt,5,-0.3686504240723905,51.54825926059,4,False
659,0,1,2,5,North Wembley,4,-0.3038826458342014,51.562393713680144,4,False
660,4,1,0,4,Northwick Park,4,-0.3180663388463142,51.57847500401296,1,True
661,0,1,2,4,Northwood,6,-0.4239354593141582,51.611014101617926,4,False
662,4,1,1,4,Northwood Hills,6,-0.4087463545441836,51.60019223372048,1,True
663,2,0,0,3,Notting Hill Gate,1/2,-0.1960899733626558,51.509156012573975,0,True
664,0,4,2,0,Oakwood,5,-0.1312689387217082,51.64733362819432,4,True
665,3,3,3,1,Old Street,1,-0.0876372025918255,51.52508527631206,3,True
667,0,4,2,2,Osterley,4,-0.3522207467968353,51.4812434687809,4,True
668,0,0,2,2,Oval,2,-0.1124062491167189,51.48183745351276,4,False
669,3,2,4,3,Oxford Circus,1,-0.1416304596960839,51.515319726422334,3,False
670,2,3,0,1,Paddington TfL,1,-0.1759896922641174,51.51656148278404,0,False
671,2,3,0,4,Park Royal,3,-0.2839675301559994,51.52647996490144,0,False
672,0,3,2,4,Parsons Green,2,-0.2017635248636348,51.47498535708651,4,False
673,0,1,2,4,Perivale,4,-0.323425169229821,51.5367509216631,4,False
674,1,2,4,3,Piccadilly Circus,1,-0.1336873864316472,51.51006061519836,2,True
675,4,1,1,4,Pinner,5,-0.3811619189424988,51.59282556787736,1,True
676,0,3,2,4,Plaistow,3,0.0169887206450607,51.53123134107084,4,False
677,0,1,2,4,Preston Road,4,-0.295129262413792,51.5720140756016,4,False
678,0,3,2,4,Putney Bridge,2,-0.2087270375114135,51.46825546825846,4,False
679,4,4,1,0,Queensbury,4,-0.2862217775472735,51.59419745209295,1,False
680,0,3,2,4,Queen's Park,2,-0.2057416029735368,51.53397821009533,4,False
681,2,0,0,3,Queensway,1,-0.1871382982400704,51.51025217607452,0,True
682,0,3,0,4,Ravenscourt Park,2,-0.2357753569718746,51.49416773582848,4,False
683,4,1,1,4,Rayners Lane,5,-0.3714462140203309,51.57519536192319,1,True
684,0,4,2,2,Redbridge,4,0.0454102741389324,51.576249813818855,4,True
685,3,3,3,1,Regent's Park,1,-0.1463131245528823,51.52327838474291,3,True
686,4,1,1,5,Richmond,4,-0.3016691259076597,51.463118722979786,1,True
687,4,1,1,4,Rickmansworth,7,-0.4737058106627786,51.64028836634988,1,True
688,4,1,1,5,Roding Valley,4,0.0437096502446484,51.61707861416649,1,True
690,0,3,0,4,Royal Oak,2,-0.1877862733299185,51.51904813011949,4,False
691,4,1,1,4,Ruislip,6,-0.4217906669062553,51.57129177940531,1,True
692,4,1,1,5,Ruislip Gardens,5,-0.4107169346271762,51.56077549009729,1,True
693,4,1,1,4,Ruislip Manor,6,-0.411812431756392,51.5734761421505,1,True
