MSOA11CD,hour,od_origin,od_destination
E02000021,19,283.0,286.0
E02000021,20,131.0,182.0
E02000021,21,85.0,108.0
E02000021,22,81.0,144.0
E02000021,23,69.0,19.0
E02000022,0,12.0,24.0
E02000022,2,11.0,11.0
E02000022,3,10.0,0.0
E02000022,4,15.0,0.0
E02000022,5,75.0,49.0
E02000022,18,170.0,300.0
E02000022,19,135.0,179.0
E02000022,20,147.0,211.0
E02000022,21,49.0,97.0
E02000022,22,27.0,38.0
E02000022,23,24.0,25.0
E02000023,0,0.0,14.0
E02000023,2,29.0,0.0
E02000023,4,0.0,22.0
E02000023,5,39.0,11.0
E02000023,18,163.0,140.0
E02000023,19,94.0,107.0
E02000023,20,47.0,101.0
E02000023,21,43.0,101.0
E02000023,22,50.0,76.0
E02000023,23,25.0,11.0
E02000024,0,67.0,20.0
E02000024,1,12.0,0.0
E02000024,3,0.0,14.0
E02000024,5,0.0,65.0
E02000024,18,658.0,630.0
E02000024,19,572.0,461.0
E02000024,20,268.0,236.0
E02000024,21,220.0,204.0
E02000024,22,110.0,46.0
E02000024,23,74.0,29.0
E02000025,0,0.0,61.0
E02000025,18,205.0,230.0
E02000025,19,131.0,164.0
E02000025,20,80.0,132.0
E02000025,21,86.0,81.0
E02000025,22,34.0,85.0
E02000025,23,33.0,60.0
E02000026,5,41.0,0.0
E02000026,18,27.0,64.0
E02000026,19,21.0,50.0
E02000026,20,14.0,13.0
E02000026,21,12.0,17.0
E02000027,0,0.0,22.0
E02000027,1,0.0,12.0
E02000027,3,14.0,0.0
E02000027,5,26.0,75.0
E02000027,18,149.0,235.0
E02000027,19,152.0,196.0
E02000027,20,154.0,285.0
E02000027,21,103.0,139.0
E02000027,22,20.0,94.0
E02000027,23,22.0,57.0
E02000028,5,14.0,0.0
E02000028,18,131.0,221.0
E02000028,19,94.0,154.0
E02000028,20,54.0,107.0
E02000028,21,112.0,56.0
E02000028,22,11.0,19.0
E02000028,23,0.0,35.0
