MSOA11CD,total_flow,linked_flow,shiftwork_linked_share,std_residual,linked_share_quartile,transport_storage_share,shiftwork_heavy
E02000001,33281,1252.0,0.03761906192722574,0.7028600583766077,Q2,0.014862031354599518,False
E02000002,1113,871.0,0.7825696316262354,-0.0987813168314247,Q4_high,0.06589700058371233,True
E02000003,1420,1283.0,0.9035211267605634,0.0634126726083628,Q4_high,0.07696188679511375,True
E02000004,836,542.0,0.6483253588516746,-0.988214745633595,Q4_high,0.07572785722709192,True
E02000005,1250,1131.0,0.9048,-0.2958951673222795,Q4_high,0.07379827101764248,True
E02000007,1805,1633.0,0.9047091412742382,-0.1008890197537924,Q4_high,0.07345798308840862,True
E02000008,2023,1915.0,0.9466139396935245,-0.0943770993112507,Q4_high,0.08581613015051283,True
E02000009,1361,1330.0,0.9772226304188097,0.1598047845379705,Q4_high,0.08807454082352772,True
E02000010,384,384.0,1.0,0.3113148677299148,Q4_high,0.07166450821935823,True
E02000011,774,713.0,0.9211886304909561,1.1847351543728892,Q4_high,0.0945219746452991,True
E02000012,698,659.0,0.9441260744985673,1.1823732122282216,Q4_high,0.08847276838000985,True
E02000013,889,828.0,0.9313835770528683,1.105234964094003,Q4_high,0.07018527504504773,True
E02000014,1814,1744.0,0.9614112458654906,0.9875693066772904,Q4_high,0.0827865382706745,True
E02000015,1017,960.0,0.943952802359882,-0.4881405788104689,Q4_high,0.08306877201821362,True
E02000016,5041,4158.0,0.8248363419956358,0.978497925216942,Q4_high,0.06542645719679098,True
E02000017,659,564.0,0.8558421851289834,2.185802261288028,Q4_high,0.07318133230045921,True
E02000018,1105,949.0,0.8588235294117647,-0.4604305172503062,Q4_high,0.08295826427162573,True
E02000019,1897,1854.0,0.9773326304691619,-1.082322305932338,Q4_high,0.0798793063647841,True
E02000020,1639,1541.0,0.9402074435631482,0.3382951514868593,Q4_high,0.07779875135590776,True
E02000021,1439,1397.0,0.970813064628214,-0.0141198309193577,Q4_high,0.08112647457041343,True
E02000022,934,866.0,0.9271948608137045,-1.6065527369971764,Q4_high,0.076322943727347,True
E02000023,583,556.0,0.9536878216123499,1.5252186523181306,Q4_high,0.08926943951285539,True
E02000024,1705,19.0,0.011143695014662757,0.9743325358117586,Q2,0.02725463325017735,False
E02000025,813,0.0,0.0,-0.479147973094136,Q1_low,0.03589924103844934,False
E02000026,144,0.0,0.0,-0.7475395644888256,Q1_low,0.03190098103627505,False
E02000027,1115,193.0,0.17309417040358743,-1.318809184784932,Q3,0.0490408162060417,False
E02000028,592,26.0,0.04391891891891892,0.1842149300763739,Q2,0.03109720113024108,False
E02000029,1556,0.0,0.0,-0.6382725035037059,Q1_low,0.04676481063490988,False
E02000030,390,57.0,0.14615384615384616,-0.1457334900501723,Q3,0.025183310445424954,False
E02000031,851,0.0,0.0,1.3257083069815658,Q1_low,0.02341224371161722,False
E02000032,719,0.0,0.0,-2.102796281939465,Q1_low,0.03201615337863432,False
E02000033,1228,11.0,0.008957654723127036,-0.7773712689582353,Q2,0.044165492679625294,False
