hour,n,r_squared,slope
18,979,0.5198392659390474,1.1479758150712507
19,979,0.47380019177548904,1.087171355087583
20,974,0.46317356225199413,1.0488137195096903
21,962,0.46298528537445394,1.0021003271683302
22,922,0.4530073302041966,0.9710875119865129
23,767,0.4132594864065412,0.9453856795640881
0,563,0.368879519348669,0.9768933776564585
1,296,0.30403978260729336,0.9219395131948627
2,193,0.28785328492707607,0.8363639886022247
3,235,0.14448051777938598,0.5230999816015801
4,420,0.17124286567322045,0.5444999433980453
5,764,0.15390203907951494,0.4660095759566717
