MSOA11CD,od_destination_total,rail_exit_total,std_residual
E02000001,33281,64037.68043099912,1.2247389976147185
E02000011,774,1698.7201278922,-0.14094161299373456
E02000012,698,1428.9978069464305,-0.2720315088482574
E02000013,889,1930.0301066728,-0.09830074727942674
E02000014,1814,3133.104608378,-0.09980857254033494
E02000016,5041,11943.68275365608,0.7213148498008195
E02000023,583,754.2264260000001,-0.9320450613996529
E02000024,1705,2654.252948494,-0.2579325496927816
E02000031,851,1758.8216379972002,-0.1790376802146093
E02000035,596,2122.7251382162003,0.3713488473123815
E02000040,698,1173.0103808796,-0.5243508947843951
E02000041,3204,2776.132644036,-0.7500259590818863
E02000043,312,1122.5586201268072,0.11962598409686846
E02000046,1903,4095.444468032,0.20101346230666348
E02000047,2590,2162.8161642398,-0.8839154352214138
E02000053,3180,4907.466001903401,-0.01491527933597753
E02000055,3195,3183.2742846700003,-0.5725734674216827
E02000056,639,4378.047258222,1.2364458400430605
E02000060,1131,1178.163422996345,-0.9388667757941218
E02000061,2594,4132.04076073,-0.05743636908421982
E02000093,2022,2420.2229665580003,-0.5244824832969663
E02000095,2612,2621.9550098586,-0.6451289830104444
E02000099,1805,1863.966321061,-0.7595114977878795
E02000100,1188,3179.277227773566,0.2874997718690618
E02000104,1468,9827.04273692,1.5465027475392366
E02000105,3068,913.4516684685884,-2.1332416790916024
E02000106,2371,1606.93001556,-1.1867855169208898
E02000108,640,1145.059091653275,-0.47968883691268804
E02000110,718,2002.735190722,0.1349107940135108
E02000111,2154,2997.4480772124,-0.3060443569265249
E02000112,4804,1716.6600907600002,-1.717516472679676
E02000114,838,4329.695841112,0.9863040156404537
E02000115,473,3584.5866170336417,1.2423842263398213
E02000119,3417,1297.109020438,-1.7789452697404258
E02000120,979,1244.9866697556834,-0.7427005107813015
E02000121,3694,1752.016760646,-1.462542699828351
E02000124,1373,7335.372206448303,1.2307312612469232
E02000126,683,1833.98085934,0.06585623198914542
E02000131,2225,4995.539631931114,0.3189330341430778
E02000135,2484,911.7331587378258,-1.9517027728329464
E02000167,567,2602.57343219,0.675333902941204
E02000168,1139,6882.246719907438,1.3118750622338262
E02000171,680,929.8576938916,-0.798486389018706
E02000172,1013,1055.361125168478,-0.9836152486828681
E02000173,974,814.6954525866747,-1.2801669590232483
E02000175,1849,11146.129393915371,1.5066484848671033
E02000176,420,2582.446302694,0.9263961860106226
E02000177,1406,3252.1929659008,0.16979116995574592
E02000182,1018,3183.917959257249,0.4238220094340005
E02000184,1785,1436.1136465140507,-1.0831753919742984
E02000185,1129,371.45466686406,-2.411536998172608
E02000186,3862,7058.933758407301,0.2807639229797038
E02000187,6428,31536.144770401534,1.751490443595761
E02000188,2712,18815.253040286025,1.8427091332651544
E02000191,4571,8012.824837603057,0.2960351602051214
E02000193,10538,9213.666822734,-0.25312863689891435
E02000201,1946,3832.218939794722,0.09659391494576806
E02000213,7471,2774.680985524,-1.4883351894066694
E02000241,1860,3005.79138986,-0.17466823702373513
E02000243,2846,2225.8329349620003,-0.9293031979521288
E02000244,2110,1128.602302001,-1.5368625190039495
E02000248,1521,1860.417846167858,-0.6128518748798595
E02000252,4730,5712.931459860293,-0.16646040880170382
E02000255,1285,2111.554128912504,-0.304127324665109
E02000257,6041,12182.422444737958,0.5889566350579334
E02000258,706,688.2597475516001,-1.2155236505700608
E02000259,1076,1609.623106083036,-0.4965869513874537
E02000262,2569,785.1741789184,-2.1719529814245755
E02000264,1303,1213.217768152776,-1.0246599308402748
