threshold,n_core,pct_core,bic_best_k,bic_best_k_activity_eta2,bic_best_k_timing_mean_eta2,bic_best_k_activity_to_timing_ratio,gate_pass_at_bic_best_k,bic_best_k_min_cluster_pct,bic_best_k_converged,reference_k3_activity_eta2,reference_k3_gate_pass,bic_best_k_differs_from_reference,part_of_consecutive_pass_run,coverage_band,strict_candidate
0.0,3593,100.0,3,0.5222164550682468,0.2839729008842475,1.8389658078011877,False,13.748956303924297,True,0.5222164550682468,False,False,False,preferred_at_least_75pct,False
50.0,3228,89.84135819649318,3,0.49128444274314376,0.2744613582908335,1.7899949406449895,False,13.816604708798017,True,0.49128444274314376,False,False,False,preferred_at_least_75pct,False
70.0,3028,84.27497912607849,3,0.4582521369703173,0.26911625098404274,1.70280365936537,False,11.063408190224571,True,0.4582521369703173,False,False,False,preferred_at_least_75pct,False
90.0,2848,79.26523796270526,2,0.4408522038070389,0.02721123007982533,16.201112647747998,False,43.75,True,0.04109952882372036,True,True,False,preferred_at_least_75pct,False
100.0,2761,76.84386306707486,2,0.4118348476459196,0.006669976897800435,61.74456882777672,False,38.53676204273814,True,0.09277404943385814,True,True,False,preferred_at_least_75pct,False
110.0,2697,75.06262176454217,2,0.39283174756489614,0.00446763207470747,87.92840166692056,False,37.226548016314425,True,0.05921162556009228,True,True,False,preferred_at_least_75pct,False
125.0,2582,71.86195379905372,2,0.023124654577629165,0.06399501767700912,0.3613508585049886,True,17.15724244771495,True,0.4638598631601013,False,True,True,fallback_70_to_75pct,False
150.0,2427,67.54801001948233,2,0.0005621340606051574,0.06667508726208783,0.008430946005297438,True,16.646065100947673,True,0.4506968333419851,False,True,True,stress_below_70pct,False
