threshold,k,n_core,pct_core,n_excluded_from_fit,pct_excluded_from_fit,n_init,seed,converged,n_iter,fit_seconds,lower_bound,bic_within_threshold,aic_within_threshold,min_cluster_size,max_cluster_size,min_cluster_pct,activity_eta2,activity_kw_h,activity_kw_p,activity_kw_epsilon2,direction_balance_eta2,weekend_ratio_eta2,post_midnight_share_eta2,deep_night_share_eta2,post_midnight_persistence_eta2,timing_mean_eta2,activity_to_timing_ratio,gate_activity_below_timing
175.0,2,2281,63.4845532980796,1312,36.5154467019204,5,42,True,20,3.1992874999996275,306.5659442055419,-1356802.1072905636,-1387762.6334601217,361,1920,15.82639193336256,0.026417985307021087,94.01638986066973,3.129220023275112e-22,0.040814563343865615,0.00058213088630264,0.04331370672434927,0.21408906673437933,0.18175830366455115,0.22320269558342762,0.20635002199411936,0.12802511505316902,True
175.0,3,2281,63.4845532980796,1312,36.5154467019204,5,42,True,12,0.6735609999996086,308.3662652451445,-1344140.6840645801,-1390584.3395035283,249,1368,10.916264796142043,0.03506169712760169,67.3222863193605,2.405200421023463e-15,0.028675279332467295,0.13659782446338545,0.09962239758855079,0.33165699068810817,0.30545625883599825,0.3148017966469359,0.31730501539034744,0.11049840193817585,True
175.0,4,2281,63.4845532980796,1312,36.5154467019204,5,42,True,70,2.095366699999431,310.8874596922416,-1334739.7630437487,-1396666.547752087,185,901,8.110477860587462,0.4276884579323278,1063.5639825974558,2.922437555325302e-230,0.4657725000428001,0.10138767321646865,0.10502333034996615,0.35625086760762026,0.31202289202202244,0.32196034062232487,0.3300780334173225,1.2957192379766604,False
175.0,5,2281,63.4845532980796,1312,36.5154467019204,5,42,True,41,2.530945200000133,311.63687843952914,-1317276.9470329834,-1394686.8610107119,131,719,5.743095133713283,0.4494465322194333,1062.9911615941637,7.956427536211795e-229,0.4652860991187011,0.1721607791507492,0.11126095301855926,0.439674351265443,0.37629132204571586,0.4147107913130303,0.4102254882080631,1.0956085010287748,False
200.0,2,2147,59.75507932090175,1446,40.24492067909825,5,42,True,54,0.7828875000013795,308.05956186366444,-1281370.3284810258,-1312003.8650163691,344,1803,16.022356776897997,0.028460193356192997,98.23358424683192,3.7183004506588234e-23,0.04533034230621535,0.0028903429208482017,0.04131113576698494,0.18368056347619796,0.15078202995201628,0.19734608138422086,0.1772695582708117,0.16054755048644528,True
200.0,3,2147,59.75507932090175,1446,40.24492067909825,5,42,True,10,0.6535252000012406,309.8108132556653,-1268167.985558908,-1314121.126275322,244,1261,11.36469492314858,0.021444797381432023,32.445395924455624,9.006826427081462e-08,0.014200277949839376,0.13397850067149505,0.0921241006055483,0.37675708322605345,0.33217383385557486,0.35435821041880683,0.35442970916681166,0.060505078515692576,True
200.0,4,2147,59.75507932090175,1446,40.24492067909825,5,42,True,28,1.7570847000006324,312.2490529936057,-1257923.4525354288,-1319196.1974329134,177,796,8.24406148113647,0.42352426237784,971.230501748274,3.1334582010861406e-210,0.45181078009718806,0.1374359397176153,0.07648771991884563,0.36767310766198885,0.3297865498069263,0.33851967120233006,0.34532644289041503,1.226446080505454,False
200.0,5,2147,59.75507932090175,1446,40.24492067909825,5,42,True,31,1.8754871000001003,313.0039994616221,-1240442.9977953974,-1317035.3468739525,131,758,6.101537028411737,0.42911673383321886,954.8284444434357,2.195036714871886e-205,0.44389749974016607,0.14238713101142988,0.10884697032967328,0.4524593848541033,0.39767328782144445,0.42736250897403344,0.42583172721652707,1.007714330348667,False
250.0,2,1924,53.548566657389365,1669,46.451433342610635,5,42,True,16,0.7514004999993631,310.3057261721514,-1153223.4421004155,-1183264.6770706652,297,1627,15.436590436590437,0.01006224589108922,37.8306263651848,7.716085900820816e-10,0.01916265679770281,2.8059706393412838e-06,0.04796474115916586,0.2501117672860142,0.1913609170673223,0.27412795836046605,0.23853354757126755,0.04218377663662964,True
250.0,3,1924,53.548566657389365,1669,46.451433342610635,5,42,True,11,0.5439145999989705,312.24132985404475,-1140234.3473596715,-1185298.9808958618,217,1158,11.278586278586278,0.018720376544677664,22.756656865186415,1.1440756659980353e-05,0.010805131111497352,0.13709259215927416,0.11063770620315692,0.38784471793751935,0.34405833352386733,0.3758036804513564,0.3692355773042477,0.050700359595229894,True
