covariance,K,BIC
spherical,2,-109624.72100745045
spherical,3,-113293.26806699591
spherical,4,-115752.55517894075
spherical,5,-117197.61392172775
spherical,6,-118232.85597286769
spherical,7,-118843.20162668529
spherical,8,-119685.08692632236
spherical,9,-119783.17943310968
spherical,10,-120316.37930209178
spherical,11,-120547.52751084843
spherical,12,-120748.66763372463
diag,2,-118975.94597848818
diag,3,-121458.42446374772
diag,4,-123102.40813157083
diag,5,-123896.51179834071
diag,6,-124192.15579024662
diag,7,-124263.12229865254
diag,8,-124548.83370811844
diag,9,-124287.61635082943
diag,10,-124289.2164214749
diag,11,-124070.53316642536
diag,12,-124130.45424563368
tied,2,-142166.31451244967
tied,3,-141988.3453475765
tied,4,-141924.2390766287
tied,5,-141652.342644779
tied,6,-141685.37578777733
tied,7,-141492.03814570376
tied,8,-141159.75188831665
tied,9,-140951.1763033824
tied,10,-140924.33438776885
tied,11,-140527.3282676552
tied,12,-140378.98641630306
full,2,-135984.38176837875
full,3,-128788.37671239747
full,4,-120523.89045497919
full,5,-112007.50174422155
full,6,-103370.00233189121
full,7,-94720.28903452025
full,8,-86050.31749064242
full,9,-77263.66845234514
full,10,-68643.35417590008
full,11,-59678.74204194575
full,12,-50932.831217647254
