cluster,stations,eligible_stations,eligibility_rate,mean_total_activity,mean_lnwc_entropy,mean_lnwc_coverage,mean_max_posterior
0,119,118,0.9915966386554622,20210.113253037267,0.591442304169283,0.9873118611749001,0.9997931760473941
1,15,15,1.0,88645.14324642853,0.27128886433910193,0.9394131719659785,0.9999965328651395
2,44,44,1.0,68843.00552668607,0.47765322082247946,0.9885218960482319,0.9999515438938112
3,38,38,1.0,60083.11137404069,0.21805892705485622,0.948930077600124,0.9999999999873209
4,54,39,0.7222222222222222,10339.056668929174,0.5530125356605653,0.9385796927255295,0.9994761523339935
