role,path,bytes,sha256
canonical_stoparea_lsoa_long,D:\SDS2025_workspace\CASA_FYP\FYP\data_processing\bus_stoparea\outputs_1805_min33\preprocessed\bus_lsoa_night_long.parquet,1775374,80e2392e5be637b764ea56c409936dcff5ac6b5344ce43afffcffd63793192ae
stoparea_preprocessing_summary,D:\SDS2025_workspace\CASA_FYP\FYP\data_processing\bus_stoparea\outputs_1805_min33\data\preprocessing_summary.csv,678,b6a7a2ac3a4490eb4e744ec36984f6fade7dc7445513f37eb7a6b7a961b74d20
