K,cluster,day_type,direction,hour_bin,mean_share
2,1,Weekday,alightings,1200,0.05881220864703102
2,1,Weekday,alightings,1260,0.04342009648509166
2,1,Weekday,alightings,1320,0.035120344827627624
2,1,Weekday,alightings,1380,0.025551739047542182
2,1,Weekday,alightings,1440,0.01149950542711158
2,1,Weekday,alightings,1500,0.0020397414753003883
2,1,Weekday,alightings,1560,0.0006004023028617731
2,1,Weekday,alightings,1620,0.0004858139899367352
2,1,Weekday,alightings,1680,0.0007469976446108356
2,1,Weekday,alightings,1740,0.006366297241200047
2,1,Saturday,alightings,1080,0.09267457730976417
2,1,Saturday,alightings,1140,0.07713487968170263
2,1,Saturday,alightings,1200,0.057344176320020174
2,1,Saturday,alightings,1260,0.044129029686977427
2,1,Saturday,alightings,1320,0.03799516036100688
2,1,Saturday,alightings,1380,0.032605709298301006
2,1,Saturday,alightings,1440,0.007414932744879755
2,1,Saturday,alightings,1500,0.0011954558846902438
2,1,Saturday,alightings,1560,0.0003527116390032959
2,1,Saturday,alightings,1620,0.00031193978341964666
2,1,Saturday,alightings,1680,0.0005950367662354609
2,1,Saturday,alightings,1740,0.0014401122217965045
2,1,Sunday,alightings,1080,0.058621693565564355
2,1,Sunday,alightings,1140,0.050260712231746656
2,1,Sunday,alightings,1200,0.038335892845371845
2,1,Sunday,alightings,1260,0.030284422626969145
2,1,Sunday,alightings,1320,0.023167423310285585
2,1,Sunday,alightings,1380,0.016459353554070584
2,1,Sunday,alightings,1440,0.01149950542711158
2,1,Sunday,alightings,1500,0.0020397414753003883
2,1,Sunday,alightings,1560,0.0006004023028617731
2,1,Sunday,alightings,1620,0.0004858139899367352
2,1,Sunday,alightings,1680,0.0007469976446108356
2,1,Sunday,alightings,1740,0.006366297241200047
3,0,Weekday,boardings,1080,0.10768287410877517
3,0,Weekday,boardings,1140,0.07675404164389128
3,0,Weekday,boardings,1200,0.051639367032388375
3,0,Weekday,boardings,1260,0.03686253511206133
3,0,Weekday,boardings,1320,0.028619711400446394
3,0,Weekday,boardings,1380,0.018840490236363496
3,0,Weekday,boardings,1440,0.008276091784979994
3,0,Weekday,boardings,1500,0.00331835095901025
3,0,Weekday,boardings,1560,0.0025228601491579473
3,0,Weekday,boardings,1620,0.0037297090500860103
3,0,Weekday,boardings,1680,0.008618228137881065
3,0,Weekday,boardings,1740,0.030623611097784043
3,0,Saturday,boardings,1080,0.09132219915592257
3,0,Saturday,boardings,1140,0.07529189992315959
3,0,Saturday,boardings,1200,0.05339435576069571
3,0,Saturday,boardings,1260,0.03934055833531985
3,0,Saturday,boardings,1320,0.033728646404574715
3,0,Saturday,boardings,1380,0.026549799023493238
3,0,Saturday,boardings,1440,0.0064517942317070046
3,0,Saturday,boardings,1500,0.002531622510620798
3,0,Saturday,boardings,1560,0.0021126892760128025
3,0,Saturday,boardings,1620,0.003795029208474919
3,0,Saturday,boardings,1680,0.007460550546251519
3,0,Saturday,boardings,1740,0.011260413002419147
3,0,Sunday,boardings,1080,0.059393220050540436
3,0,Sunday,boardings,1140,0.050842029875439926
3,0,Sunday,boardings,1200,0.03856688515416859
3,0,Sunday,boardings,1260,0.02806824253142793
3,0,Sunday,boardings,1320,0.021470106372419213
3,0,Sunday,boardings,1380,0.013843236745627433
3,0,Sunday,boardings,1440,0.008276091784979994
3,0,Sunday,boardings,1500,0.00331835095901025
3,0,Sunday,boardings,1560,0.0025228601491579473
3,0,Sunday,boardings,1620,0.0037297090500860103
3,0,Sunday,boardings,1680,0.008618228137881065
3,0,Sunday,boardings,1740,0.030623611097784043
3,0,Weekday,alightings,1080,0.11182405401987343
3,0,Weekday,alightings,1140,0.08254889957164345
3,0,Weekday,alightings,1200,0.056213972973550456
3,0,Weekday,alightings,1260,0.04188220280208196
3,0,Weekday,alightings,1320,0.03475519226789655
3,0,Weekday,alightings,1380,0.025622869492598486
3,0,Weekday,alightings,1440,0.012564124432215778
3,0,Weekday,alightings,1500,0.004684017653219469
3,0,Weekday,alightings,1560,0.002835020400870851
3,0,Weekday,alightings,1620,0.0024396386580650934
3,0,Weekday,alightings,1680,0.0032498209874898204
3,0,Weekday,alightings,1740,0.01225202424095766
3,0,Saturday,alightings,1080,0.08576612312829929
3,0,Saturday,alightings,1140,0.07243878162963696
3,0,Saturday,alightings,1200,0.055281198869684384
3,0,Saturday,alightings,1260,0.042226138146488235
3,0,Saturday,alightings,1320,0.03687583145701533
3,0,Saturday,alightings,1380,0.03151405421705478
3,0,Saturday,alightings,1440,0.009194254417190994
3,0,Saturday,alightings,1500,0.003462787850917895
3,0,Saturday,alightings,1560,0.0020034855618141878
3,0,Saturday,alightings,1620,0.001824297426749249
3,0,Saturday,alightings,1680,0.002949585122598819
3,0,Saturday,alightings,1740,0.005299330958099182
3,0,Sunday,alightings,1080,0.05870679105144556
3,0,Sunday,alightings,1140,0.05033751260735619
3,0,Sunday,alightings,1200,0.039710443827487237
3,0,Sunday,alightings,1260,0.03094748497779551
3,0,Sunday,alightings,1320,0.02479844658111202
3,0,Sunday,alightings,1380,0.017766968295972532
3,0,Sunday,alightings,1440,0.012564124432215778
3,0,Sunday,alightings,1500,0.004684017653219469
3,0,Sunday,alightings,1560,0.002835020400870851
3,0,Sunday,alightings,1620,0.0024396386580650934
3,0,Sunday,alightings,1680,0.0032498209874898204
3,0,Sunday,alightings,1740,0.01225202424095766
3,1,Weekday,boardings,1080,0.1265915074632011
3,1,Weekday,boardings,1140,0.08625868968971544
3,1,Weekday,boardings,1200,0.054652174730130974
3,1,Weekday,boardings,1260,0.0338625894659497
3,1,Weekday,boardings,1320,0.023466051638587514
3,1,Weekday,boardings,1380,0.013326040880290603
3,1,Weekday,boardings,1440,0.00450438074631261
3,1,Weekday,boardings,1500,0.0008637568660612675
3,1,Weekday,boardings,1560,0.00043774756113082984
3,1,Weekday,boardings,1620,0.0005356188280977037
3,1,Weekday,boardings,1680,0.002695047461354747
3,1,Weekday,boardings,1740,0.038455029938536195
3,1,Saturday,boardings,1080,0.11015440177973723
3,1,Saturday,boardings,1140,0.0874013248458449
3,1,Saturday,boardings,1200,0.05788432025739247
3,1,Saturday,boardings,1260,0.037734644548183316
3,1,Saturday,boardings,1320,0.029709795549295332
3,1,Saturday,boardings,1380,0.02132824989254923
3,1,Saturday,boardings,1440,0.002917167528213428
3,1,Saturday,boardings,1500,0.0005740907758207305
3,1,Saturday,boardings,1560,0.000317731433258198
3,1,Saturday,boardings,1620,0.0004976366593243698
3,1,Saturday,boardings,1680,0.0014072403680198584
3,1,Saturday,boardings,1740,0.004957284301885161
3,1,Sunday,boardings,1080,0.06413513732197175
3,1,Sunday,boardings,1140,0.05397897475378979
3,1,Sunday,boardings,1200,0.040908241903459146
3,1,Sunday,boardings,1260,0.026152727401905315
3,1,Sunday,boardings,1320,0.017610506087041285
3,1,Sunday,boardings,1380,0.009190307921446482
3,1,Sunday,boardings,1440,0.00450438074631261
3,1,Sunday,boardings,1500,0.0008637568660612675
3,1,Sunday,boardings,1560,0.00043774756113082984
3,1,Sunday,boardings,1620,0.0005356188280977037
3,1,Sunday,boardings,1680,0.002695047461354747
3,1,Sunday,boardings,1740,0.038455029938536195
3,1,Weekday,alightings,1080,0.13131422304524498
3,1,Weekday,alightings,1140,0.09372943220350591
3,1,Weekday,alightings,1200,0.05898059261657067
3,1,Weekday,alightings,1260,0.043398560931480076
3,1,Weekday,alightings,1320,0.035152641121578815
3,1,Weekday,alightings,1380,0.025532201092228767
3,1,Weekday,alightings,1440,0.011298699789834594
3,1,Weekday,alightings,1500,0.0018256478926196216
3,1,Weekday,alightings,1560,0.0005225039411554997
3,1,Weekday,alightings,1620,0.00042109664253734905
3,1,Weekday,alightings,1680,0.0006105719481435724
3,1,Weekday,alightings,1740,0.005961747474660695
3,1,Saturday,alightings,1080,0.0934575869366107
3,1,Saturday,alightings,1140,0.0776914173888786
3,1,Saturday,alightings,1200,0.05757800694135627
3,1,Saturday,alightings,1260,0.04438388961651482
3,1,Saturday,alightings,1320,0.03806812260492544
3,1,Saturday,alightings,1380,0.03252471884414848
3,1,Saturday,alightings,1440,0.007100941225239336
3,1,Saturday,alightings,1500,0.0010168636401541474
3,1,Saturday,alightings,1560,0.0003230701503691892
3,1,Saturday,alightings,1620,0.0002766324958682421
3,1,Saturday,alightings,1680,0.0004599516858909642
3,1,Saturday,alightings,1740,0.0012971668453213645
3,1,Sunday,alightings,1080,0.0587013850063789
3,1,Sunday,alightings,1140,0.050085475966154896
