cluster,n,share,total_p10,total_median,total_p90,median_boarding_alighting_total_ratio,boardings_Weekday_share,boardings_Saturday_share,boardings_Sunday_share,boardings_00_05_share,boardings_01_05_share,boardings_peak_day,boardings_peak_hour,alightings_Weekday_share,alightings_Saturday_share,alightings_Sunday_share,alightings_00_05_share,alightings_01_05_share,alightings_peak_day,alightings_peak_hour
0,1701,0.4734205399387698,724.25687,1778.0086,7391.17422,0.8059372553026485,0.3774878707128253,0.35323955737865187,0.26927257190852283,0.1477898011332848,0.1247858233316178,Weekday,1080,0.390871837500463,0.3488358687855493,0.2602922937139877,0.10078303408300768,0.06646053080138513,Weekday,1080
1,1398,0.3890898970219872,91.54816000000001,292.01815,860.092194,0.6737269695345736,0.38564863526936866,0.35488388793952425,0.2594674767911071,0.10565431386950845,0.09372838484866981,Weekday,1080,0.40874791869956056,0.35417836837527755,0.2370737129251618,0.05175516142074591,0.022056820615837382,Weekday,1080
2,494,0.13748956303924298,129.490615,407.642825,1389.2322239999996,0.766820336239441,0.3744861908443951,0.34772170221045146,0.27779210694515344,0.1997134508801889,0.17813072498633398,Weekday,1080,0.3880372615834712,0.3482773103273653,0.2636854280891635,0.13388651413712183,0.09642764074533541,Weekday,1080
