K,replicate,seed,ARI,mean_matched_cluster_jaccard,min_matched_cluster_jaccard,fit_seconds,converged,warnings
2,1,1168436921,0.8697762440072944,0.9341070892862327,0.9271523178807947,0.43135980000079144,True,
2,2,1234208485,0.03273170163453993,0.40692742443309615,0.3035542747358309,0.31864889999997104,True,
2,3,1956891488,0.8614587334548331,0.9294085163553154,0.9199255121042831,0.6006065999972634,True,
2,4,1669687896,0.24297737648719078,0.5936671411481924,0.5617164898746384,0.2505371000006562,True,
2,5,789859782,0.8266956832112464,0.9122299064134325,0.9029761904761905,0.4301495999970939,True,
2,6,840584888,0.5028122827465514,0.7401451295796362,0.7001723147616312,0.566707400001178,True,
2,7,1354411054,0.8760211358150172,0.9372995119472353,0.9308062575210589,0.5716242999988026,True,
2,8,284292392,0.772857666047919,0.8838930440309618,0.8679245283018868,0.6419514000008348,True,
2,9,1295556712,0.7496234470805683,0.8736654458804687,0.8648345485137409,0.7473169000004418,True,
2,10,1795817926,0.37495047831562195,0.6644501297202182,0.6026300743281875,0.6913697999989381,True,
2,11,1366839426,0.7856691870866993,0.8908819512063183,0.8774038461538461,0.4453630999996676,True,
2,12,175596973,0.00014639761432992378,0.3425516952735446,0.2080536912751678,0.8332701999970595,True,
2,13,541655071,0.7836697375615393,0.8894553181920142,0.8742368742368742,0.5833083000034094,True,
2,14,1648976238,0.0003884055329208393,0.34238065779977317,0.20367682631833575,0.55164700000023,True,
2,15,913324810,0.8075846363026955,0.9029000664245234,0.8947976878612717,0.6164432000005036,True,
2,16,822733955,0.4044998751906452,0.6846101748281737,0.6349916154276132,0.6485049000038998,True,
2,17,1547474836,0.7448144353207562,0.8714458863239007,0.8643132928847215,0.6864439999990282,True,
2,18,669289546,0.8307322408589378,0.9139403609043815,0.9033434650455927,0.41028750000259606,True,
2,19,367176741,0.8885764323107447,0.9436874562702378,0.937989163154726,0.5954539000013028,True,
2,20,1315014721,0.5747234525363774,0.778223911218402,0.7410501193317423,0.4998665999955847,True,
3,1,1118055066,0.7366278391633285,0.7776954972221746,0.6220338983050847,1.1594675000014831,True,
3,2,1764013635,0.8340357724712365,0.8649920925207235,0.7818791946308725,1.2859490999981062,True,
3,3,479034906,0.5643076096807709,0.6347684854987503,0.38470873786407767,0.7371950999950059,True,
3,4,1731365185,0.6518841788194886,0.7110341143509616,0.5119363395225465,1.1941901999962283,True,
3,5,1474791606,0.7297035906329651,0.7716432351708113,0.6107594936708861,0.7986399000001256,True,
3,6,460969978,0.6186573788442586,0.67786068176774,0.45314685314685316,0.9873564000008628,True,
3,7,991417729,0.6986692893160334,0.6791766686401877,0.350844277673546,0.7987747000006493,True,
3,8,156176322,0.5726726394567017,0.6442080459756765,0.4021608643457383,0.8937435999978334,True,
3,9,1520660535,0.7748464749078005,0.8071980137073282,0.6693163751987281,1.0899706999989576,True,
3,10,1736013310,0.8157486298044754,0.8350212472890449,0.7051509769094139,1.2443082000027061,True,
3,11,69308977,0.6470141446177805,0.6952647936506732,0.47183098591549294,0.8341814999948838,True,
3,12,553746083,0.6882694216448365,0.666102106970513,0.3202247191011236,0.8819995000012568,True,
3,13,807262609,0.6909338642977592,0.6799164803193961,0.3603082851637765,0.8978971999968053,True,
3,14,1879780664,0.6627244694438817,0.7177772446860459,0.5280898876404494,1.1266218000018853,True,
3,15,99331381,0.6726183812744578,0.6972049379808579,0.43493761140819964,1.1712880000050063,True,
3,16,1011788341,0.832959965298731,0.8441157617715125,0.7137546468401487,1.2583987999969395,True,
3,17,1043405936,0.7063293126702326,0.7097388242569781,0.4306569343065693,0.7198379999972531,True,
3,18,673532551,0.7222594997794993,0.7443249048674537,0.519298245614035,0.7754085999986273,True,
3,19,60644055,0.674361712111875,0.7096917754889004,0.46875,1.0842689000055543,True,
3,20,1529956666,0.634160298744526,0.7041667334851747,0.5209302325581395,0.6642781999980798,True,
4,1,1801018526,0.5501307311096247,0.5678001040665738,0.3407725321888412,0.7609127999967313,True,
4,2,1116485962,0.5869700286832199,0.6021932229971969,0.40632054176072235,1.3290427000029013,True,
4,3,763054179,0.4308458578632067,0.4205296849504146,0.011829652996845425,1.493450699999812,True,
4,4,839048879,0.7360699977461692,0.7405854294543074,0.5189309576837416,1.4720405999978539,True,
4,5,1796490375,0.522142692671412,0.5503483596272204,0.28956521739130436,1.3205847999997786,True,
4,6,1647077857,0.5224093201775247,0.5176256078424014,0.2676056338028169,0.9132973000014317,True,
4,7,1928373201,0.5151694791699649,0.5399295378311124,0.2830025884383089,0.9438555000015185,True,
4,8,1683056741,0.5321913848571136,0.5348977844663635,0.27181208053691275,1.3383743000013055,True,
4,9,79790361,0.5152785835071508,0.5185451732283829,0.2455546147332769,0.6378342999960296,True,
4,10,1593885950,0.5233553189093666,0.5150841282099132,0.2618849040867389,1.1116966999979923,True,
4,11,1773420923,0.5263719574884966,0.5481411849269135,0.30155979202772965,1.3946212999944692,True,
4,12,672040931,0.5080807553483672,0.5223564173826969,0.23341946597760552,0.9098662000033073,True,
4,13,19580137,0.5168182407218147,0.5241573709352925,0.23955669224211423,0.8249225999970804,True,
4,14,491086688,0.5153487926349241,0.5147954833511215,0.2332761578044597,1.0791052999993553,True,
4,15,1607549858,0.5200085854518041,0.51127526885844,0.24722932651321397,0.9114297999985865,True,
4,16,1292475530,0.5367131559035515,0.5606060100282018,0.289588801399825,0.734191000003193,True,
4,17,284577574,0.5619130487543947,0.5633344602273471,0.34557595993322204,0.881544900003064,True,
4,18,575958139,0.5462853642906395,0.5377368151881362,0.312807881773399,0.9610203000047477,True,
4,19,1021247301,0.538485288805498,0.5483761645000846,0.31711409395973156,0.7132790000032401,True,
4,20,2136518290,0.545652333003927,0.5762404752293324,0.33099209833187004,0.6789099000015995,True,
5,1,797973514,0.603166099465114,0.585888349461084,0.3180970149253731,1.550579700000526,True,
5,2,155883028,0.6701360782209842,0.6317147581528149,0.38943894389438943,1.0590494999996736,True,
5,3,858284399,0.5138472368706459,0.47202456966205536,0.045936395759717315,1.3112686999957077,True,
5,4,863823220,0.5278852397569669,0.4584147648591002,0.008587786259541985,1.1073085000025458,True,
5,5,639321317,0.5847207000277461,0.545512076476734,0.28888888888888886,1.2882650999963516,True,
5,6,526089786,0.5394486466448637,0.48670581699660087,0.14363143631436315,1.3227241000058712,True,
5,7,1704158049,0.5596559919821579,0.5261644480344275,0.2532228360957643,1.0658696000027703,True,
5,8,429845484,0.603529231351906,0.5637923744191919,0.25597269624573377,1.249856300004467,True,
5,9,61100455,0.6324449840861487,0.5812592395976004,0.19655172413793104,1.3236700999987079,True,
5,10,74193338,0.6185054525530974,0.5673985995819502,0.25693160813308685,1.3778667000005953,True,
5,11,885846326,0.579349774096158,0.5427138799824874,0.30305755395683454,1.1415325999987544,True,
5,12,1210444544,0.5616146673445116,0.5110097785007868,0.253125,1.0199285999988206,True,
5,13,1775133031,0.5525096151832051,0.49242997242492936,0.2135593220338983,1.446977900006459,True,
5,14,1698310160,0.47480213042581065,0.4389888539213313,0.002640845070422535,1.215150600000925,True,
5,15,1489842260,0.4771835731612859,0.4866895562240914,0.19598765432098766,1.4042995999989216,True,
5,16,1273789173,0.5094451101077656,0.4336920551045994,0.030881017257039057,1.1015838000021176,True,
5,17,2139925911,0.6956898312153005,0.6417135021682547,0.31313131313131315,1.7061105999964639,True,
5,18,1115798860,0.518772518071364,0.4831560634380635,0.0885640584694755,0.9668964000011329,True,
5,19,1898747491,0.49641442698362176,0.49432404410890485,0.25934959349593495,1.4345534000021871,True,
5,20,759003670,0.7277124686467026,0.693598564941466,0.4368231046931408,1.7506839999987278,True,
6,1,1458926545,0.4293186684754036,0.3437182110347237,0.008620689655172414,2.132940099996631,True,
6,2,801974962,0.4757698738562751,0.38544291017238336,0.0027726432532347504,1.4477756999986013,True,
6,3,1769154140,0.473597321620813,0.3847270397790971,0.023255813953488372,1.9057498999973177,True,
6,4,1370292771,0.43535669165735064,0.36230370636460757,0.07948717948717948,1.5240588000015123,True,
6,5,992931896,0.5287621768227403,0.4340763581107044,0.08047945205479452,1.1466596999962348,True,
6,6,1659398825,0.5406954412528401,0.4302020734009169,0.09603340292275574,1.2647389999983716,True,
6,7,1678566179,0.5144438183526269,0.4818778350816357,0.11574074074074074,1.7615998999972362,True,
6,8,1763622292,0.6342169613306303,0.4872134932251663,0.03686635944700461,1.47540950000257,True,
6,9,1565870388,0.5125431266074142,0.43567589636436505,0.12468193384223919,1.4143522000013036,True,
6,10,1866538734,0.447899636062594,0.3108568433101983,0.003561887800534283,1.614341799999238,True,
6,11,962088448,0.5085398786522867,0.3747774825985745,0.010714285714285714,1.2393532999994932,True,
6,12,1450914872,0.4828118897678448,0.41881941425220703,0.03793103448275862,1.567187600005127,True,
6,13,958840827,0.43254401941578896,0.30433724697340275,0.005819592628516004,2.670372300002782,True,
6,14,1581889402,0.4559959164940118,0.33986740260017423,0.001932367149758454,1.751894100001664,True,
6,15,1612380660,0.5099580034183094,0.3970334526469965,0.02187784867821331,2.0506979000056162,True,
6,16,245748008,0.44583913984242984,0.37134659374965073,0.042105263157894736,1.8606368999971892,True,
6,17,2107770855,0.6191153517589288,0.564723774481009,0.1940700808625337,1.5813120000020717,True,
6,18,216178423,0.5223584637755228,0.407709321459294,0.12382934443288242,2.3733071999959066,True,
6,19,677533910,0.521118494001809,0.39778666801316637,0.11562782294489611,1.7964041000013822,True,
6,20,2123957655,0.5186009518260454,0.44579087972456116,0.20215410107705054,1.464317400001164,True,
7,1,1576733935,0.5226557918367971,0.39537284095573094,0.018633540372670808,1.8366924000001745,True,
7,2,1072829933,0.482590950489457,0.35272153543681045,0.016260162601626018,2.1909817999985535,True,
7,3,1055885496,0.5964425339678499,0.539406644869045,0.23595505617977527,1.769544800001313,True,
7,4,1100130974,0.6622461344143846,0.5696280512852016,0.28125,2.133773299996392,True,
7,5,186115244,0.49454371700149696,0.39279762914241484,0.03524229074889868,2.178783499999554,True,
7,6,1245842594,0.5136589052090231,0.4141024726435631,0.046620046620046623,1.7769920999999158,True,
7,7,1000525002,0.5329806475552271,0.4184121559823869,0.0858085808580858,2.671214499998314,True,
7,8,345789111,0.562747210472254,0.4505484649158341,0.13064133016627077,2.255469300005643,True,
7,9,682275684,0.5075524650312737,0.35287498695905084,0.027472527472527472,1.5861887999999453,True,
7,10,1087105868,0.647656734336495,0.5200721818747323,0.1282051282051282,1.7849175000010291,True,
7,11,6899734,0.5078574956642946,0.40892901137341386,0.08411214953271028,2.379010199998447,True,
