K,cluster,n,silhouette_mean,silhouette_sd,silhouette_median,silhouette_q025,silhouette_q975,silhouette_min,silhouette_max,negative_share
6,0,119,0.04219846006001961,0.08297659360002138,0.03830873171085348,-0.099340662126317,0.2154963450661119,-0.1752987573822965,0.23201951848941277,0.35294117647058826
6,1,45,0.08742153742261599,0.15663939443985894,0.11600496350198078,-0.16449750482094547,0.33216389676984687,-0.1913246276890021,0.3425194932303719,0.35555555555555557
6,2,27,-0.05032382058335792,0.0689172986281278,-0.047599648546594785,-0.16731697263596534,0.07551100803679663,-0.22193084616815947,0.0936525134556197,0.7407407407407407
6,3,64,0.10787770659439057,0.11744769715806641,0.12109532348863912,-0.11422900451104481,0.3111326317151013,-0.12908756488049838,0.3163869792726776,0.21875
6,4,17,-0.2317367726190077,0.09912878039970224,-0.2412291827776536,-0.38047535467274973,-0.06612365729912908,-0.400819057794081,-0.04999764305161175,1.0
6,5,160,0.22672079061086636,0.09184260295971036,0.2400923426183303,0.051465721457266696,0.3879014769915967,-0.008097010779550424,0.4165536118144728,0.00625
7,0,17,-0.18160325758861048,0.09589908145036985,-0.17142128654379113,-0.3228879985087281,-0.016249909672772754,-0.3235609473576474,-0.009854987607500115,1.0
7,1,169,0.19176225872754168,0.08158208520017068,0.18447850271615476,0.05179480372157421,0.3332697358774896,-0.022240010402261996,0.34301401071022924,0.005917159763313609
7,2,31,0.167294821712627,0.15464233143497882,0.19774512976405764,-0.12128307410985352,0.3822966301601311,-0.1255179804388699,0.39531462251930105,0.16129032258064516
7,3,76,0.030912881164338282,0.07196195536305908,0.0400629255784573,-0.08342355176824917,0.14590964083987246,-0.12668674816567396,0.1712854042935032,0.32894736842105265
7,4,60,0.10775717240186136,0.09979102637029327,0.11121143209478215,-0.0869134738047612,0.2614356677336206,-0.1394063175531912,0.2979762289033542,0.16666666666666666
7,5,31,0.024606288627965704,0.07288452861153592,0.008954674146395175,-0.0971762061828596,0.14841283696609758,-0.10995765249682589,0.17141490169525084,0.3870967741935484
7,6,48,-0.016847884099919747,0.07951656946189635,-0.008174478978667223,-0.15855929973458915,0.12796605513513257,-0.1704749799334608,0.1707676983772917,0.5625
