reference_cluster,matched_candidate_cluster,intersection,reference_size,candidate_size,jaccard,recall,precision
0,3,48,119,76,0.32653061224489793,0.40336134453781514,0.631578947368421
1,2,25,45,31,0.49019607843137253,0.5555555555555556,0.8064516129032258
2,5,25,27,31,0.7575757575757576,0.9259259259259259,0.8064516129032258
3,4,50,64,60,0.6756756756756757,0.78125,0.8333333333333334
4,0,14,17,17,0.7,0.8235294117647058,0.8235294117647058
5,1,143,160,169,0.7688172043010753,0.89375,0.8461538461538461
