K,replicates,ARI_mean,ARI_sd,ARI_median,ARI_q025,ARI_q975,ARI_min,ARI_max,convergence_rate,total_convergence_warnings
6,200,0.5175588453048722,0.13717347217580975,0.5052665241453385,0.30955872933371137,0.7589801666361541,0.23970363430859232,0.7924098920811689,1.0,0
7,200,0.4753387959016311,0.10445081702526032,0.46271187174882633,0.3051053272332403,0.7167740092798527,0.2862236399994972,0.7971157861466155,1.0,0
