unit,k6,k7,Station,mode_label,lon,lat,best_matched_k7_for_k6,follows_best_match
5378,5,1,Penge West,LO,-0.06112,51.41767,1,True
538,5,1,Pontoon Dock,DLR,0.03338,51.50248,1,True
539,0,6,Chalfont & Latimer,LU,-0.5607234520464773,51.66803142622906,3,False
5397,0,6,Anerley,LO,-0.065865,51.412155,3,False
540,4,0,Chalk Farm,LU,-0.1526421476691667,51.54385835909765,0,True
5404,5,1,Brockley,LO,-0.03788,51.4644,1,True
541,1,2,Chancery Lane,LU,-0.1115693026029435,51.51824890350831,2,True
5411,0,3,West Croydon NR,LO,-0.102305,51.378595,3,True
5418,0,1,Honor Oak Park,LO,-0.04587,51.44993,3,False
542,3,4,Embankment,LU,-0.1221695343079573,51.50745185655674,4,True
5421,1,3,Denmark Hill,LO,-0.08985,51.46817,2,False
5423,3,4,Peckham Rye,LO,-0.0694,51.47011,4,True
5424,5,1,Queens Road Peckham,LO,-0.05739,51.47382,1,True
543,0,6,Chesham,LU,-0.6109804023947352,51.70522161796168,3,False
5437,0,1,Sydenham,LO,-0.0543299999999999,51.42733333333333,3,False
544,0,6,Chigwell,LU,0.0755949749891976,51.61765286220907,3,False
545,0,3,Chiswick Park,LU,-0.2685715255005448,51.49466748590177,3,True
546,0,6,Chorleywood,LU,-0.5185530310182181,51.65429398451199,3,False
547,2,5,Clapham Common,LU,-0.1371925356673191,51.46221051259463,5,True
548,2,5,Clapham North,LU,-0.1293589507032176,51.46572960060881,5,True
549,5,1,Clapham South,LU,-0.1472124126324337,51.45323695245536,1,True
550,5,1,Cockfosters,LU,-0.1491631467827761,51.65152862765704,1,True
551,5,1,Colindale,LU,-0.2499380568695295,51.59544539419721,1,True
552,5,1,Colliers Wood,LU,-0.1780579960869715,51.41815971696416,1,True
553,4,0,Covent Garden,LU,-0.1243670278686055,51.513144508444505,0,True
554,0,6,Croxley,LU,-0.4417680549234005,51.6470771785801,3,False
555,0,3,Dagenham East,LU,0.1659760468145935,51.54416043622838,3,True
556,0,3,Dagenham Heathway,LU,0.1475191734684776,51.54161732780605,3,True
557,0,3,Debden,LU,0.0837668965623632,51.6453918793904,3,True
558,5,1,Dollis Hill,LU,-0.2390407657243789,51.55196194099086,1,True
559,2,5,West Silvertown,DLR,0.02275,51.50285,5,True
5595,3,4,Clapham Junction,LO,-0.1699499999999999,51.46443333333334,4,True
560,5,1,Ealing Broadway,"EZL,LU",-0.301005548648285,51.51500454109758,1,True
561,5,1,Ealing Common,LU,-0.2881437733169945,51.50954325566993,1,True
562,5,1,Earl's Court,LU,-0.1931754026297784,51.49198454803539,1,True
563,5,1,East Acton,LU,-0.2471625219934364,51.51659745054098,1,True
564,0,6,Eastcote,LU,-0.3973680168635398,51.576511969832765,3,False
565,5,1,East Finchley,LU,-0.1650441219039346,51.58715402026014,1,True
566,0,3,East Ham,LU,0.052826568311649,51.53940709913807,3,True
567,5,1,East Putney,LU,-0.2110636822805433,51.459149587092405,1,True
568,5,1,Edgware,LU,-0.2747777712374005,51.61360827412279,1,True
569,5,4,Edgware Road (DIS),LU,-0.1677731663889066,51.51987245129845,1,False
570,5,1,Elephant & Castle LU,LU,-0.1011862761028003,51.49583746787788,1,True
571,0,6,Elm Park,LU,0.1986662037147443,51.54971988694184,3,False
572,0,6,Epping,LU,0.1139996191841897,51.69356092525262,3,False
573,2,5,Woolwich Arsenal,DLR,0.0687233333333333,51.49034666666666,5,True
574,3,3,Euston LU,LU,-0.1345986091511734,51.52808458451346,4,False
575,1,2,Euston Square,LU,-0.1358768735158491,51.525633154752434,2,True
576,0,6,Fairlop,LU,0.091053095971659,51.595558107334746,3,False
577,1,2,Farringdon,"EZL,LU",-0.1051919886781835,51.52047027577585,2,True
578,5,1,Finchley Central,LU,-0.1925548488048729,51.60093175153773,1,True
579,5,1,Finchley Road,LU,-0.1810915387963695,51.54723083836693,1,True
580,5,1,Finsbury Park LU,LU,-0.106679347654079,51.56457021452156,1,True
581,0,3,Fulham Broadway,LU,-0.1947664399933353,51.48076777565934,3,True
582,5,1,Gants Hill,LU,0.0661941322556114,51.57653500920319,1,True
583,5,1,Gloucester Road,LU,-0.183734689874311,51.49448863919927,1,True
584,5,1,Golders Green,LU,-0.1940222522452373,51.57228620318889,1,True
585,5,1,Goldhawk Road,LU,-0.2266448641540456,51.50199179519617,1,True
586,1,2,Goodge Street,LU,-0.1343429023656584,51.520601842773736,2,True
587,0,6,Grange Hill,LU,0.0923218422133414,51.61319815416051,3,False
588,1,2,Great Portland Street,LU,-0.1442909711973862,51.52384645620309,2,True
589,0,3,Greenford,LU,-0.3465040750206399,51.54259127112355,3,True
590,3,2,Green Park,LU,-0.1425418901108901,51.50686769929983,4,False
591,1,3,Gunnersbury,"LO,LU",-0.2751361823945699,51.49174191093943,2,False
592,0,6,Hainault,LU,0.0935081961587912,51.6036401975141,3,False
593,3,4,Hammersmith (DIS),LU,-0.2230418838988803,51.49199951963806,4,True
594,5,1,Hampstead,LU,-0.1785230935437581,51.5565898798849,1,True
595,5,1,Hanger Lane,LU,-0.2926845249496959,51.53018552933825,1,True
596,5,1,Harlesden,"LO,LU",-0.2585901442236528,51.5366984829526,1,True
597,0,3,Harrow & Wealdstone,"LO,LU",-0.3348864548890388,51.59204382510434,3,True
598,5,1,Harrow-on-the-Hill,LU,-0.3367522322346986,51.57941460314498,1,True
599,3,3,Wood Lane,LU,-0.223589832503072,51.51014064093162,4,False
601,5,1,Hendon Central,LU,-0.2263467398232382,51.58317142482077,1,True
602,5,1,High Barnet,LU,-0.1941662468819022,51.65052191222786,1,True
603,3,4,Highbury & Islington,"LO,LU",-0.1037367147978817,51.5474243924603,4,True
604,5,1,Highgate,LU,-0.1464678822653945,51.57784395375154,1,True
605,3,3,High Street Kensington,LU,-0.1922060959253196,51.50044509893274,4,False
606,0,6,Hillingdon,LU,-0.4493839489109262,51.55394931648672,3,False
607,3,2,Holborn,LU,-0.1204164211277831,51.5175781351181,4,False
608,5,1,Holland Park,LU,-0.2056604531683881,51.5071535735316,1,True
609,5,1,Holloway Road,LU,-0.1132635134211874,51.55275576448648,1,True
610,0,6,Hornchurch,LU,0.219106840074,51.55404895710733,3,False
611,5,1,Hounslow Central,LU,-0.3662939172379908,51.47131979963469,1,True
612,5,1,Hounslow East,LU,-0.3563344605692854,51.47326292270873,1,True
613,2,5,Hounslow West,LU,-0.3857939831542604,51.47361867347103,5,True
614,3,4,Hyde Park Corner,LU,-0.1541496692283758,51.5027515504957,4,True
615,0,6,Ickenham,LU,-0.4420401367813711,51.56196897211082,3,False
616,5,1,Kennington,LU,-0.1059654128623501,51.48834003191997,1,True
617,5,1,Kensal Green,"LO,LU",-0.2244787816465951,51.53057177755812,1,True
618,1,3,Kensington (Olympia),"LO,LU",-0.2101299631004321,51.49773548808454,2,False
619,4,0,Kentish Town,LU,-0.1407479399821426,51.55029387744979,0,True
620,1,3,Kenton,"LO,LU",-0.3167281554174249,51.58161162102015,2,False
621,0,6,Kew Gardens,"LO,LU",-0.285040916474055,51.47699774458654,3,False
622,5,1,Kilburn,LU,-0.2047148916011985,51.546953022454446,1,True
623,5,1,Kilburn Park,LU,-0.1940203229099902,51.534947545387965,1,True
624,0,3,Kingsbury,LU,-0.2786447440288867,51.584641087244194,3,True
625,3,4,King's Cross St. Pancras,LU,-0.1247761302179285,51.52978514307589,4,True
626,3,4,Knightsbridge,LU,-0.1614661160661897,51.50124118729131,4,True
627,5,1,Ladbroke Grove,LU,-0.2109018577576743,51.51732053919889,1,True
628,5,1,Lambeth North,LU,-0.1122327661467621,51.498842228801465,1,True
629,5,5,Lancaster Gate,LU,-0.175445101856735,51.51168719578341,1,False
630,1,3,Latimer Road,LU,-0.2178539357732128,51.513458663999614,2,False
631,3,0,Leicester Square,LU,-0.128332134429999,51.51140465728606,4,False
632,5,1,Leyton,LU,-0.005487155382425,51.55660356521063,1,True
633,5,1,Leytonstone,LU,0.0081832198740443,51.568320494028455,1,True
634,1,2,Liverpool Street LU,"EZL,LU",-0.0832133092355498,51.51735237101746,2,True
635,3,4,London Bridge LU,LU,-0.0896485172357084,51.50506500549169,4,True
636,0,1,Loughton,LU,0.055338101699993,51.64131224348847,3,False
637,5,1,Maida Vale,LU,-0.1858293287116454,51.529729085515065,1,True
638,5,1,Manor House,LU,-0.0960648306959596,51.57075126410129,1,True
639,1,2,Mansion House,LU,-0.094105792133622,51.51181640319618,2,True
640,3,4,Marble Arch,LU,-0.1573589906802929,51.51359976087709,4,True
641,5,1,Marylebone LU,LU,-0.1642402663188004,51.52215890700219,1,True
642,5,1,Mile End,LU,-0.0337680632945871,51.52523491887216,1,True
643,0,6,Mill Hill East,LU,-0.2100614199314407,51.608233232687525,3,False
645,1,2,Moorgate,LU,-0.0893115351555198,51.51836305552553,2,True
646,0,6,Moor Park,LU,-0.4322869639728746,51.62986629669337,3,False
647,5,1,Morden,LU,-0.1947548535043926,51.40253820130652,1,True
648,2,5,Mornington Crescent,LU,-0.1387497986411517,51.534704942339104,5,True
649,5,1,Neasden,LU,-0.2511708953836603,51.55442640049901,1,True
650,5,1,Newbury Park,LU,0.089920829906462,51.57570573751538,1,True
653,5,1,North Acton,LU,-0.2597600781194744,51.5236117661968,1,True
654,5,1,North Ealing,LU,-0.2888251159580139,51.51748228438488,1,True
655,5,1,Northfields,LU,-0.312994928337679,51.49965470504596,1,True
656,0,1,North Harrow,LU,-0.3626047009909967,51.58494710527484,3,False
6560,1,2,Canary Wharf EL,EZL,-0.0192759999999999,51.504937,2,True
6561,5,1,Custom House EL,EZL,0.02721,51.50952,1,True
6562,5,1,Woolwich EL,EZL,0.07041,51.49186,1,True
657,0,3,Northolt,LU,-0.3686504240723905,51.54825926059,3,True
659,5,1,North Wembley,"LO,LU",-0.3038826458342014,51.562393713680144,1,True
660,0,3,Northwick Park,LU,-0.3180663388463142,51.57847500401296,3,True
661,0,1,Northwood,LU,-0.4239354593141582,51.611014101617926,3,False
662,0,1,Northwood Hills,LU,-0.4087463545441836,51.60019223372048,3,False
663,3,4,Notting Hill Gate,LU,-0.1960899733626558,51.509156012573975,4,True
664,5,1,Oakwood,LU,-0.1312689387217082,51.64733362819432,1,True
665,3,2,Old Street,LU,-0.0876372025918255,51.52508527631206,4,False
667,5,1,Osterley,LU,-0.3522207467968353,51.4812434687809,1,True
668,5,1,Oval,LU,-0.1124062491167189,51.48183745351276,1,True
669,3,2,Oxford Circus,LU,-0.1416304596960839,51.515319726422334,4,False
670,5,1,Paddington TfL,"EZL,LU",-0.1759896922641174,51.51656148278404,1,True
671,5,1,Park Royal,LU,-0.2839675301559994,51.52647996490144,1,True
672,0,1,Parsons Green,LU,-0.2017635248636348,51.47498535708651,3,False
673,0,3,Perivale,LU,-0.323425169229821,51.5367509216631,3,True
674,3,0,Piccadilly Circus,LU,-0.1336873864316472,51.51006061519836,4,False
675,0,6,Pinner,LU,-0.3811619189424988,51.59282556787736,3,False
676,5,1,Plaistow,LU,0.0169887206450607,51.53123134107084,1,True
677,0,1,Preston Road,LU,-0.295129262413792,51.5720140756016,3,False
678,5,1,Putney Bridge,LU,-0.2087270375114135,51.46825546825846,1,True
679,0,3,Queensbury,LU,-0.2862217775472735,51.59419745209295,3,True
680,5,1,Queen's Park,"LO,LU",-0.2057416029735368,51.53397821009533,1,True
681,5,1,Queensway,LU,-0.1871382982400704,51.51025217607452,1,True
6814,0,6,Cheshunt,LO,,,3,False
682,5,1,Ravenscourt Park,LU,-0.2357753569718746,51.49416773582848,1,True
683,0,3,Rayners Lane,LU,-0.3714462140203309,51.57519536192319,3,True
684,5,1,Redbridge,LU,0.0454102741389324,51.576249813818855,1,True
685,1,2,Regent's Park,LU,-0.1463131245528823,51.52327838474291,2,True
686,0,6,Richmond,"LO,LU",-0.3016691259076597,51.463118722979786,3,False
6867,3,4,Hackney Downs,LO,-0.060755,51.548425,4,True
687,0,6,Rickmansworth,LU,-0.4737058106627786,51.64028836634988,3,False
6872,0,6,Brentwood,EZL,,,3,False
6874,0,3,Chadwell Heath,EZL,0.1297,51.56807,3,True
6876,5,1,Forest Gate,EZL,0.024635,51.549605,1,True
6877,0,6,Gidea Park,EZL,0.2055199999999999,51.58182,3,False
6878,0,3,Goodmayes,EZL,0.11034,51.56568,3,True
6879,0,6,Harold Wood,EZL,0.233175,51.59326,3,False
688,0,6,Roding Valley,LU,0.0437096502446484,51.61707861416649,3,False
6881,5,3,Ilford,EZL,0.0687433333333333,51.558816666666665,1,False
6883,5,1,Manor Park,EZL,0.04638,51.55262,1,True
6886,5,1,Romford,"EZL,LO",0.1831499999999999,51.574815,1,True
6888,0,6,Shenfield,EZL,,,3,False
6893,5,3,Seven Kings,EZL,0.097205,51.56387,1,False
690,5,1,Royal Oak,LU,-0.1877862733299185,51.51904813011949,1,True
691,0,1,Ruislip,LU,-0.4217906669062553,51.57129177940531,3,False
6913,0,6,Bush Hill Park,LO,-0.06931,51.641495000000006,3,False
6914,0,6,Chingford,LO,0.0101,51.63349,3,False
6919,0,6,Highams Park,LO,-0.0005366666666666,51.6082,3,False
692,0,6,Ruislip Gardens,LU,-0.4107169346271762,51.56077549009729,3,False
6926,0,1,Clapton,LO,-0.05721,51.56145,3,False
693,0,1,Ruislip Manor,LU,-0.411812431756392,51.5734761421505,3,False
6934,0,3,Stoke Newington,LO,-0.07311,51.56532,3,True
694,1,2,Russell Square,LU,-0.1242697810208252,51.52305918332612,2,True
6941,0,3,Edmonton Green,LO,-0.06087,51.62492,3,True
6947,1,3,Southbury,LO,-0.05263,51.64887,2,False
6949,0,3,Theobalds Grove,LO,,,3,True
695,1,2,St. James's Park,LU,-0.1336270216533475,51.49956127784573,2,True
6952,0,3,Turkey Street,LO,-0.04707,51.6726,3,True
6954,0,1,Wood Street,LO,-0.00261,51.58645,3,False
6956,0,3,White Hart Lane,LO,-0.071,51.60533,3,True
6958,5,1,Bruce Grove,LO,-0.06995,51.59415,1,True
6959,0,3,Enfield Town,LO,-0.08008,51.652515,3,True
696,5,1,St. John's Wood,LU,-0.1741475741935914,51.53520496988703,1,True
6961,1,4,Bethnal Green LO,LO,-0.056248,51.526716,2,False
6962,1,4,Cambridge Heath,LO,-0.05723,51.53238,2,False
6965,3,2,Liverpool Street NR,"EZL,LO",-0.082326,51.51732,4,False
6966,3,4,London Fields,LO,-0.057985,51.541025000000005,4,True
6967,5,1,Rectory Road,LO,-0.06857,51.55857,1,True
6968,1,3,Stamford Hill,LO,-0.07673,51.57444,2,False
697,1,2,St. Paul's,LU,-0.097517753107933,51.51495287569836,2,True
6970,5,1,Maryland,EZL,0.00566,51.54627,1,True
6972,0,3,Silver Street,LO,-0.06719,51.61474,3,True
6973,0,1,St James Street,LO,-0.03316,51.58106,3,False
6977,3,4,Hackney Central,LO,-0.0562175,51.547205,4,True
6978,3,4,Hackney Wick,LO,-0.025245,51.543365,4,True
6979,5,1,Homerton,LO,-0.04235,51.54697,1,True
698,5,1,Seven Sisters,"LO,LU",-0.0725100279127818,51.58339794718637,1,True
700,3,4,Shepherd's Bush LU,LU,-0.2188348749838903,51.50435277171325,4,True
702,3,4,Sloane Square,LU,-0.1563353394945677,51.49233693461083,4,True
703,5,1,Snaresbrook,LU,0.0213934263382834,51.58067707711797,1,True
704,5,1,South Ealing,LU,-0.3075052577072797,51.50089966685759,1,True
705,0,1,Southfields,LU,-0.2066534771013345,51.44507985784133,3,False
706,5,1,Southgate,LU,-0.1277625393853033,51.63225854371172,1,True
707,0,3,South Harrow,LU,-0.3520927569079474,51.564549549948175,3,True
708,3,4,South Kensington,LU,-0.1731650469113846,51.49408858708188,4,True
709,0,6,South Kenton,"LO,LU",-0.3083734923397721,51.570212909100526,3,False
7090,4,0,Heathrow Terminals 2 & 3 EL,EZL,-0.45318625,51.47116,0,True
7091,4,0,Heathrow Terminal 4 EL,EZL,-0.4457299999999999,51.45916,0,True
710,0,1,South Ruislip,LU,-0.3988661306887068,51.55686021118094,3,False
711,5,1,South Wimbledon,LU,-0.1933065202931911,51.41498929257676,1,True
712,5,1,South Woodford,LU,0.0273625184698253,51.591892453017074,1,True
713,5,1,Stamford Brook,LU,-0.2460012251835393,51.4949181050598,1,True
714,5,1,Stanmore,LU,-0.3032624771028668,51.61971092780402,1,True
715,5,1,Stepney Green,LU,-0.0465909032388702,51.52186169216427,1,True
716,5,5,Stockwell,LU,-0.1230421883655021,51.47182845729258,1,False
717,5,1,Stonebridge Park,"LO,LU",-0.2764667949099679,51.54419264973252,1,True
718,3,4,Charing Cross LU,LU,-0.1273836832203838,51.50737795073341,4,True
719,5,3,Stratford,"DLR,EZL,LO,LU",-0.0038044932283004,51.54145647497037,1,False
720,0,3,Sudbury Hill,LU,-0.3366239412564384,51.55696518658866,3,True
721,0,3,Sudbury Town,LU,-0.3157464873310852,51.550805806993615,3,True
723,5,1,Swiss Cottage,LU,-0.1748398347754522,51.54370542648981,1,True
724,1,2,Temple,LU,-0.1142517165435635,51.51098440371512,2,True
725,0,6,Theydon Bois,LU,0.1033276639997498,51.671832474283256,3,False
726,5,1,Tooting Bec,LU,-0.159233625335043,51.43589927439103,1,True
727,5,1,Tooting Broadway,LU,-0.1683898368141734,51.42767600459317,1,True
728,3,4,Tottenham Court Road,"EZL,LU",-0.1305038755407188,51.51645724635473,4,True
729,2,5,Tottenham Hale LU,LU,-0.0601646506537094,51.588048703622064,5,True
730,0,1,Totteridge & Whetstone,LU,-0.1792054604098072,51.63058779485697,3,False
731,3,4,Tower Hill,LU,-0.0765262714194326,51.50994511580925,4,True
733,2,5,Tufnell Park,LU,-0.1384656557230477,51.55684430975304,5,True
734,5,1,Turnham Green,LU,-0.2545503301237331,51.4949578319235,1,True
735,5,1,Turnpike Lane,LU,-0.1029721135418456,51.59025232853629,1,True
736,0,6,Upminster,"LO,LU",0.2511155158113154,51.55908765486934,3,False
737,0,6,Upminster Bridge,LU,0.2358266798019925,51.5584960541412,3,False
738,0,3,Upney,LU,0.1015536636074823,51.53835457119145,3,True
739,5,3,Upton Park,LU,0.0352101576549693,51.53538004104193,1,False
740,5,3,Uxbridge,LU,-0.4776347848292753,51.54646222722115,1,False
7401,3,4,Harringay Green Lanes,LO,-0.098795,51.5771,4,True
7402,0,3,Leyton Midland Road,LO,-0.008125,51.569775,3,True
7403,0,3,Leytonstone High Road,LO,0.00857,51.56333,3,True
7404,0,3,South Tottenham,LO,-0.07272,51.58044,3,True
7406,3,4,Crouch Hill,LO,-0.11714,51.57116,4,True
7407,3,3,Walthamstow Queen's Road,LO,-0.02411,51.58148,4,False
7408,1,3,Wanstead Park,LO,0.02523,51.55191,2,False
741,3,4,Victoria LU,LU,-0.1430892898009483,51.49640097859263,4,True
742,5,1,Walthamstow Central,"LO,LU",-0.0215170203946605,51.58311960662003,1,True
743,5,1,Wanstead,LU,0.0286206777652704,51.57560161289604,1,True
745,1,2,Warren Street,LU,-0.1383417771400554,51.52452712399776,2,True
746,5,1,Warwick Avenue,LU,-0.183606755586787,51.52319886210523,1,True
7467,0,3,Woodgrange Park,LO,0.044,51.5494,3,True
747,3,4,Waterloo LU,LU,-0.1144266340815464,51.50342525720376,4,True
7473,4,6,Emerson Park,LO,0.2197,51.56904,0,False
748,0,6,Watford,LU,-0.4174120635262017,51.65748010048808,3,False
749,2,5,Stratford High Street,DLR,-0.0004,51.538015,5,True
750,2,5,Abbey Road,DLR,0.003765,51.532395,5,True
751,0,3,Wembley Central,"LO,LU",-0.2968265595489338,51.55228164027704,3,True
752,2,5,Wembley Park,LU,-0.2800500615096861,51.56376083873252,5,True
753,5,1,West Acton,LU,-0.2809538703054756,51.517980197246935,1,True
754,5,1,Westbourne Park,LU,-0.2011529326328899,51.52092006250626,1,True
755,3,4,West Brompton,"LO,LU",-0.1955717597038599,51.487279564113926,4,True
756,0,1,West Finchley,LU,-0.1883426849145049,51.60948689407505,3,False
757,5,1,West Ham,"DLR,LU",0.0042827258459676,51.5282792316888,1,True
758,5,1,West Hampstead LU,LU,-0.1901696027556685,51.546801915703966,1,True
759,0,1,West Harrow,LU,-0.3532902802999658,51.57956661616709,3,False
760,5,1,West Kensington,LU,-0.2054570002997324,51.490790555082114,1,True
761,3,4,Westminster,LU,-0.1256586526219809,51.5009642958388,4,True
762,0,6,West Ruislip,LU,-0.4376470760460559,51.56962926058854,3,False
763,1,4,Whitechapel,"EZL,LO,LU",-0.0607687139474135,51.51953209733413,2,False
