K,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,max_cluster_size
6,0.10841855870524507,41.908253271427405,2.5529565068980404,17,160
7,0.1001750269497958,40.01822190749441,2.3094307619382293,17,169
