direction,n_lsoa,n_raw_zero_total,prior_peak_day,prior_peak_hour,prior_peak_share,median_raw_total,p05_raw_total,median_tv_nonzero,p95_tv_nonzero
boardings,3593,0,Weekday,1080,0.10169107495985116,300.34141999999997,36.769274,0.0026198931110373723,0.03518517783562564
alightings,3593,0,Weekday,1080,0.10601981511593714,428.03843999999987,52.433976,0.0013320589168164902,0.019096675349301043
