covariance,K,BIC,AIC,converged,n_iter,fit_seconds,warnings,error,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
spherical,12,-1676873.2092579291,-1682360.8501100987,True,31,3.171620000000985,,,151,0.04202616198163095,472,0.1313665460617868,"[472, 394, 371, 366, 319, 308, 291, 290, 234, 201, 196, 151]"
diag,2,-1857820.6471402978,-1859608.6158057735,True,19,1.0091317000042181,,,1481,0.4121903701642082,2112,0.5878096298357918,"[2112, 1481]"
diag,3,-1897178.7589198772,-1899863.8052894846,True,24,1.5074357999983476,,,493,0.13721124408572224,1700,0.4731422209852491,"[1700, 1400, 493]"
diag,4,-1918366.2440362163,-1921948.368109955,True,6,1.751173500000732,,,405,0.11271917617589758,1468,0.40857222376843866,"[1468, 909, 811, 405]"
diag,5,-1930273.4999744284,-1934752.7017522987,True,43,2.162889699997322,,,365,0.10158641803506818,1205,0.33537433899248537,"[1205, 751, 741, 531, 365]"
diag,6,-1937797.9063374535,-1943174.1858194552,True,25,2.3215556999930413,,,340,0.09462844419704981,1102,0.3067074867798497,"[1102, 649, 617, 456, 429, 340]"
diag,7,-1944591.094988276,-1950864.452174409,True,50,2.401955300003465,,,180,0.050097411633732256,1095,0.30475925410520455,"[1095, 603, 600, 581, 276, 258, 180]"
diag,8,-1951571.2861732366,-1958741.7210635012,True,11,2.5975718000045163,,,226,0.06290008349568606,956,0.2660729195658224,"[956, 639, 455, 379, 342, 334, 262, 226]"
diag,9,-1956471.0308858815,-1964538.5434802775,True,71,2.67035659999965,,,149,0.04146952407458948,921,0.25633175619259674,"[921, 573, 443, 412, 357, 328, 218, 192, 149]"
diag,10,-1961245.0556305533,-1970209.6459290807,True,25,2.531001899995317,,,134,0.03729473977177846,839,0.23350960200389648,"[839, 540, 390, 366, 322, 308, 294, 210, 190, 134]"
diag,11,-1963651.3477946944,-1973513.0157973533,True,47,2.537059099995531,,,92,0.0256053437239076,841,0.23406623991093795,"[841, 494, 400, 342, 333, 291, 287, 200, 171, 142, 92]"
diag,12,-1965777.957531782,-1976536.7032385725,True,20,2.2344111999991583,,,94,0.026161981630949068,616,0.1714444753687726,"[616, 558, 450, 322, 292, 280, 250, 232, 206, 163, 130, 94]"
tied,2,-2041351.318920515,-2058507.1566691808,True,28,1.582392999996955,,,312,0.08683551349846924,3281,0.9131644865015307,"[3281, 312]"
tied,3,-2042185.644208899,-2059793.114181024,True,53,7.428887699999905,,,111,0.03089340384080156,3196,0.8895073754522683,"[3196, 286, 111]"
tied,4,-2043976.3683038962,-2062035.4704994806,True,51,6.221375499997521,,,70,0.019482326746451433,3126,0.8700250487058169,"[3126, 291, 106, 70]"
tied,5,-2044708.770809897,-2063219.5052289406,True,86,12.508263699994131,,,30,0.008349568605622042,2961,0.8241024213748956,"[2961, 285, 207, 110, 30]"
tied,6,-2045396.5684380922,-2064358.935080595,True,36,12.028047100000549,,,49,0.013637628722516002,2695,0.7500695797383802,"[2695, 261, 250, 248, 90, 49]"
tied,7,-2046306.4491383752,-2065720.4480043375,True,77,15.972491200001969,,,46,0.0128026718619538,2759,0.7678819927637072,"[2759, 274, 247, 99, 91, 77, 46]"
tied,8,-2046832.89646831,-2066698.5275577314,True,35,13.365267400004086,,,38,0.010576120233787921,2562,0.7130531589201224,"[2562, 261, 252, 169, 127, 97, 87, 38]"
tied,9,-2046835.4492162333,-2067152.7125291142,True,41,12.416823400002613,,,37,0.010297801280267187,2444,0.6802115224046758,"[2444, 259, 255, 178, 132, 110, 96, 82, 37]"
tied,10,-2046871.606891796,-2067640.502428136,True,30,18.363297700001567,,,48,0.013359309768995268,2356,0.6557194544948511,"[2356, 374, 163, 155, 124, 109, 96, 91, 77, 48]"
tied,11,-2047261.2120161308,-2068481.73977593,True,67,17.419647499998973,,,37,0.010297801280267187,2383,0.663234066239911,"[2383, 391, 186, 108, 98, 96, 76, 75, 72, 71, 37]"
tied,12,-2047750.689509297,-2069422.8494925557,True,63,22.198504600004526,,,33,0.009184525466184246,2444,0.6802115224046758,"[2444, 313, 117, 108, 106, 90, 84, 79, 76, 74, 69, 33]"
full,2,-2066872.6533955955,-2100287.2511887955,True,30,3.63615209999989,,,1597,0.4444753687726134,1996,0.5555246312273866,"[1996, 1597]"
full,3,-2079512.1085246648,-2129637.0985858585,True,24,5.639182600003551,,,494,0.13748956303924298,1701,0.4734205399387698,"[1701, 1398, 494]"
full,4,-2070762.9311709786,-2137598.313500166,True,19,6.482235199997376,,,337,0.09379348733648761,1155,0.32145839131644866,"[1155, 1085, 1016, 337]"
full,5,-2054368.7990127746,-2137914.5736099556,True,33,9.383973199997854,,,230,0.064013359309769,1147,0.3192318396882828,"[1147, 1023, 959, 234, 230]"
full,6,-2038340.055679622,-2138596.2225447968,True,30,10.111737899998843,,,156,0.04341775674923462,1081,0.30086278875591427,"[1081, 957, 867, 314, 218, 156]"
full,7,-2021072.6105225265,-2138039.1696556946,True,39,12.853194000002986,,,135,0.037573058725299195,1037,0.28861675480100196,"[1037, 910, 886, 279, 187, 159, 135]"
full,8,-2003316.3628197524,-2136993.314220914,True,29,15.428340799997386,,,115,0.0320066796548845,1084,0.3016977456164765,"[1084, 913, 805, 216, 170, 145, 145, 115]"
full,9,-1985068.5339553815,-2135455.877624537,True,41,18.34228019999864,,,83,0.023100473142220985,891,0.24798218758697468,"[891, 842, 517, 502, 269, 204, 170, 115, 83]"
full,10,-1964847.9702200016,-2131945.7061571507,True,28,26.75635609999881,,,91,0.025327024770386862,1003,0.27915391038129694,"[1003, 855, 532, 488, 141, 130, 129, 126, 98, 91]"
full,11,-1948068.2366114717,-2131876.3648166144,True,24,27.535915400003432,,,76,0.021152240467575842,873,0.24297244642360144,"[873, 835, 533, 522, 160, 143, 137, 124, 100, 90, 76]"
full,12,-1927590.5446216022,-2128109.0650947383,True,20,29.092600100004347,,,69,0.0192040077929307,864,0.24046757584191483,"[864, 860, 690, 212, 183, 160, 146, 111, 106, 99, 93, 69]"
