covariance,K,BIC,AIC,converged,n_iter,fit_seconds,warnings,error,min_cluster_n,min_cluster_share,max_cluster_n,max_cluster_share,sizes_desc
spherical,2,-1585634.9238113961,-1586544.3750011018,True,28,3.4459917999993195,"Could not find the number of physical cores for the following reason:
found 0 physical cores < 1
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use.",,1696,0.47202894517116617,1897,0.5279710548288339,"[1897, 1696]"
spherical,3,-1611437.0597844503,-1612804.3299404024,True,12,0.8082145000007586,,,825,0.22961313665460617,1526,0.42471472307264124,"[1526, 1242, 825]"
spherical,4,-1630126.9853421082,-1631952.0744643067,True,12,1.2269462999975076,,,743,0.20679098246590594,1039,0.28917339270804343,"[1039, 979, 832, 743]"
spherical,5,-1640696.9118104323,-1642979.8198988773,True,11,1.6769201999995857,,,446,0.12413025327024771,990,0.2755357639855274,"[990, 797, 789, 571, 446]"
spherical,6,-1649369.9720954953,-1652110.6991501865,True,88,2.0658021999988705,,,398,0.11077094350125244,753,0.20957417200111328,"[753, 685, 629, 578, 550, 398]"
spherical,7,-1656403.8755441634,-1659602.421565101,True,58,2.3152294999963487,,,369,0.10269969384915113,700,0.19482326746451434,"[700, 622, 551, 486, 473, 392, 369]"
spherical,8,-1662628.682037094,-1666285.047024278,True,33,3.277623100002529,,,332,0.09240189256888394,629,0.17506262176454215,"[629, 534, 492, 446, 428, 397, 335, 332]"
spherical,9,-1666774.7861781057,-1670888.9701315362,True,50,3.017830099997809,,,211,0.05872529919287504,518,0.1441692179237406,"[518, 514, 490, 476, 393, 366, 343, 282, 211]"
spherical,10,-1670090.940131251,-1674662.943050928,True,29,2.7936040999993565,,,239,0.0665182298914556,438,0.12190370164208182,"[438, 435, 418, 389, 380, 362, 347, 322, 263, 239]"
spherical,11,-1673493.4214716651,-1678523.2433575885,True,19,2.6983544000031543,,,189,0.05260228221541887,423,0.11772891733927081,"[423, 416, 411, 363, 359, 350, 330, 304, 243, 205, 189]"
