K,BIC
2,-1999168.704086512
3,-2075302.840513231
4,-2104589.1038839654
5,-2126734.547303921
6,-2141170.805038743
7,-2148282.292127367
8,-2159634.577735024
9,-2161811.019394934
10,-2167318.263505227
11,-2173245.5453736605
12,-2176993.834461188
