k,n_units,n_missing_coords,eta_squared_distance,kruskal_H,kruskal_p,kruskal_epsilon_squared
3,4100,0,0.048639366811318516,188.68639722200896,1.0648034219028168e-41,0.04556660903637026
4,4100,0,0.095299504916208,384.5446439903826,4.928672718036007e-83,0.0931505478492145
5,4100,0,0.0907189953564172,366.6552045886674,4.440422728107635e-78,0.0885604895210421
6,4100,0,0.09519306373705683,387.6122107448318,1.3862763298584748e-81,0.09345681747553293
