lsoa,cluster
E01000001,0
E01000005,0
E01000008,2
E01000009,0
E01000011,1
E01000013,1
E01000017,2
E01000021,0
E01000024,2
E01000027,0
E01000029,2
E01000030,2
E01000031,2
E01000032,0
E01000034,2
E01000035,0
E01000036,1
E01000040,0
E01000041,0
E01000042,0
E01000045,0
E01000050,0
E01000052,2
E01000057,0
E01000058,0
E01000060,0
E01000061,2
E01000062,2
E01000063,2
E01000064,0
E01000065,2
E01000067,0
E01000068,2
E01000070,2
E01000072,0
E01000074,0
E01000075,0
E01000077,2
E01000078,0
E01000082,2
E01000083,0
E01000084,2
E01000085,0
E01000086,0
E01000087,0
E01000088,2
E01000090,0
E01000091,2
E01000093,2
E01000094,2
E01000095,0
E01000096,0
E01000098,0
E01000099,2
E01000101,0
E01000104,0
E01000105,0
E01000106,0
E01000110,2
E01000111,0
E01000112,0
E01000113,1
E01000114,0
E01000118,0
E01000120,0
E01000124,0
E01000126,2
E01000127,2
E01000129,0
E01000130,2
E01000131,0
E01000133,0
E01000135,2
E01000136,0
E01000138,2
E01000139,0
E01000140,0
E01000141,0
E01000143,0
E01000144,0
E01000146,0
E01000150,2
E01000151,0
E01000154,0
E01000156,0
E01000160,0
E01000161,0
E01000162,0
E01000164,0
E01000170,0
E01000171,0
E01000174,0
E01000176,0
E01000178,0
E01000181,0
E01000182,0
E01000183,2
E01000184,0
E01000185,0
E01000186,0
E01000188,0
E01000191,0
E01000192,0
E01000193,0
E01000194,0
E01000196,0
E01000197,1
E01000198,0
E01000200,0
E01000201,0
E01000202,2
E01000203,0
E01000205,0
E01000206,0
E01000208,0
E01000210,0
E01000211,0
E01000214,0
E01000215,0
E01000218,0
E01000219,2
E01000221,0
E01000222,0
E01000223,0
E01000226,0
E01000227,0
E01000229,2
E01000231,2
E01000232,0
E01000233,0
E01000234,0
E01000235,0
E01000236,0
E01000237,0
E01000239,2
E01000240,2
E01000242,0
E01000243,0
E01000244,0
E01000248,0
E01000250,0
E01000251,0
E01000255,0
E01000256,0
E01000257,0
E01000258,0
E01000259,0
E01000260,0
E01000261,0
E01000263,2
E01000264,0
E01000265,0
E01000268,0
E01000269,2
E01000271,0
E01000273,0
E01000274,0
E01000278,0
E01000281,0
E01000282,0
E01000284,0
E01000285,0
E01000286,0
E01000288,0
E01000292,0
E01000296,0
E01000297,0
E01000298,0
E01000299,0
E01000302,0
E01000305,0
E01000307,0
E01000309,2
E01000313,0
E01000314,0
E01000316,0
E01000318,0
E01000321,0
E01000323,0
E01000324,2
E01000326,2
E01000330,0
E01000331,2
E01000332,2
E01000333,2
E01000335,1
E01000336,2
E01000340,2
E01000343,2
E01000344,0
E01000347,0
E01000350,0
E01000352,0
E01000354,0
E01000356,0
E01000359,0
E01000360,0
E01000362,0
E01000365,0
E01000367,2
E01000370,0
E01000374,0
E01000384,2
E01000386,0
E01000389,0
E01000392,0
E01000394,0
E01000399,2
E01000400,0
E01000403,0
E01000404,2
E01000405,2
E01000406,2
E01000407,0
E01000408,1
E01000409,2
E01000414,0
E01000416,1
E01000417,0
E01000418,2
E01000420,2
E01000422,2
E01000426,2
E01000428,0
E01000429,2
E01000430,2
E01000433,2
E01000434,0
E01000439,2
E01000442,2
E01000444,0
E01000445,0
E01000447,0
E01000448,0
E01000450,2
E01000451,2
E01000454,0
E01000455,0
E01000457,0
E01000459,0
E01000462,0
E01000465,2
E01000466,2
E01000467,2
E01000469,2
E01000470,2
E01000472,0
E01000473,0
E01000475,2
E01000476,0
E01000477,0
E01000478,0
E01000479,2
E01000480,0
E01000481,0
E01000483,0
E01000485,0
E01000487,0
E01000489,0
E01000493,2
E01000494,2
E01000495,2
E01000497,0
E01000499,0
E01000501,0
E01000506,0
E01000507,0
E01000508,0
E01000510,0
E01000511,1
E01000513,2
E01000515,0
E01000516,0
E01000518,0
E01000519,2
E01000520,0
E01000521,2
E01000523,0
E01000524,0
E01000525,0
E01000526,0
E01000528,2
E01000531,2
E01000532,1
E01000533,2
E01000535,2
E01000541,0
E01000543,0
E01000544,0
E01000545,2
E01000547,2
E01000548,0
E01000550,0
E01000551,0
E01000552,2
E01000553,1
E01000554,0
E01000555,0
E01000556,0
E01000557,0
E01000563,2
E01000564,0
E01000565,0
E01000568,0
E01000571,0
E01000574,0
E01000575,0
E01000576,0
E01000577,0
E01000578,0
E01000580,1
E01000581,0
E01000583,0
E01000586,0
E01000589,0
E01000590,0
E01000591,0
E01000592,0
E01000594,0
E01000596,0
E01000599,2
E01000601,0
E01000602,2
E01000603,1
E01000604,0
E01000605,2
E01000606,2
E01000608,2
E01000609,2
E01000612,0
E01000615,0
E01000616,1
E01000620,0
E01000621,2
E01000623,0
E01000625,1
E01000626,0
E01000627,2
E01000628,0
E01000633,0
E01000634,0
E01000636,1
E01000638,0
E01000640,2
E01000642,0
E01000643,2
E01000646,0
E01000649,0
E01000657,0
E01000659,0
E01000661,0
E01000662,0
E01000665,0
E01000666,0
E01000668,0
E01000670,1
E01000671,0
E01000674,0
E01000676,0
E01000677,0
E01000678,0
E01000682,0
E01000686,0
E01000690,0
E01000691,2
E01000692,0
E01000693,0
E01000696,0
E01000697,0
E01000699,0
E01000702,0
E01000703,0
E01000705,0
E01000706,0
E01000707,0
E01000708,0
E01000712,0
E01000714,0
E01000715,0
E01000717,0
E01000718,2
E01000722,0
E01000727,0
E01000728,2
E01000730,0
E01000735,0
E01000737,0
E01000738,2
E01000741,0
E01000743,0
E01000744,0
E01000745,0
E01000751,0
E01000752,0
E01000754,0
E01000755,0
E01000756,0
E01000757,0
E01000760,0
E01000762,0
E01000763,1
E01000765,0
E01000767,0
E01000769,1
E01000770,0
E01000771,0
E01000775,0
E01000778,0
E01000779,0
E01000780,2
E01000781,2
E01000787,0
E01000788,0
E01000789,0
E01000790,0
E01000792,0
E01000797,0
E01000798,2
E01000799,0
E01000801,0
E01000802,0
E01000805,0
E01000806,0
E01000807,0
E01000813,2
E01000819,0
E01000824,0
E01000827,0
E01000828,0
E01000832,0
E01000835,0
E01000838,0
E01000846,0
E01000848,0
E01000849,0
E01000850,1
E01000855,1
E01000856,0
E01000858,0
E01000861,0
E01000862,0
E01000863,1
E01000867,0
E01000868,1
E01000869,0
E01000871,0
E01000872,0
E01000874,0
E01000875,0
E01000876,0
E01000877,0
E01000880,0
E01000881,0
E01000883,0
E01000884,0
E01000886,0
E01000887,0
E01000888,0
E01000890,0
E01000895,0
E01000898,0
E01000899,0
E01000900,2
E01000903,1
E01000904,0
E01000905,0
E01000906,0
E01000909,0
E01000912,0
E01000913,0
E01000914,1
E01000916,1
E01000917,0
E01000918,1
E01000919,1
E01000920,0
E01000921,1
E01000922,2
E01000924,2
E01000926,0
E01000927,0
E01000928,0
E01000929,0
E01000930,2
E01000931,0
E01000932,0
E01000933,0
E01000934,1
E01000935,2
E01000938,1
E01000939,1
E01000942,0
E01000946,1
E01000947,1
E01000954,1
E01000956,1
E01000959,1
E01000960,1
E01000963,0
E01000969,0
E01000972,0
E01000973,0
E01000974,0
E01000975,0
E01000976,0
E01000977,0
E01000978,0
E01000979,0
E01000980,0
E01000983,0
E01000984,2
E01000992,0
E01000993,0
E01000995,2
E01000997,2
E01000998,2
E01001000,2
E01001003,0
E01001004,0
E01001006,2
E01001008,2
E01001010,1
E01001011,0
E01001013,0
E01001016,0
E01001018,0
E01001020,0
E01001023,0
E01001029,0
E01001033,0
E01001034,0
E01001035,2
E01001036,0
E01001037,0
E01001038,2
E01001040,2
E01001041,0
E01001042,0
E01001044,2
E01001049,2
E01001050,0
E01001051,2
E01001052,2
E01001053,2
E01001054,2
E01001055,2
E01001060,2
E01001061,2
E01001062,0
E01001063,0
E01001064,2
E01001065,0
E01001066,2
E01001070,0
E01001074,0
E01001075,0
E01001076,0
E01001078,1
E01001079,2
E01001080,0
E01001081,2
E01001083,2
E01001084,0
E01001085,0
E01001087,2
E01001089,0
E01001091,2
E01001092,0
E01001093,0
E01001094,0
E01001095,0
E01001097,0
E01001102,0
E01001105,2
E01001109,2
E01001110,0
E01001111,2
E01001112,0
E01001114,2
E01001116,0
E01001118,0
E01001119,2
E01001122,2
E01001125,0
E01001127,0
E01001130,2
E01001133,1
E01001134,0
E01001135,0
E01001136,0
E01001137,0
E01001139,2
E01001142,0
E01001143,0
E01001145,0
E01001147,2
E01001148,0
E01001149,2
E01001150,2
E01001151,2
E01001152,2
E01001154,2
E01001155,0
E01001156,0
E01001157,0
E01001158,2
E01001159,2
E01001164,0
E01001165,0
E01001166,2
E01001167,0
E01001168,0
E01001169,2
E01001170,0
E01001171,0
E01001172,1
E01001173,0
E01001175,2
E01001176,0
E01001177,2
E01001178,0
E01001180,0
E01001181,2
E01001182,2
E01001183,0
E01001185,2
E01001186,0
E01001187,2
E01001192,0
E01001193,0
E01001197,0
E01001199,0
E01001202,0
E01001205,2
E01001206,0
E01001207,0
E01001208,2
E01001209,0
E01001210,0
E01001211,0
E01001212,0
E01001214,2
E01001215,2
E01001216,2
E01001218,0
E01001219,0
E01001220,0
E01001225,0
E01001226,0
E01001228,0
E01001229,0
E01001230,0
E01001233,0
E01001235,1
E01001240,1
E01001241,0
E01001243,0
E01001244,2
E01001245,0
E01001246,2
E01001247,0
E01001248,0
E01001249,0
E01001250,0
E01001251,0
E01001252,0
E01001253,0
E01001257,2
E01001258,2
E01001259,2
E01001260,0
E01001261,0
E01001263,0
E01001266,0
E01001267,0
E01001268,0
E01001269,0
E01001271,0
E01001272,1
E01001275,0
E01001276,1
E01001277,0
E01001278,0
E01001281,0
E01001283,0
E01001285,0
E01001286,2
E01001289,0
E01001290,0
E01001291,2
E01001293,2
E01001294,2
E01001295,2
E01001296,2
E01001297,0
E01001298,2
E01001301,0
E01001302,0
E01001303,1
E01001312,0
E01001313,0
E01001315,2
E01001316,2
E01001317,0
E01001318,0
E01001321,0
E01001322,0
E01001323,0
E01001324,1
E01001325,2
E01001326,2
E01001327,0
E01001328,0
E01001329,2
E01001330,0
E01001331,2
E01001333,2
E01001334,0
E01001336,0
E01001337,0
E01001338,0
E01001339,2
E01001341,2
E01001342,0
E01001344,0
E01001347,1
E01001348,1
E01001349,0
E01001351,0
E01001352,0
E01001353,0
E01001354,0
E01001355,0
E01001358,2
E01001359,2
E01001361,0
E01001362,0
E01001363,2
E01001367,2
E01001369,0
E01001370,2
E01001376,0
E01001384,0
E01001385,0
E01001386,0
E01001388,0
E01001390,0
E01001393,2
E01001394,2
E01001396,0
E01001397,0
E01001400,2
E01001402,0
E01001403,0
E01001408,0
E01001409,0
E01001411,0
E01001412,0
E01001414,0
E01001415,0
E01001419,0
E01001425,2
E01001426,2
E01001427,0
E01001429,0
E01001430,0
E01001433,2
E01001437,1
E01001438,1
E01001439,0
E01001440,0
E01001441,2
E01001444,1
E01001445,1
E01001446,2
E01001447,0
E01001449,1
E01001450,0
E01001451,1
E01001453,0
E01001454,0
E01001455,1
E01001458,0
E01001461,0
E01001465,0
E01001468,0
E01001469,0
E01001470,0
E01001474,0
E01001476,2
E01001478,0
E01001479,0
E01001480,0
E01001483,0
E01001485,0
E01001486,2
E01001488,2
E01001489,0
E01001491,0
E01001492,0
E01001493,2
E01001498,0
E01001499,0
E01001500,1
E01001501,0
E01001502,0
E01001504,0
E01001505,0
E01001507,0
E01001509,0
E01001511,0
E01001512,0
E01001513,0
E01001516,0
E01001518,0
E01001521,0
E01001523,0
E01001524,0
E01001527,0
E01001528,0
E01001529,0
E01001532,0
E01001534,0
E01001536,0
E01001538,0
E01001540,0
E01001542,0
E01001547,2
E01001549,0
E01001551,0
E01001552,0
E01001553,0
E01001554,2
E01001558,0
E01001559,1
E01001560,0
E01001563,0
E01001564,2
E01001569,0
E01001571,1
E01001572,1
E01001573,2
E01001575,2
E01001577,2
E01001579,2
E01001580,0
E01001581,0
E01001582,0
E01001583,0
E01001588,0
E01001590,0
E01001591,0
E01001593,2
E01001594,0
E01001597,0
E01001600,0
E01001601,2
E01001602,0
E01001603,2
E01001604,0
E01001607,0
E01001609,0
E01001611,0
E01001613,0
E01001614,2
E01001615,0
E01001617,0
E01001618,0
E01001620,0
E01001621,0
E01001625,2
E01001629,0
E01001631,1
E01001632,2
E01001634,0
E01001637,2
E01001638,2
E01001641,0
E01001642,0
E01001644,0
E01001645,0
E01001646,0
E01001648,0
E01001651,2
E01001652,0
E01001653,0
E01001658,0
E01001659,2
E01001660,0
E01001661,0
E01001665,0
E01001666,0
E01001669,2
E01001671,0
E01001673,2
E01001676,2
E01001677,2
E01001678,2
E01001682,0
E01001683,0
E01001686,0
E01001688,2
E01001690,2
E01001693,2
E01001694,2
E01001696,0
E01001697,2
E01001699,0
E01001700,2
E01001701,0
E01001703,0
E01001704,2
E01001705,0
E01001708,2
E01001712,2
E01001714,0
E01001716,2
E01001717,0
E01001718,0
E01001719,1
E01001720,0
E01001722,0
E01001724,0
E01001726,0
E01001728,0
E01001729,0
E01001730,0
E01001731,0
E01001733,0
E01001734,0
E01001735,0
E01001737,0
E01001738,2
E01001739,0
E01001740,0
E01001741,0
E01001742,0
E01001745,0
E01001747,1
E01001749,0
E01001750,1
E01001751,0
E01001755,0
E01001756,0
E01001757,2
E01001758,2
E01001760,0
E01001761,0
E01001762,0
E01001767,2
E01001769,0
E01001770,0
E01001774,0
E01001775,0
E01001777,0
E01001781,0
E01001786,2
E01001787,2
E01001788,2
E01001792,0
E01001793,2
E01001795,0
E01001798,0
E01001800,0
E01001801,0
E01001802,0
E01001803,0
E01001805,0
E01001806,0
E01001807,0
E01001808,0
E01001809,0
E01001811,0
E01001813,0
E01001814,0
E01001819,2
E01001824,0
E01001826,0
E01001827,2
E01001829,0
E01001830,0
E01001831,0
