lsoa,total_activity,log_total_activity,direction_balance,post_midnight_share,deep_night_share,post_midnight_persistence,weekend_ratio,zero_bin_count,zero_bin_share,evening_zero_bin_count,post_midnight_zero_bin_count,deep_night_zero_bin_count
E01000001,2639.39277,7.878682961589385,0.320382331728521,0.1124153757532646,0.0603358476275586,0.1882062253014808,0.5947770645526193,0,0.0,0,0,0
E01000005,12380.10901,9.423927123001912,-0.0272503311342005,0.1544194019984643,0.0886642734012565,0.3008541196971855,0.8320712320605262,0,0.0,0,0,0
E01000008,422.68066,6.048980011086831,-0.427029142994146,0.1014654420195142,0.0833722555463029,0.1694363037722237,0.7226510358413684,28,0.3888888888888889,1,27,14
E01000009,31483.76693,10.35725911832279,0.1101123235255762,0.1749424734418207,0.1130136329591993,0.3238136265809915,0.8435401156707157,0,0.0,0,0,0
E01000011,440.40113,6.089954053855608,-0.1504033152685144,0.0403988291310696,0.0195757899167969,0.0658914411444778,0.9209520651246086,7,0.09722222222222222,0,7,3
E01000013,7928.70168,8.978370694753558,0.1427430423892553,0.1019046462598148,0.0760602560594763,0.1603142748251162,0.62736593339491,14,0.19444444444444445,0,14,8
E01000017,1630.97699,7.397547436159951,-0.2423387039936106,0.1151156093256717,0.0918488555745964,0.1798982385513435,0.7040244883285122,15,0.20833333333333334,0,15,8
E01000019,211.85787,5.360624665985739,-0.0723401495540383,0.1519321892549943,0.1334373842236779,0.2517870622497326,0.6244638361767207,28,0.3888888888888889,1,27,14
E01000021,529.83531,6.274451822476142,-0.1330695570289568,0.0433440157093342,0.0319960555290284,0.0649527374813932,0.7123112782739375,26,0.3611111111111111,0,26,14
E01000024,2780.44804,7.930726948772826,-0.2188300702788893,0.1658489902943843,0.1243095591169544,0.2797755995042123,0.7822902396376608,0,0.0,0,0,0
E01000027,1813.19829,7.503398935616184,-0.252216700469092,0.0793942067968749,0.055171891872896,0.1250851221304679,0.7498000848723412,20,0.2777777777777778,0,20,11
E01000029,1086.15141,6.991316169049366,-0.3192754958537502,0.1580350938365029,0.1235047146879825,0.2643308845966121,0.6829424848806501,20,0.2777777777777778,0,20,12
E01000030,586.74213,6.376288297283743,-0.4218128157935412,0.1171968510255093,0.0841396372883604,0.1989987831336636,0.7027540002484461,21,0.2916666666666667,0,21,11
E01000031,326.12029,5.790327962580816,-0.1976459361053555,0.0777053767491743,0.057361349703203,0.1160921005668843,0.6139837837826759,22,0.3055555555555556,0,22,11
