NLC,tot_entry,tot_exit,total_activity
500,1074.7509930515196,2895.436920267,3970.1879133185193
501,3001.502290470001,1209.175603534,4210.677894004
502,3180.442100891684,2389.680654238691,5570.122755130375
503,5370.771401889999,4558.2852831499995,9929.05668504
505,529.1047298516742,1681.7823951836,2210.887125035274
506,149.29574853820398,1444.8452178200005,1594.1409663582044
507,6070.34026858,4498.557001060003,10568.897269640003
508,1837.4526287692695,4297.216640005795,6134.669268775065
509,531.2641592467913,2065.141180315,2596.405339561791
510,447.9873413589566,1508.3805847699998,1956.3679261289565
511,11444.690759045103,4925.024596240103,16369.715355285207
512,2689.3736949871613,6298.816254731259,8988.18994971842
513,28482.12322496507,6709.192367061985,35191.31559202706
514,3535.604114645098,11148.564389540581,14684.16850418568
515,122.30922540104464,937.0481540197711,1059.3573794208157
516,1594.5578353487322,2748.3185093296,4342.876344678332
517,1160.845545185,1857.7628218900006,3018.6083670750004
518,406.28089522520986,1881.247561555,2287.52845678021
519,1583.47428941,2310.9075374,3894.38182681
520,3409.26212445,5257.133610200001,8666.395734650001
521,5497.063446785952,3584.817966994341,9081.881413780293
522,1718.6373257784996,6467.239933916002,8185.877259694502
524,26134.20191515132,7700.37775805162,33834.57967320294
525,1881.3569828700001,1638.386753988,3519.7437368580004
526,233.5291935436888,782.5181884599999,1016.0473820036887
527,647.8107044861608,3048.878639508325,3696.6893439944856
528,1215.980821437214,2732.7630926207285,3948.7439140579427
529,416.37627486499997,1066.738768362969,1483.115043227969
530,880.2120185397536,2337.2105482400007,3217.422566779754
531,273.2709369032225,1463.1616414869998,1736.4325783902223
532,422.5879810536844,2036.2906102256,2458.8785912792846
534,1153.557817420183,2252.9622169198847,3406.5200343400675
535,7774.845375622805,5302.332950520704,13077.178326143508
536,2423.0870049499995,1549.2324726820004,3972.3194776319997
537,320.3746960045001,1549.8973586505,1870.2720546550001
539,200.23845651338556,987.9848487613671,1188.2233052747526
540,2172.4403725799993,2511.214417665,4683.654790244999
541,5574.400251348002,1195.4930004919997,6769.8932518400015
542,10840.496347585875,4732.559562959267,15573.055910545143
543,86.642412213,784.1011286999999,870.7435409129998
544,25.963778061503508,223.43178992785352,249.39556798935703
545,572.5448297270003,1164.1812402649996,1736.7260699919998
546,158.2769013204636,730.8144185688807,889.0913198893443
547,2123.99962113,5558.251762189999,7682.251383319999
548,1358.0164987537196,3665.6359455138827,5023.652444267602
549,1259.1403187299995,4941.226101594999,6200.366420324998
550,253.34351365,902.0608649299998,1155.4043785799997
551,1016.9434731320001,4464.410346334999,5481.353819466999
552,996.2327288,3845.3194500199997,4841.552178819999
553,8092.58334307,3427.4046215200005,11519.98796459
554,72.66614891934687,627.299351135,699.9655000543469
555,414.77589442642085,1599.259559985,2014.0354544114207
556,756.125761931292,3038.2493400850003,3794.375102016292
557,294.614516085,1051.9773217025,1346.5918377875
558,608.1405508402606,1848.811624465,2456.9521753052604
560,3829.1203618191294,9849.905812448,13679.026174267128
561,455.52830069022565,1105.1667682790005,1560.6950689692262
562,5190.320026098,8304.5688667448,13494.888892842799
563,938.5331116660002,1959.8350918452861,2898.368203511286
564,290.0893976632638,1464.1865314289996,1754.2759290922634
565,947.2177705440002,3890.3570258470004,4837.574796391001
566,2270.6132256670003,7195.088398329999,9465.701623997
567,1218.5085310620384,4191.649459639526,5410.157990701564
568,581.0014490260002,2533.4330067000005,3114.4344557260006
569,2591.4562125624066,2026.7344756002185,4618.1906881626255
570,5252.814877573849,6915.214032738054,12168.028910311903
571,270.75816706017304,1777.561942645501,2048.320109705674
572,309.219880512,2010.5227217499998,2319.7426022619998
574,11490.790824970329,12076.667034607482,23567.45785957781
575,5601.937561298762,3047.090652945534,8649.028214244296
576,112.85911328464937,701.262146644368,814.1212599290175
577,23655.058475100686,8815.177345322003,32470.23582042269
578,1039.8081213214166,3547.874080788001,4587.682202109418
579,2757.812791951291,3558.6104688454043,6316.423260796695
580,5931.933248067876,12738.061978028903,18669.99522609678
581,2376.354041549156,3051.065324406922,5427.419365956079
582,707.0016033280591,3539.26870947471,4246.270312802769
583,4838.677791779999,4966.051053890002,9804.72884567
584,1388.9506275280003,3726.641764103,5115.592391631
