NLC,tot_entry,tot_exit,total_activity
500,2980.4122149962004,6267.053563772667,9247.465778768867
501,4132.761799600002,2993.1075327000003,7125.8693323000025
502,4801.114767749684,6514.215287266712,11315.330055016395
503,11552.100274000006,13282.780086400002,24834.880360400006
505,1270.4621384673394,2873.681384718001,4144.14352318534
506,555.2245941599999,2226.0139795999994,2781.2385737599993
507,16196.625063000005,14218.692348999997,30415.317412000004
508,5087.132999724191,8426.005092967502,13513.138092691694
509,1639.2111344929008,4422.8494433470005,6062.060577839901
510,1546.6157050224915,2870.457990305285,4417.0736953277765
511,22342.9558524638,11214.90073123297,33557.856583696775
512,9306.189400043915,13383.05370986745,22689.243109911367
513,29091.039789580955,15670.122918500305,44761.16270808126
514,8783.035387302167,21153.432830818325,29936.46821812049
515,365.9660717536339,1724.865835974431,2090.831907728065
516,3561.693693427001,5943.908716824,9505.602410251002
517,3269.369690129999,4797.463908,8066.833598129999
518,1022.2169403373473,3203.2604683399995,4225.477408677347
519,3618.0719391077364,4499.268440140002,8117.340379247738
520,10288.8089619948,13504.285725499998,23793.0946874948
521,7803.40402878444,6366.403687743777,14169.807716528216
522,6004.1904174248,12926.411623993205,18930.602041418006
524,50787.801420848344,19018.56322538614,69806.36464623449
525,4282.161142400003,4361.8905066,8644.051649000003
526,615.9861377268894,1589.1802666489998,2205.166404375889
527,2116.9753669053484,5992.070725343717,8109.046092249066
528,3121.07348194834,5322.26102302399,8443.33450497233
529,957.6640554005747,1909.8058336520005,2867.469889052575
530,2354.5548520700004,4674.212260900001,7028.767112970001
531,1127.422520936953,2743.600752053643,3871.0232729905965
532,1135.7171106812002,3523.0650202690003,4658.782130950201
534,3197.6776445561613,4623.095592663983,7820.773237220144
535,29870.33208461978,20462.636064112172,50332.96814873195
536,2681.25450546,2420.7507691999995,5102.0052746599995
537,974.5793132836973,2906.55101887,3881.130332153697
539,632.5737241184431,1704.380430169058,2336.9541542875013
540,5821.238969823321,5206.192255119,11027.43122494232
541,6047.303049411599,2921.829330630001,8969.1323800416
542,27789.987719589215,14515.22369271481,42305.21141230402
543,291.63055068799997,1243.4457880000002,1535.0763386880003
544,73.31163552890001,275.01676083599995,348.32839636489996
545,1231.1398300745998,1979.3654861620003,3210.5053162366003
546,503.5139463263026,1186.62113285005,1690.1350791763525
547,10030.606220793174,14003.311318776,24033.91753956917
548,6309.895338782655,9073.354544489866,15383.249883272521
549,4795.2377941012,8717.677765721997,13512.915559823197
