lsoa,tot_boardings,tot_alightings,total_activity
E01000001,903.8323200000001,630.5633700000002,1534.3956900000003
E01000002,46.24297,25.271900000000006,71.51487
E01000005,3610.25725,4119.328280000001,7729.58553
E01000007,4274.42594,2060.62362,6335.0495599999995
E01000009,3564.965730000001,4209.33822,7774.30395
E01000011,227.27504000000002,187.71074,414.98578
E01000012,281.08435,637.56208,918.64643
E01000013,1505.8137600000002,1079.5332100000003,2585.3469700000005
E01000016,29.083070000000003,31.47229,60.55536000000001
E01000017,259.48618,457.53555,717.0217299999999
E01000018,49.602140000000006,100.02183000000001,149.62397
E01000019,56.01879,70.12362,126.14241000000001
E01000020,99.64541999999999,107.18803000000003,206.83345000000003
E01000021,134.22202000000001,191.72239,325.94441
E01000024,474.5930200000001,558.72937,1033.32239
E01000027,426.29507,652.5924699999999,1078.88754
E01000029,115.63871,312.37837,428.01708
E01000030,111.79675000000002,288.69047,400.48722000000004
E01000031,68.60521,103.91476000000002,172.51997
E01000032,178.74486,178.08866,356.83352
E01000034,159.87627,296.92303000000004,456.7993
E01000035,391.84766999999994,513.22657,905.0742399999999
E01000036,353.13315,368.66301999999996,721.79617
E01000038,68.90075,89.25516999999999,158.15591999999998
E01000040,201.02030000000002,355.65795999999995,556.6782599999999
E01000041,93.92378000000001,198.50726,292.43104
E01000042,61.115219999999994,147.34015999999997,208.45537999999996
E01000043,58.83028999999999,78.06913999999999,136.89943
E01000045,354.93149,403.06618,757.99767
E01000049,50.66378999999999,19.591169999999998,70.25495999999998
E01000050,664.42928,807.6183499999999,1472.0476299999998
E01000052,244.75916,440.91380000000004,685.6729600000001
E01000053,187.79613,201.87246,389.66859
E01000057,87.72655,94.82266,182.54921000000002
E01000058,78.61268,111.87117000000002,190.48385000000002
E01000060,1221.9027600000002,1517.61443,2739.5171900000005
E01000061,406.26192000000003,519.11823,925.3801500000001
E01000062,12.091300000000002,62.08886,74.18016
E01000063,116.41340999999998,50.092420000000004,166.50583
E01000064,214.94364,272.59847,487.54211
E01000065,88.03777000000002,156.71554,244.75331000000003
E01000067,321.32408000000004,182.30994999999996,503.63403
E01000068,117.54656,117.67230999999998,235.21886999999998
E01000069,11.04161,52.53152,63.57313
E01000070,568.09341,694.6841999999999,1262.7776099999999
E01000071,91.49703999999998,53.75908000000001,145.25612
E01000072,125.37518,219.22654999999997,344.60173
E01000073,47.85052,52.64804999999999,100.49857
E01000074,61.37562,73.17935,134.55497
E01000075,719.1429100000001,753.1630000000001,1472.3059100000003
E01000076,22.344929999999998,37.812709999999996,60.157639999999994
E01000077,510.70767,408.05825,918.76592
E01000078,246.51631,312.27692,558.79323
E01000079,59.63288,84.78394,144.41682
E01000080,51.69528,55.8482,107.54347999999999
E01000081,133.50612,56.66761999999999,190.17374
E01000082,267.48499999999996,789.95892,1057.44392
E01000083,466.9240899999999,1250.5950400000002,1717.5191300000001
E01000084,192.38008000000002,278.82618,471.20626000000004
E01000085,216.68908,193.33611000000002,410.02519
E01000086,96.53943999999998,26.978469999999998,123.51790999999999
E01000087,901.62973,1477.56172,2379.19145
E01000088,86.79137,112.28195,199.07332
E01000090,150.43768,320.81116000000003,471.24884000000003
E01000091,243.07702,917.1288600000001,1160.2058800000002
E01000093,429.9113900000001,647.9587099999999,1077.8701
E01000094,481.02502,690.9856699999999,1172.0106899999998
E01000095,722.0989800000001,620.43807,1342.5370500000001
E01000096,165.70501,199.27124000000003,364.97625000000005
E01000097,113.98861,210.42123999999998,324.40985
E01000098,82.34880999999999,119.1709,201.51970999999998
E01000099,247.81615000000002,313.9593000000001,561.7754500000001
E01000101,180.55875000000003,28.46143,209.02018000000004
E01000102,113.64309,152.68478,266.32786999999996
E01000104,239.64277,462.79925,702.44202
E01000105,1008.4888900000001,906.0099200000002,1914.4988100000003
E01000106,57.48039000000001,163.53892000000002,221.01931000000002
E01000108,38.77341,15.943959999999997,54.717369999999995
E01000110,98.18240999999998,179.42083000000002,277.60324
E01000111,313.97102999999987,322.89877,636.8697999999999
E01000112,736.18244,671.66792,1407.85036
E01000113,643.40263,432.27955999999995,1075.68219
E01000114,290.15883,935.3765099999998,1225.53534
E01000117,51.710910000000005,120.32952999999999,172.04044
E01000118,219.38846000000004,372.16874,591.5572000000001
E01000120,128.63949,110.69271000000002,239.3322
E01000121,29.327959999999997,61.009339999999995,90.3373
E01000123,25.18865999999999,70.95747,96.14613
E01000124,107.13605,193.4848,300.62085
E01000126,141.84443,258.73044000000004,400.57487000000003
E01000127,92.91649000000001,152.99745000000001,245.91394000000003
E01000128,34.36612,64.99195999999999,99.35808
E01000129,2178.30593,1843.79773,4022.1036599999998
E01000130,192.91889999999998,394.46166000000005,587.3805600000001
E01000131,95.40364000000001,96.89402,192.29766
E01000133,115.55426999999999,307.21861999999993,422.7728899999999
E01000134,83.39206,136.59273,219.98478999999998
E01000135,103.11661000000001,109.37706999999997,212.49367999999998
E01000136,194.26955999999996,181.39628,375.66583999999995
E01000137,36.57696000000001,68.16797999999999,104.74493999999999
E01000138,126.38390000000004,316.47522999999995,442.85913
E01000139,732.7474600000002,1192.89872,1925.6461800000002
E01000140,482.81706999999994,944.8205700000002,1427.6376400000001
E01000141,2844.719569999999,3256.15008,6100.869649999999
E01000143,105.22921999999998,165.18366,270.41288
E01000144,1817.9776900000002,670.5741100000001,2488.5518
E01000145,111.19386000000002,160.20059999999998,271.39446
E01000146,4648.908529999999,3845.7702899999995,8494.678819999997
E01000150,106.43142000000002,200.24080000000004,306.67222000000004
E01000151,256.864,435.8181,692.6821
E01000152,42.44352,80.54671,122.99023
E01000154,305.77506,444.82424,750.5993
E01000156,437.21795,995.2131100000001,1432.4310600000001
E01000158,40.65396,166.02882999999997,206.68278999999995
E01000160,219.90253,253.03315999999998,472.93569
E01000161,358.74255000000005,558.48557,917.2281200000001
E01000162,573.7985600000001,897.4389900000002,1471.2375500000003
E01000164,677.19252,1157.82372,1835.01624
E01000167,22.538659999999997,42.27456,64.81322
E01000170,39.21559,140.85652999999996,180.07211999999996
E01000171,503.33080999999993,608.6175400000001,1111.9483500000001
E01000172,35.595639999999996,59.03281,94.62844999999999
E01000173,33.946039999999996,20.29083,54.236869999999996
E01000174,250.54083999999997,324.40070999999995,574.9415499999999
E01000175,18.764020000000002,41.68994000000001,60.45396000000001
E01000176,56.388510000000004,124.75046,181.13897
E01000178,144.83013,144.98477000000003,289.8149
E01000181,132.91858,133.159,266.07758
E01000182,809.95237,724.6074900000002,1534.5598600000003
E01000183,105.09460999999997,97.21007999999999,202.30468999999997
E01000184,145.59115000000003,416.05565,561.6468
E01000185,57.23613999999999,30.79932,88.03546
E01000186,80.39074,147.26306999999997,227.65380999999996
E01000187,38.561020000000006,116.92998999999999,155.49101
E01000188,47.40284,368.41273000000007,415.8155700000001
E01000189,82.25489,36.49033,118.74522
E01000190,51.59531,15.32185,66.91716
E01000191,120.99640999999998,138.62935,259.62575999999996
E01000192,87.35746,92.66492999999998,180.02238999999997
E01000193,3458.9581099999996,4117.00089,7575.959
E01000194,2279.77554,1036.5179,3316.2934400000004
E01000195,70.7549,0.0,70.7549
E01000196,855.0541099999998,1002.1304400000001,1857.18455
E01000197,99.81573,130.29358,230.10931
E01000198,89.93474,136.81916,226.75390000000002
E01000200,86.88483000000001,142.98836000000003,229.87319000000002
E01000201,68.47958999999999,157.94888999999998,226.42847999999998
E01000202,101.41417999999997,126.87945000000002,228.29363
E01000203,437.04119,531.49857,968.5397599999999
E01000204,49.91742000000001,15.47478,65.3922
E01000205,45.73254,109.16508,154.89762000000002
E01000206,123.52343,104.42874000000002,227.95217000000002
E01000208,1577.40823,908.2402400000001,2485.64847
E01000210,301.0890799999999,424.7438599999999,725.8329399999998
E01000211,1096.69562,1590.5634899999998,2687.25911
E01000212,79.28145,61.34299,140.62444
E01000213,23.45584,35.87100000000001,59.326840000000004
E01000214,1755.2802800000002,3209.27657,4964.55685
E01000215,180.85247999999999,264.98391,445.83638999999994
E01000218,407.28578,460.05548000000005,867.34126
E01000219,155.84530999999998,233.29225000000002,389.13756
E01000221,548.29746,585.6410500000001,1133.93851
E01000222,341.08179999999993,638.4381699999999,979.5199699999998
E01000223,793.1452899999999,1169.0692300000003,1962.2145200000002
E01000224,205.23416,98.66075000000001,303.89491
E01000226,28.90403,175.44630000000004,204.35033000000004
E01000227,66.81364,42.9189,109.73254
E01000228,52.25691,68.47193,120.72883999999999
E01000229,95.54309999999998,204.84367999999998,300.38677999999993
E01000230,92.3902,87.6115,180.0017
E01000231,85.068,181.08090999999996,266.14890999999994
E01000232,106.35217999999999,159.32454,265.67672
E01000233,250.97973,345.73399,596.71372
E01000234,58.45291999999999,105.02691999999998,163.47983999999997
E01000235,214.22329000000002,411.6309,625.85419
E01000236,202.07969,252.66948,454.74917
E01000237,454.87578,670.6911,1125.56688
E01000238,19.733340000000002,30.5278,50.26114
E01000239,307.37991999999997,791.2625800000001,1098.6425
E01000240,142.75623,295.26799,438.02422
E01000242,88.54705,133.35154,221.89859
E01000243,543.4715900000001,752.70585,1296.1774400000002
E01000244,554.7070900000001,680.7113899999999,1235.41848
E01000245,270.05042,340.95037,611.00079
E01000246,266.11747999999994,158.43529,424.55276999999995
E01000248,637.6115699999999,482.7882000000001,1120.39977
E01000250,1753.40426,1512.7245799999996,3266.1288399999994
E01000251,433.57991,592.2853900000001,1025.8653000000002
E01000252,26.84404,28.219199999999994,55.06323999999999
E01000253,72.25143000000001,62.98967,135.24110000000002
E01000255,136.39043999999998,171.45378000000002,307.84422
E01000256,104.83826,196.89897000000002,301.73723
E01000257,618.5674900000001,626.7612099999999,1245.3287
E01000258,61.20892,106.54052000000003,167.74944000000002
E01000259,56.314800000000005,81.28840000000001,137.60320000000002
E01000260,165.95067,372.33065000000005,538.28132
E01000261,129.20105999999998,107.65105,236.85210999999998
E01000263,134.48273,216.72057999999998,351.20331
E01000264,1424.6525200000003,1524.4511099999997,2949.10363
E01000265,175.88902999999996,326.47396000000003,502.36298999999997
E01000266,32.45048,31.94907999999999,64.39956
E01000268,639.5372900000001,877.7158300000001,1517.2531200000003
E01000269,48.803290000000004,158.59595000000002,207.39924000000002
E01000270,19.034519999999997,48.536269999999995,67.57078999999999
E01000271,153.01402,214.94367000000003,367.95769
