role,path,sha256
clustering_input,D:\SDS2025_workspace\CASA_FYP\FYP\巴士聚类错误修改\outputs\features\X_bus_fullweek_alpha0.parquet,b3558e499aa0898ad3e67c26404076a0c949a6b41b850dbe3af8850163fe6d02
raw_metrics,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_clr_transform\outputs\features\raw_metrics.csv,07d5df090a3a6b5ffed5889da71046fdfbaa305d6d50269e41dda21185c73f80
boundary_input,D:\SDS2025_workspace\CASA_FYP\FYP\map\London_LSOA_2021_Boundaries.geojson,659c31995fe687563a93179875b10cd0f107064e55cf510faee480e69dd85887
geographic_lookup,D:\SDS2025_workspace\CASA_FYP\FYP\IMDdata\ons_lsoa11_lsoa21_lad22_london_lookup.csv,439011f5099286ce12d848b09e11ccfa7b6e0aca2c55315bd73d3a5cb2325bee
