role,path,bytes,sha256
LOAC_lookup,D:\SDS2025_workspace\CASA_FYP\FYP\此前的尝试分析文件\LOAC2021_allfiles\Lookup_Table\LOAC_lookup.csv,395543,43d36533ce47453ff4bf5551bc96b60ec39d468c5346c1f4c916737a217cafdd
LOAC_OA,D:\SDS2025_workspace\CASA_FYP\FYP\此前的尝试分析文件\LOAC2021_allfiles\GIS_Files\LOAC_OA_Geopackages\LOAC_OA.gpkg,9793536,5656800c7005f9cd4a8d380f2167640fc5679977f4a78bc5d6af002ced41d7f2
oa21_lsoa21_lookup,D:\SDS2025_workspace\CASA_FYP\FYP\rq2_loac_analysis\data\oa21_lsoa21_lookup.csv,2139874,9e288f8e486c132fd3f9a438bf8cf8255a8ac99626624d32224129ccb7c83556
k4_labels,D:\SDS2025_workspace\CASA_FYP\FYP\rq1_bus_stoparea_clustering\outputs_1805_min33\clr\labels\k4_labels.csv,151481,5bfe0eb54907cb271ba9c13c7f1061b1c6ef56a446ceaad416a2f077f1c521dd
rail_allmodes_k5_labels,D:\SDS2025_workspace\CASA_FYP\FYP\numbat_all_area_test\outputs\data\rail_allmodes_k5_labels.csv,14963,c2d954490385d4e3c75934ae6d861c32299d730994c1813ad904f84891fc232c
rail_allmodes_feature_meta,D:\SDS2025_workspace\CASA_FYP\FYP\numbat_all_area_test\outputs\data\rail_allmodes_feature_meta.csv,33322,12afe73e17972d2622ab2b93214375f138afb69bfd75163fcee5bd2b4e5e0a9c
rail_allmodes_coords,D:\SDS2025_workspace\CASA_FYP\FYP\data_processing\rail_allmodes\outputs\data\rail_allmodes_coords.csv,53503,bc72afd4194573a168d07c3fd942fd8921dba9bdeb07f5acac4f1acf4b88c47d
