cluster,loac_supergroup,enrichment_ratio
0,G,3.214729216964456
0,F,1.7139507187925247
1,D,3.048174230176439
1,C,0.8670443594538292
2,D,1.5176057154942824
2,E,1.3801222565674083
3,E,1.5761970346941305
3,F,1.2128716409569382
4,C,1.193780890650459
4,B,1.1573646649550104
