cluster,loac_supergroup,enrichment_ratio
0,G,2.028149180899268
0,F,1.301153846153846
1,D,1.6940570672713529
1,E,1.5529221328308085
2,A,1.5326135400800278
2,G,1.0859711486386687
3,G,1.360124269005848
3,F,1.3553685897435899
