NLC,lsoa21cd,lnc_grp,piece_area_m2,covered_area_m2,area_share
500,E01001197,5,24.540259308729517,2136966.5338605377,1.1483689107847797e-05
500,E01001201,3,15086.181256332318,2136966.5338605377,0.007059624480444423
500,E01001202,1,127793.65637682853,2136966.5338605377,0.05980143083755404
500,E01001203,1,62340.95861209134,2136966.5338605377,0.029172641510426117
500,E01001231,5,240848.83185845893,2136966.5338605377,0.11270594463795995
500,E01001232,5,4178.426690680607,2136966.5338605377,0.0019553074998942864
500,E01001351,2,169938.44407946875,2136966.5338605377,0.07952321264126977
500,E01001353,2,200773.26397250738,2136966.5338605377,0.09395246055154657
500,E01001354,4,84033.93427162491,2136966.5338605377,0.039323935560101345
500,E01001355,3,139310.74747851962,2136966.5338605377,0.06519088870654785
500,E01001356,2,60399.04709679531,2136966.5338605377,0.028263918100617787
500,E01001357,2,80157.61361662662,2136966.5338605377,0.03750999950000052
500,E01001358,2,232369.11742640726,2136966.5338605377,0.10873783643519243
500,E01001376,4,8424.920676484478,2136966.5338605377,0.003942467297915253
500,E01001381,4,8594.708149298443,2136966.5338605377,0.0040219198630928816
500,E01002562,5,387116.3366772167,2136966.5338605377,0.18115226913632174
500,E01002691,4,303677.11465129827,2136966.5338605377,0.14210663098344842
500,E01034042,4,11898.690710589519,2136966.5338605377,0.005568028568558785
501,E01000001,1,104883.69882723488,506176.4778921934,0.20720776924283163
501,E01000002,1,21278.675562081997,506176.4778921934,0.042038056866431424
501,E01000003,1,41995.90703347424,506176.4778921934,0.08296692728265935
501,E01002703,1,25828.143662160954,506176.4778921934,0.05102596582463456
501,E01002704,1,10737.37375181898,506176.4778921934,0.02121270786135947
501,E01002706,1,40307.835499168024,506176.4778921934,0.07963198066219283
501,E01002724,1,1728.9817115404253,506176.4778921934,0.0034157685847833246
501,E01032740,1,64144.642588073606,506176.4778921934,0.12672387080328784
501,E01033489,1,43605.15004321496,506176.4778921934,0.08614614062035116
501,E01033490,1,151666.06921342536,506176.4778921934,0.2996308122514684
502,E01000005,1,156267.93848545678,308165.20598732436,0.5070914413740937
502,E01004307,1,46302.560196928825,308165.20598732436,0.15025239481070218
502,E01004310,1,20267.716231793183,308165.20598732436,0.06576899610343047
502,E01032739,1,67347.65272088563,308165.20598732436,0.21854398683690401
502,E01032767,2,17979.338352259918,308165.20598732436,0.058343180874869616
503,E01004292,3,8859.905955967624,983020.7685816276,0.009012938728396683
503,E01004295,3,42770.76141973317,983020.7685816276,0.043509519622302456
503,E01004296,3,35688.230473723146,983020.7685816276,0.03630465562311228
503,E01004301,3,27138.4922592473,983020.7685816276,0.027607242010160835
503,E01004304,2,8854.978036521195,983020.7685816276,0.009007925691435582
503,E01004306,1,76412.22757731212,983020.7685816276,0.07773205818180741
503,E01004307,1,124735.9967508474,983020.7685816276,0.12689049991367463
503,E01004308,2,1841.3188192142466,983020.7685816276,0.001873123008246339
503,E01004309,1,86597.74209722612,983020.7685816276,0.08809350205507409
503,E01004310,1,53359.07815460207,983020.7685816276,0.05428072311390974
503,E01004319,2,104368.09455607708,983020.7685816276,0.10617079302064675
503,E01004321,1,18370.85942136297,983020.7685816276,0.018688170187766993
