NLC,Station,cluster,lon,lat,catchment_area_m2
506,Amersham,1,-0.6077052134228341,51.674145407023566,4516629.826386169
531,Buckhurst Hill,1,0.0468240751565627,51.625982897027,3058886.2356086303
539,Chalfont & Latimer,1,-0.5607234520464773,51.66803142622906,4516629.826386169
543,Chesham,1,-0.6109804023947352,51.70522161796168,4516629.826386169
544,Chigwell,1,0.0755949749891976,51.61765286220907,3584282.1665344583
546,Chorleywood,1,-0.5185530310182181,51.65429398451199,4516629.826386169
554,Croxley,1,-0.4417680549234005,51.6470771785801,4191966.0322920294
557,Debden,1,0.0837668965623632,51.6453918793904,4350555.410773883
572,Epping,1,0.1139996191841897,51.69356092525262,4516629.826386172
636,Loughton,2,0.055338101699993,51.64131224348847,4029247.461728922
687,Rickmansworth,1,-0.4737058106627786,51.64028836634988,4505328.078835341
725,Theydon Bois,1,0.1033276639997498,51.671832474283256,4516629.826386172
748,Watford,1,-0.4174120635262017,51.65748010048808,4366465.905097691
