NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason
500,0,1.0,1.181470643379288e-37,5913.695163326618,14018.011921536674,19931.70708486329,Acton Town,3,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,2136966.533860529,True,0.08897407234798016,0.3479874272286271,0.07225051318699227,0.19496298227311668,0.2958250049632838,0.0,0.0,2136966.5338605377,1.0000000000000042,True,2,0.7459275487884899,
501,3,1.0,3.9968049417465697e-125,11049.72327684,6330.322317268003,17380.045594108,Barbican,1,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,506176.4778921927,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506176.4778921934,1.0000000000000013,True,1,-0.0,
502,3,1.0,3.637571621732165e-50,12244.379849940393,13127.939881514514,25372.319731454907,Aldgate,1,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,308165.20598731784,True,0.9416568191251303,0.058343180874869616,0.0,0.0,0.0,0.0,0.0,308165.20598732436,1.000000000000021,True,1,0.11428286042663756,
503,2,1.0,2.118088457146785e-18,25196.40203101999,26446.2887469,51642.69077791999,Aldgate East,1,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,983020.768581642,True,0.43123377841617144,0.4523318655998562,0.11643435598397225,0.0,0.0,0.0,0.0,983020.7685816276,0.9999999999999855,True,2,0.4994830267403109,
505,4,0.973294497992638,0.1230966731444956,2726.357168859186,7092.771858705201,9819.129027564388,Alperton,4,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,2063533.0205897456,True,0.0,0.09831638638737598,0.04193308092970351,0.642542522063259,0.193136224676481,0.024071785943180563,0.0,2063533.0205897687,1.000000000000011,True,4,0.540906000056631,
506,4,1.0,1.3554121979780602e-67,1074.9204802164086,5621.002525339999,6695.923005556408,Amersham,9,496371.5781,198181.3279,-0.6077052134228341,51.674145407023566,4516629.826386169,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
507,1,1.0,5.848511862032458e-24,31737.71886116,25901.40646412001,57639.12532528001,Angel,1,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,2294117.836522543,True,0.5183994918444572,0.3798058552933915,0.0,0.10179465286215127,0.0,0.0,0.0,2294117.8365225038,0.9999999999999829,True,1,0.4835071928184545,
508,0,1.0,1.4920640344016498e-39,9954.105804043724,19429.07578368006,29383.181587723782,Archway,2/3,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,2627675.5252533685,True,0.06140101950162503,0.7331212499928557,0.05004806723545599,0.030237901155606244,0.12519176211445715,0.0,0.0,2627675.525253383,1.0000000000000056,True,2,0.4700802491252809,
509,0,1.0,7.563927093776893e-39,3121.476679486484,9686.938155317,12808.414834803483,Arnos Grove,4,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,3312758.991381347,True,0.0,0.0,0.022336329335159447,0.18741801618683723,0.5902484055839616,0.19999724889404155,0.0,3312758.9913813546,1.0000000000000022,True,5,0.5302401084122632,
510,0,1.0,7.745299364641327e-57,2788.6440344604034,6681.370309785282,9470.014344245688,Arsenal,2,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,1450264.4349277057,True,0.03924135687465398,0.7054554465781513,0.25530319654719474,0.0,0.0,0.0,0.0,1450264.4349276915,0.9999999999999902,True,2,0.3709176505720188,
511,3,1.0,2.257329194420372e-25,51064.58130176767,23898.36473050797,74962.94603227565,Baker Street,1,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,1032424.1727292183,True,0.301290133877291,0.0,0.0,0.6120839015424498,0.0,0.08662596458025915,0.0,1032424.1727292476,1.0000000000000284,True,4,0.4490526881833642,
512,0,1.0,3.312793211707495e-24,16469.15800745222,28849.970374424967,45319.12838187719,Balham LU,3,528480.3274,173244.480799999,-0.1526912294756308,51.44362737290878,2441306.8943554848,True,0.0,0.20709095678536807,0.15883858211761745,0.2292679563325808,0.21436093742905513,0.1904415673353786,0.0,2441306.894355515,1.0000000000000124,True,4,0.8232514408036099,
513,3,1.0,1.5673449138322407e-166,91406.14782448392,32449.579175152,123855.72699963592,Bank and Monument,1,532710.1551,181119.8978,-0.088908087271181,51.513425435909184,270882.8051319224,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270882.80513192236,0.9999999999999998,True,1,-0.0,
514,0,1.0,1.5909772190541232e-21,18710.73475998977,50301.57582767076,69012.31058766053,Barking,4,544358.8052,184382.179,0.080182080144555,51.539885097485445,3674725.2217727923,True,0.10520186351348051,0.07510557427402068,0.22724443135043398,0.41907307822155837,0.16884447377451706,0.004530578865989426,0.0,3674725.221772726,0.999999999999982,True,4,0.748911119116548,
515,4,1.0,5.204223289368523e-38,714.948946704523,4023.674694132535,4738.623640837058,Barkingside,4,544798.7557,189493.9487,0.0886252042343672,51.58570377518845,2414786.2909222115,True,0.0,0.0,0.029551320021472198,0.0999111387669306,0.5752562787974342,0.10045317816770107,0.1948280842464619,2414786.2909222003,0.9999999999999953,True,5,0.617607854511964,
516,0,1.0,3.152924600723678e-46,7402.351236572083,12966.531270303212,20368.882506875296,Barons Court,2,524045.7583,178327.6646,-0.2146840501234848,51.49029837209941,1168873.5079104537,True,0.1797323088312895,0.6426472093387157,0.09153884445897477,0.022282515951743433,0.06379912141927661,0.0,0.0,1166450.6878105407,0.9979272178866948,True,2,0.5508122389358449,
517,2,1.0,7.349750906141729e-44,6602.944139000001,10111.78975898,16714.73389798,Bayswater,1,525842.957,180822.646199999,-0.1879225224209527,51.51232394663448,430477.21646151354,True,0.0447442571032684,0.5156983129820757,0.43955742991465585,0.0,0.0,0.0,0.0,430477.2164614973,0.9999999999999623,True,2,0.4326171885112603,
518,4,1.0,8.192734689079705e-21,2137.9462031406574,7839.893892635998,9977.840095776655,Becontree,5,547627.5438,184527.341,0.1273417848283317,51.54034470776378,3520103.0979645033,True,0.0,0.0,0.034146671384413754,0.09692574682858222,0.6998214721978477,0.16910610958915634,0.0,3520103.0979645564,1.000000000000015,True,5,0.45832035361561624,
519,0,1.0,1.6400028225319947e-41,7690.740753327739,10364.728174600008,18055.468927927748,Belsize Park,2,527353.7983,185088.897399999,-0.1646209868164118,51.55032570077621,1781153.3140538707,True,0.11173279259725832,0.44934614004006307,0.13866121807145157,0.06225389423423616,0.2380059550569908,0.0,0.0,1781153.314053867,0.9999999999999979,True,2,0.7157536619718916,
520,2,1.0,1.0986705057961764e-30,19323.6633898948,27501.424468900004,46825.08785879481,Bethnal Green LU,2,535043.5417,182718.410700001,-0.0546903019258305,51.527237667207054,2457105.6983050336,True,0.18279990969250642,0.5731390004302022,0.11905243471792386,0.1250086551593676,0.0,0.0,0.0,2457105.6983050397,1.0000000000000024,True,2,0.5873724215540848,
521,3,1.0,7.817229215283331e-65,20667.335486833734,15065.569707903032,35732.90519473677,Blackfriars LU,1,531693.8776,180893.0855,-0.103629638137254,51.51162476747557,526642.6124917677,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,344568.41638327885,0.6542737108814282,True,1,-0.0,
522,0,1.0,3.481363776390886e-35,10751.414276842386,29363.085213185223,40114.49949002761,Blackhorse Road,3,535760.6278,189370.2981,-0.041793873795219,51.586840594392974,3098655.989762854,True,0.0,0.06309065967922674,0.01022095958569181,0.538827295308576,0.22431373601437948,0.0,0.16354734941212595,3098655.9897628343,0.9999999999999937,True,4,0.6093691306415358,
524,3,1.0,4.734204349288397e-65,114842.62331718982,38197.19576609632,153039.81908328616,Bond Street,1,528490.674,181117.635,-0.1496811425789451,51.51437958002913,569193.8607293953,True,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,569193.8607293689,0.9999999999999536,True,1,1.1410835440311978e-16,
525,2,1.0,5.592313458679589e-25,8937.246024840002,8913.374023476004,17850.620048316006,Borough,1,532439.9633,179751.461100001,-0.0933129512735988,51.5011913652754,1133270.5465824548,True,0.549737537551246,0.3044401451022376,0.09296405001344593,0.05285826733307054,0.0,0.0,0.0,1133270.5465824835,1.0000000000000253,True,1,0.5484484805419646,
526,0,1.0,3.750309869964949e-48,1261.5081704142667,3717.403205908999,4978.911376323265,Boston Manor,4,516333.5188,178693.009,-0.3255952087308763,51.495219674970095,3426357.834935192,True,0.0,0.0023709156861300646,0.02767508294052915,0.0422409025228627,0.46576761244749526,0.07140048699604457,0.39054499940693826,3426357.8349351855,0.9999999999999981,True,5,0.5955078916210924,
527,0,1.0,1.4919356858247115e-41,3910.695672480389,13699.885550848723,17610.58122332911,Bounds Green,3/4,529984.4864,191469.272600001,-0.124341977871115,51.60706378685743,3022251.190028256,True,0.024959511992186663,0.045256556340340065,0.1482687370591183,0.5067772899049554,0.2729307118830163,0.0018071928203831115,0.0,3022251.190028277,1.000000000000007,True,4,0.6297713912126134,
528,2,0.999999927468255,1.264898801940596e-06,6489.373613292136,12474.97526503754,18964.34887832968,Bow Road,2,537089.8973,182735.951300001,-0.0252032121690731,51.526902665586434,1856508.995331433,True,0.14572135520031726,0.6870149904724473,0.06132386635493047,0.07575530649354935,0.030184481478755652,0.0,0.0,1856508.995331428,0.9999999999999973,True,2,0.5194944956812552,
529,0,1.0,1.2405358143176472e-32,2072.6776554105745,4565.648293407941,6638.325948818516,Brent Cross,3,523873.7006,187934.037,-0.2137847584215133,51.57666898367216,2934695.314564091,True,0.0,0.0,0.05075701687837142,0.336161373400542,0.5468332616718606,0.06624834804922598,0.0,2934695.3145640637,0.9999999999999907,True,5,0.5281119197185968,
530,0,1.0,8.325990864656844e-39,4817.629362765983,10950.721664779998,15768.35102754598,Bromley-by-Bow,2/3,538049.5634,182523.513599999,-0.0114614594625467,51.52476012571751,2202013.0568274916,True,0.0,0.2638056731275088,0.3714625481834872,0.3647317786890041,0.0,0.0,0.0,2202013.056827527,1.000000000000016,True,3,0.5587412476844288,
531,4,0.9999999837125416,3.083665774372946e-07,1932.6078855194053,6242.019095033643,8174.626980553048,Buckhurst Hill,5,541777.5666,193891.179,0.0468240751565627,51.625982897027,3058886.2356086303,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
532,4,0.9999999999820376,4.6019864244267724e-10,2360.681658068569,8697.543736676203,11058.225394744772,Burnt Oak,4,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,2722252.5424372465,True,0.0,0.04934148930632197,0.0763612185445532,0.5390966941127061,0.2747710261413371,0.06042957189508164,0.0,2722252.5424372526,1.0000000000000022,True,4,0.6179694340587313,
534,0,1.0,2.972065968581708e-18,6348.565699511074,10670.71058399232,17019.276283503394,Caledonian Road,2,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,1770681.3972588624,True,0.017086012793269628,0.9452104133776906,0.02416535601782022,0.013538217811219435,0.0,0.0,0.0,1770681.397258837,0.9999999999999857,True,2,0.1392665417187981,
535,1,0.9999953868181816,6.12934564604247e-05,52802.52488370019,35056.314223999645,87858.83910769984,Camden Town,2,528910.2525,183893.5725,-0.1426229702612466,51.53923059833878,1217028.0458383276,True,0.33387670260908664,0.40749779957996096,0.1656191800850457,0.00012078771308942034,0.0,0.09288553001281726,0.0,1217028.045838327,0.9999999999999994,True,2,0.6432422727444886,
536,3,1.0,8.024710009354142e-102,8000.085283715004,5875.420527657001,13875.505811372004,Cannon Street LU,1,532611.4757,180900.064999999,-0.0904119205678546,51.511473069259,244434.78257941894,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201900.4864329226,0.8259891833001444,True,1,-0.0,
537,0,0.9999999999972716,7.569726802629095e-11,1876.4533428766963,6755.427528807998,8631.880871684694,Canons Park,5,518186.8967,191252.07,-0.2946941062058866,51.60770907048488,2877649.4810494906,True,0.0,0.0,0.0,0.21126376169441466,0.665293902102141,0.12344131618445525,1.0200189891877844e-06,2877649.4810494757,0.9999999999999948,True,5,0.4408310269409983,
539,4,1.0,1.9062234274394893e-62,1185.2686152942863,4023.2126503762847,5208.481265670571,Chalfont & Latimer,8,499633.5338,197564.355,-0.5607234520464773,51.66803142622906,4516629.826386169,False,,,,,,,,,,False,,,station point outside Greater London/LNWC extent
