covariance,K,BIC,AIC,converged,n_iter,convergence_warnings,fit_seconds,min_cluster_n,min_cluster_share,parameter_count,parameters_per_station,full_covariance_underidentified,error
spherical,2,233175.86442735346,230703.74854152158,True,2,0,0.15482540000084555,126,0.4666666666666667,687,2.5444444444444443,False,
spherical,3,222052.73374785433,218342.760708127,True,2,0,0.04930160000003525,67,0.24814814814814815,1031,3.8185185185185184,False,
spherical,4,214294.79211497644,209346.96192135368,True,9,0,0.07989099999940663,34,0.1259259259259259,1375,5.092592592592593,False,
spherical,5,205555.0643768282,199369.37702930998,True,5,0,0.08915620000152558,27,0.1,1719,6.366666666666666,False,
spherical,6,196410.79169937345,188987.2471979598,True,9,0,0.109739499999705,30,0.1111111111111111,2063,7.640740740740741,False,
spherical,7,188538.42034788043,179877.01869257135,True,17,0,0.1297749000004842,29,0.10740740740740741,2407,8.914814814814815,False,
spherical,8,186246.1965522228,176346.93774301826,True,9,0,0.11486919999879319,21,0.07777777777777778,2751,10.188888888888888,False,
spherical,9,182780.78337740566,171643.6674143057,True,8,0,0.11810220000006666,1,0.003703703703703704,3095,11.462962962962964,False,
spherical,10,181385.61312298098,169010.64000598557,True,7,0,0.13250150000021677,5,0.018518518518518517,3439,12.737037037037037,False,
spherical,11,179732.87081838422,166120.04054749338,True,7,0,0.16612720000011905,3,0.011111111111111112,3783,14.011111111111111,False,
spherical,12,176877.61268687507,162026.92526208877,True,7,0,0.1749712000000727,3,0.011111111111111112,4127,15.285185185185185,False,
diag,2,94356.18199275956,89429.94233089079,True,2,0,0.03251599999930477,126,0.4666666666666667,1369,5.07037037037037,False,
diag,3,76238.15141468882,68846.99271090615,True,14,0,0.08929859999989276,52,0.1925925925925926,2054,7.607407407407408,False,
diag,4,67853.19921911579,57997.12147341924,True,11,0,0.09770270000080927,52,0.1925925925925926,2739,10.144444444444444,False,
diag,5,63478.0301136734,51157.03332606296,True,7,0,0.10847160000048461,39,0.14444444444444443,3424,12.681481481481482,False,
diag,6,58633.80044821417,43847.88461868985,True,9,0,0.12426879999839002,30,0.1111111111111111,4109,15.218518518518518,False,
diag,7,59373.45314900232,42122.618277564114,True,16,0,0.13753539999925124,25,0.09259259259259259,4794,17.755555555555556,False,
diag,8,58580.5768599624,38864.82294661031,True,11,0,0.15167359999941255,2,0.007407407407407408,5479,20.29259259259259,False,
diag,9,57503.45006627352,35322.77711100754,True,12,0,0.17150209999999788,1,0.003703703703703704,6164,22.82962962962963,False,
diag,10,60923.72284425222,36278.130847072345,True,11,0,0.19717080000009446,3,0.011111111111111112,6849,25.366666666666667,False,
diag,11,63271.54815943772,36161.03712034397,True,12,0,0.3041961999988416,3,0.011111111111111112,7534,27.903703703703705,False,
diag,12,62116.77518236161,32541.34510135397,True,13,0,0.316901099999086,1,0.003703703703703704,8219,30.44074074074074,False,
tied,2,-75972.41562700039,-289495.57783004595,True,2,0,0.445806800000355,126,0.4666666666666667,59338,219.77037037037036,False,
tied,3,-76169.06957617973,-290926.49051116174,True,2,0,0.4515897999990557,8,0.02962962962962963,59681,221.04074074074074,False,
tied,4,-77127.21451179928,-293118.89417871775,True,2,0,0.4682253999999375,3,0.011111111111111112,60024,222.3111111111111,False,
tied,5,-76714.52913677657,-293940.4675356315,True,2,0,0.4883198999996239,19,0.07037037037037037,60367,223.5814814814815,False,
tied,6,-76972.21177629568,-295432.408907087,True,2,0,0.5563043000001926,3,0.011111111111111112,60710,224.85185185185185,False,
tied,7,-77860.00868838571,-297554.4645511135,True,2,0,0.5875484000007418,4,0.014814814814814815,61053,226.12222222222223,False,
tied,8,-78198.4511291504,-299127.1657238146,True,2,0,0.6015926000000036,3,0.011111111111111112,61396,227.3925925925926,False,
tied,9,-78696.29948092991,-300859.2728075306,True,2,0,0.6158400999993319,3,0.011111111111111112,61739,228.66296296296295,False,
tied,10,-78206.24077348906,-301603.4728320262,True,2,0,0.606098899999779,3,0.011111111111111112,62082,229.93333333333334,False,
tied,11,-78913.19480456441,-303544.685595038,True,2,0,0.6639617999990151,3,0.011111111111111112,62425,231.2037037037037,False,
tied,12,-79084.57280336053,-304950.3223257705,True,2,0,0.6779177999997046,3,0.011111111111111112,62768,232.47407407407408,False,
full,2,-23440.146150518325,-448021.55151469563,True,2,0,0.6695806999996421,126,0.4666666666666667,117991,437.0037037037037,True,
full,3,210459.2688196022,-426414.6384376432,True,2,0,1.0810372999985702,67,0.24814814814814815,176987,655.5074074074074,True,
full,4,456216.2594197196,-392950.149730594,True,2,0,1.3696030999999493,56,0.2074074074074074,235983,874.0111111111111,True,
full,5,754558.6085362419,-306900.3025071396,True,2,0,1.8295558000008896,34,0.1259259259259259,294979,1092.5148148148148,True,
full,6,1068051.8521406502,-205699.5607957996,True,2,0,2.1708469000004698,18,0.06666666666666667,353975,1311.0185185185185,True,
full,7,1366879.0980100264,-119164.81681949121,True,2,0,2.4971623000001273,26,0.0962962962962963,412971,1529.5222222222221,True,
full,8,1673961.6861104162,-24374.73061216972,True,2,0,2.7107245000006515,24,0.08888888888888889,471967,1748.025925925926,True,
full,9,1994273.5188333986,83644.60021774448,True,2,0,2.998289899998781,16,0.05925925925925926,530963,1966.5296296296297,True,
full,10,2316897.2341076713,193975.81359894923,True,2,0,3.391939099999945,14,0.05185185185185185,589959,2185.0333333333333,True,
full,11,2643201.6122739245,307987.6898721339,True,2,0,3.6329418000004807,4,0.014814814814814815,648955,2403.537037037037,True,
full,12,2965579.015665847,418072.59137098794,True,2,0,4.070905599999605,7,0.025925925925925925,707951,2622.0407407407406,True,
