K,replicates,ARI_mean,ARI_sd,ARI_median,ARI_q025,ARI_q975,ARI_min,ARI_max,convergence_rate,total_convergence_warnings
3,200,0.7231843385017969,0.20974715442245626,0.8529456963559612,0.48867513973739063,0.991545926969134,0.48563110051509073,1.0,1.0,0
4,200,0.7532373915506285,0.1195568484515762,0.772361005279163,0.5250673562161925,0.9534195813815212,0.49145518395207377,0.9822259959253984,1.0,0
5,200,0.5594727434063811,0.08435625113572663,0.5443173834041829,0.3711208887830518,0.7469794308183015,0.3358333466464681,0.8712921322276788,1.0,0
6,200,0.6068026514459762,0.0826544801828275,0.6097318956964293,0.440733654496641,0.7659626343322774,0.38459893688523356,0.8820704242931289,1.0,0
7,200,0.5629133657948402,0.07111023040259368,0.5527507059877841,0.43348519719363143,0.7052603581637432,0.3859369713008638,0.7914766181544488,1.0,0
8,200,0.5257906741234999,0.061314622972827935,0.514125386247483,0.432283433466052,0.6822492014591505,0.40588887463739215,0.7074652580551144,1.0,0
