NLC,tot_entry,tot_exit,total_activity,ASC,Station,Fare Zone,mode_label
529,2072.6776554105745,4565.648293407941,6638.325948818516,529,Brent Cross,,LU
530,4817.629362765983,10950.721664779998,15768.351027545981,530,Bromley-by-Bow,,LU
5301,2865.5911191529926,3828.021304754453,6693.612423907445,5301,Clapham High Street,,LO
531,1932.6078855194055,6242.019095033643,8174.626980553048,531,Buckhurst Hill,,LU
532,2360.681658068569,8697.543736676203,11058.225394744772,532,Burnt Oak,,LU
533,4341.482661862475,6138.154637334134,10479.63729919661,533,London City Airport,,DLR
534,6348.565699511074,10670.710583992319,17019.276283503394,534,Caledonian Road,,LU
5345,10222.476883008503,14519.894896412416,24742.37177942092,5345,New Cross Gate,,LO
535,52802.52488370019,35056.314223999645,87858.83910769984,535,Camden Town,,LU
5356,3152.3074483218884,12741.795785888004,15894.103234209892,5356,Crystal Palace,,LO
536,8000.085283715004,5875.420527657001,13875.505811372004,536,Cannon Street LU,,LU
5362,3787.690915610822,17129.5367653884,20917.22768099922,5362,Forest Hill,,LO
537,1876.4533428766965,6755.427528807998,8631.880871684694,537,Canons Park,,LU
5372,1273.7821306096996,1809.130020470276,3082.9121510799755,5372,Wandsworth Road,,LO
5376,3571.3516565446857,13969.748131427776,17541.09978797246,5376,Norwood Junction,,LO
5378,1192.6241940586299,4780.821468978779,5973.445663037409,5378,Penge West,,LO
538,3934.458605502504,8238.364988976648,12172.823594479152,538,Pontoon Dock,,DLR
539,1185.2686152942863,4023.2126503762847,5208.481265670571,539,Chalfont & Latimer,,LU
5397,1374.6059084301155,3668.5116617853196,5043.117570215435,5397,Anerley,,LO
540,11684.833405383319,11665.841083698993,23350.67448908231,540,Chalk Farm,,LU
5404,5443.00029614894,13094.313416134206,18537.313712283147,5404,Brockley,,LO
541,17998.838891407606,5917.571720214,23916.410611621606,541,Chancery Lane,,LU
5411,6729.737037794002,10605.77366414279,17335.510701936793,5411,West Croydon NR,,"LO,TRM"
5418,2356.6080533939244,8104.322633956488,10460.930687350412,5418,Honor Oak Park,,LO
542,56223.77277068601,26849.939994103675,83073.71276478969,542,Embankment,,LU
5421,7675.1756959898885,13101.5358160178,20776.71151200769,5421,Denmark Hill,,LO
5423,12441.173431756399,24593.506537986712,37034.67996974311,5423,Peckham Rye,,LO
5424,4340.750114660269,13494.05044384841,17834.80055850868,5424,Queens Road Peckham,,LO
543,559.4056421786731,3065.533097699998,3624.938739878671,543,Chesham,,LU
5437,3473.65430668222,14649.78674608026,18123.441052762482,5437,Sydenham,,LO
544,161.310656816424,782.7547328317072,944.0653896481313,544,Chigwell,,LU
545,2650.5889391086,4817.557987651997,7468.146926760597,545,Chiswick Park,,LU
546,1016.0078630141387,2926.4929859207273,3942.500848934866,546,Chorleywood,,LU
547,15919.988308653175,27540.148534056007,43460.13684270918,547,Clapham Common,,LU
548,10013.019612375085,18284.038310293618,28297.057922668704,548,Clapham North,,LU
549,8109.961520161199,20658.201825511995,28768.163345673194,549,Clapham South,,LU
550,1486.1034248744706,4476.264141884,5962.367566758471,550,Cockfosters,,LU
551,5755.633014657403,20022.603049970996,25778.2360646284,551,Colindale,,LU
552,6007.7387346847945,17295.926884897995,23303.66561958279,552,Colliers Wood,,LU
553,42015.40638092037,19892.087873565986,61907.49425448636,553,Covent Garden,,LU
554,441.76742743785314,2380.549865453999,2822.317292891852,554,Croxley,,LU
555,2191.0869127885653,6879.916147624003,9071.003060412568,555,Dagenham East,,LU
556,3929.921278039253,12834.603447290006,16764.52472532926,556,Dagenham Heathway,,LU
557,1462.3045949935004,4298.660505199999,5760.965100193499,557,Debden,,LU
558,3378.6188977878883,8780.533651410402,12159.15254919829,558,Dollis Hill,,LU
559,3979.939609681527,5825.291892097024,9805.231501778551,559,West Silvertown,,DLR
5595,39980.22254904429,63970.15048872175,103950.37303776604,5595,Clapham Junction,,LO
560,21240.988564281724,47417.997442949214,68658.98600723094,560,Ealing Broadway,,"EZL,LU"
561,2303.3179382436024,4984.9985703555,7288.316508599102,561,Ealing Common,,LU
562,27622.400800709012,43334.3943087656,70956.79510947461,562,Earl's Court,,LU
563,4494.830234434071,9275.196068756599,13770.026303190669,563,East Acton,,LU
564,1721.8610796257235,5859.480321503004,7581.341401128728,564,Eastcote,,LU
565,5377.726258523599,16289.543558362002,21667.2698168856,565,East Finchley,,LU
566,12101.66896228401,32374.14898746,44475.817949744014,566,East Ham,,LU
567,6883.42049301447,17355.99079116461,24239.41128417908,567,East Putney,,LU
568,3567.356815224,11364.078103059994,14931.434918283994,568,Edgware,,LU
