k5_cluster,K6_C0,K6_C1,K6_C2,K6_C3,K6_C4,K6_C5
K5_C0,19,0,17,170,0,0
K5_C1,1,33,0,0,0,2
K5_C2,60,0,0,0,0,35
K5_C3,1,0,0,0,11,3
K5_C4,5,0,61,0,2,0
