iteration,ARI_K5,ARI_K6,ARI_difference_K5_minus_K6
1,0.726487241810585,0.5956084348837026,0.13087880692688236
2,0.5877558392684593,0.4030525101757054,0.1847033290927539
3,0.6101567812627595,0.31912280713218416,0.29103397413057536
4,0.28983627712930793,0.4878028570182239,-0.19796657988891597
5,0.3783009547110681,0.38951979209962345,-0.011218837388555336
6,0.15462547079710984,0.33254056646069885,-0.177915095663589
7,0.2788698219101983,0.27805100251358994,0.0008188193966083834
8,0.5940905884673523,0.6490655580267005,-0.05497496955934822
9,0.8627156784936676,0.6234432516893922,0.2392724268042754
10,0.24091433356524722,0.532045893532516,-0.29113155996726875
11,0.6019697466699724,0.7017421282914532,-0.09977238162148083
12,0.3357658258019103,0.45017768051063006,-0.11441185470871978
13,0.3322391880023767,0.42898487305961347,-0.0967456850572368
14,0.3209619885240688,0.34857916625504193,-0.027617177730973108
15,0.37270673768513424,0.5060912145411292,-0.13338447685599492
16,0.6013232547824364,0.563018579739195,0.03830467504324142
17,0.5305230331498626,0.5359520969271879,-0.005429063777325327
18,0.4989783502494981,0.5857023371265325,-0.08672398687703442
19,0.38914795958844794,0.3960108997819634,-0.0068629401935154655
20,0.7545842252304523,0.4678244665089892,0.28675975872146314
21,0.3864840977982917,0.6414876237841769,-0.2550035259858852
22,0.26916796807067245,0.23570306067562505,0.0334649073950474
23,0.8013197523668665,0.6196388726478809,0.1816808797189856
24,0.6532650570852584,0.4527691118180429,0.20049594526721548
25,0.5199548066757007,0.5958814791323973,-0.0759266724566966
26,0.5202460000412326,0.3988564270019766,0.12138957303925596
27,0.44147424211221253,0.2668820578659198,0.17459218424629275
28,0.37043202244911516,0.3609602064885566,0.009471815960558572
29,0.45551612782285683,0.49063954818207,-0.035123420359213176
30,0.349887737261576,0.22366600022512273,0.12622173703645329
31,0.7399080588662658,0.5269637471431791,0.2129443117230867
32,0.3345692805838349,0.4760982404246561,-0.1415289598408212
33,0.3364856167469334,0.23767781458246837,0.09880780216446503
34,0.707560016775281,0.3963798547979465,0.3111801619773345
35,0.39164497148118976,0.6302680396764306,-0.23862306819524087
36,0.4471404332176587,0.32881408359838027,0.1183263496192784
37,0.5219945408682363,0.3539606858819951,0.16803385498624118
38,0.747076643676512,0.3577679264976913,0.38930871717882076
39,0.41619432842179804,0.5641354019963293,-0.14794107357453123
40,0.5077635603290371,0.559149028639362,-0.05138546831032487
41,0.49998812330824155,0.4583571843433784,0.04163093896486314
42,0.29159827537124516,0.31514294981260055,-0.023544674441355384
43,0.39206717892089576,0.5824172912367933,-0.19035011231589755
44,0.29809702783378106,0.49359306628439187,-0.1954960384506108
45,0.28284499258034995,0.8156491913129824,-0.5328041987326324
46,0.36950456910468227,0.5043768983782326,-0.13487232927355036
47,0.5414415545977156,0.3318267006343455,0.2096148539633701
48,0.33929204556135373,0.2632925995502833,0.07599944601107045
49,0.5572031273751697,0.2560468894848002,0.30115623789036955
50,0.38442080765227754,0.308732755668618,0.07568805198365952
51,0.3351179706217726,0.47712184478670205,-0.14200387416492943
52,0.6072022906280331,0.5558252092245071,0.05137708140352604
53,0.44441660066655003,0.5237085256576822,-0.07929192499113219
54,0.469494581754833,0.43921268091518745,0.030281900839645548
55,0.3955545475990372,0.4331992424328907,-0.03764469483385352
56,0.4691239790166336,0.33313313711680287,0.13599084189983074
57,0.48508441064304564,0.5044606627227703,-0.01937625207972471
58,0.5166529084484712,0.5740417655686318,-0.05738885712016062
59,0.5799149790576555,0.3953658981304754,0.18454908092718014
60,0.6440153927886852,0.5094690312811533,0.13454636150753196
61,0.39349762538251803,0.5287009684575728,-0.13520334307505472
62,0.6694695492134733,0.5671592268779785,0.10231032233549486
63,0.49534802701016184,0.6057339385943052,-0.1103859115841434
64,0.40407331177983924,0.4499073998314094,-0.04583408805157019
65,0.4797341273437033,0.36708320869461053,0.11265091864909277
66,0.5040263835346017,0.6728759724204625,-0.16884958888586077
67,0.6135628308833891,0.6166331220966317,-0.0030702912132425375
68,0.3599674253851991,0.5455061081490217,-0.18553868276382257
69,0.33724393822775484,0.4717697961919606,-0.13452585796420574
70,0.5266967471852412,0.5136519160046775,0.013044831180563654
71,0.7158981350321583,0.5691180408749276,0.1467800941572307
72,0.6871190643525328,0.6372160288660563,0.049903035486476455
73,0.39970138363450286,0.46945245114524575,-0.06975106751074289
74,0.425231404389513,0.2052877833487191,0.2199436210407939
75,0.44027631420763524,0.48415330886477426,-0.04387699465713901
76,0.38896437932998756,0.6139808480244321,-0.22501646869444453
77,0.3242041202621059,0.305538543724649,0.018665576537456874
78,0.5422959671688211,0.6410080110837653,-0.09871204391494415
79,0.4352473382808558,0.44743215262615343,-0.012184814345297612
80,0.47859226358303364,0.5134727232191046,-0.034880459636071004
81,0.4525107818866663,0.32108628956744306,0.13142449231922326
82,0.5513491596832174,0.48739672472723866,0.06395243495597874
83,0.5708856304142244,0.3115638979951755,0.2593217324190489
84,0.3643006724025436,0.3360389653088258,0.02826170709371778
85,0.3368459931459503,0.35728062832960716,-0.020434635183656846
86,0.4574195945540046,0.5891995122731132,-0.13177991771910857
87,0.45541494113002234,0.5935390470334484,-0.13812410590342605
88,0.1665024464184478,0.2772981527117244,-0.11079570629327662
89,0.5473894429004662,0.506863345492932,0.04052609740753421
90,0.5204318591766032,0.46476269725576275,0.055669161920840426
91,0.38114798000825495,0.4734944373892121,-0.09234645738095715
92,0.40058689055049557,0.6650529267804132,-0.2644660362299176
93,0.3842945266529424,0.5677753115690869,-0.1834807849161445
94,0.599028915336949,0.5167705447772983,0.08225837055965068
95,0.6713070794843674,0.4875294844451067,0.18377759503926072
96,0.4596358493936225,0.3539649065904373,0.10567094280318523
97,0.6022252533067993,0.3681725402434464,0.2340527130633529
98,0.8156442473895719,0.253379933319639,0.5622643140699328
99,0.3584945415783186,0.4056131266764139,-0.0471185850980953
100,0.39245344838320645,0.307429368593215,0.08502407978999144
101,0.6599983828179281,0.6077170042735452,0.05228137854438286
102,0.3394287283366005,0.6559645120828521,-0.31653578374625163
103,0.31789845432006847,0.612762422953672,-0.29486396863360353
104,0.41055226256316285,0.34805371218141734,0.06249855038174551
105,0.36804422981360163,0.3987177528736871,-0.030673523060085472
106,0.3993108322401461,0.2982629939039387,0.1010478383362074
107,0.1907298983495616,0.48939862888281127,-0.29866873053324966
108,0.5170107856495461,0.44862625267456735,0.0683845329749787
109,0.28358631514425475,0.39730232496182294,-0.11371600981756819
110,0.3915298655455968,0.6549112379966525,-0.2633813724510557
111,0.6564560269760696,0.3704109026841442,0.2860451242919254
112,0.381880077475822,0.3644259182673845,0.01745415920843746
113,0.32574822447187346,0.4734292042452603,-0.14768097977338684
114,0.3287309858527206,0.31469623802629826,0.014034747826422334
115,0.3683332099238889,0.44199160236938323,-0.07365839244549433
116,0.43489760222788093,0.5232112092338252,-0.08831360700594432
117,0.2929171453339499,0.8527536590606916,-0.5598365137267416
118,0.4022711550295579,0.29945846494561873,0.10281269008393917
119,0.5803882686131469,0.27530303185687915,0.3050852367562677
120,0.22005135417622967,0.43880219716405827,-0.2187508429878286
121,0.2857434600696379,0.23838128632341582,0.04736217374622209
122,0.6220464298883884,0.3889593711969342,0.23308705869145424
123,0.5515795070701471,0.6544855926564443,-0.10290608558629721
124,0.34914004182186115,0.3705955303822964,-0.021455488560435276
125,0.34703005777341484,0.34153995330888426,0.005490104464530576
126,0.2185124051038036,0.39295765961352186,-0.17444525450971826
127,0.35496810630248377,0.528253110665099,-0.17328500436261518
128,0.24876374452076444,0.6295777074242135,-0.38081396290344904
129,0.18264035960514377,0.5076818731798151,-0.32504151357467126
130,0.36996057924835696,0.4105365016869695,-0.04057592243861252
131,0.4941313112217883,0.6172484543779434,-0.12311714315615507
132,0.3638990247651007,0.49208073725755863,-0.1281817124924579
133,0.31127913083702313,0.4492306834272004,-0.13795155259017727
134,0.48733302520125177,0.34021472512531875,0.14711830007593302
135,0.27341098155127136,0.3642801853590025,-0.09086920380773111
136,0.4167019353316574,0.38660453883094664,0.03009739650071075
137,0.21077198072669034,0.2447239557596355,-0.03395197503294514
138,0.39916866575283927,0.5502626324806412,-0.15109396672780195
139,0.423242158246848,0.5800133164801571,-0.15677115823330906
140,0.3968170594223803,0.4364413023368363,-0.03962424291445599
141,0.5726091913871704,0.5282148141878013,0.04439437719936912
142,0.4854554184988969,0.4387194062432199,0.04673601225567697
143,0.21377886142038416,0.3020256912404665,-0.08824682982008236
144,0.5653703462625532,0.474205406945901,0.0911649393166522
145,0.6311329937241118,0.31074962480319984,0.32038336892091196
146,0.7791169039877326,0.6199408137820243,0.15917609020570833
147,0.5231431473349072,0.3431174630480159,0.1800256842868913
148,0.7217187516845318,0.5946924362487622,0.1270263154357696
149,0.778264325833382,0.5326208074952175,0.24564351833816456
150,0.582047089335561,0.5516941983221767,0.030352891013384342
151,0.4866460067541461,0.3306243789389891,0.156021627815157
152,0.2395195263690063,0.24089794915442508,-0.0013784227854187758
153,0.4819691466150276,0.5055010677518587,-0.023531921136831058
154,0.448561983708002,0.38629697735573987,0.06226500635226212
155,0.2731546323240116,0.5208129636254931,-0.24765833130148152
156,0.6735089765319772,0.3451703903487569,0.32833858618322026
157,0.43195541158378026,0.3110137731005661,0.12094163848321415
158,0.6237193439606422,0.39574286164292327,0.22797648231771894
159,0.6921405848601199,0.615716482896658,0.07642410196346183
160,0.3482463022029674,0.33675021054671067,0.011496091656256702
161,0.6728311487158406,0.3728346013051439,0.2999965474106967
162,0.7254427872078129,0.4700769208349244,0.25536586637288844
163,0.34767350552508336,0.6094530853287736,-0.26177957980369027
164,0.3930465986863993,0.6522790450989892,-0.25923244641258986
165,0.5896713942867238,0.4044733962173567,0.1851979980693671
166,0.21496605965779142,0.563248850476112,-0.34828279081832053
167,0.5317073839313796,0.4175413571917276,0.11416602673965204
168,0.6998559943174432,0.46286463087599966,0.2369913634414435
169,0.7996228430183964,0.6012052745510882,0.19841756846730818
170,0.3497806225794545,0.4580494584395024,-0.10826883586004787
171,0.538469353697791,0.5962867199319609,-0.05781736623416989
172,0.47976460862917564,0.3948590880429184,0.08490552058625722
173,0.3104191132496057,0.5809436038635837,-0.270524490613978
174,0.32017329164590974,0.3760141753123531,-0.05584088366644335
175,0.32018275356844905,0.6052679797348594,-0.2850852261664103
176,0.3572746808213945,0.30487998159353835,0.05239469922785617
177,0.6241006196944314,0.5432129091138532,0.0808877105805782
178,0.3572321915327917,0.35551590048593085,0.0017162910468608295
179,0.2091493839427395,0.4993149898737742,-0.2901656059310347
180,0.7631184368208361,0.49844955843631106,0.2646688783845251
181,0.7024946510675981,0.5539528428221625,0.1485418082454356
182,0.668438587486825,0.6249731795586229,0.04346540792820219
183,0.7482038418430225,0.6576611121851401,0.09054272965788235
184,0.23880609469755265,0.2571158355585867,-0.01830974086103404
185,0.5824739213548209,0.44777395152022303,0.13469996983459787
186,0.18565497594841987,0.3223971301706204,-0.1367421542222005
187,0.6403646477874895,0.42789333316011896,0.2124713146273705
188,0.6542254289805989,0.37858697969655647,0.2756384492840424
189,0.35985744551695753,0.4765672581112293,-0.11670981259427177
190,0.43829618172559426,0.517066922667114,-0.0787707409415197
191,0.18322891276934852,0.20323839922922354,-0.02000948645987502
192,0.26121952782564445,0.32492441163862734,-0.0637048838129829
193,0.7656868649151487,0.30693865142235305,0.45874821349279565
194,0.447237701928272,0.6766138513012095,-0.22937614937293754
195,0.2830918529245126,0.5930189741076383,-0.30992712118312565
196,0.3026541031442854,0.5021441468610242,-0.19949004371673873
197,0.3110527901748476,0.3145213270883146,-0.0034685369134669908
198,0.33693772963185353,0.5667981413899699,-0.22986041175811633
199,0.4635340998149418,0.5336347010741348,-0.07010060125919299
200,0.2721504915772716,0.35625518082278596,-0.08410468924551434
