unit,Station,mode_label,easting,northing,lon,lat,in_greater_london_extent
531,Buckhurst Hill,LU,541777.5666,193891.179,0.0468240751565627,51.625982897027,False
532,Burnt Oak,LU,520325.5892,190759.991599999,-0.263993694832954,51.602834176714175,True
533,London City Airport,DLR,542325.0,180248.3333333333,0.04921,51.503256666666665,True
534,Caledonian Road,LU,530558.3633,184969.7784,-0.1184734764123798,51.54852353192346,True
5345,New Cross Gate,LO,536189.0,176946.0,-0.04041,51.47509,True
535,Camden Town,LU,528910.2525,183893.5725,-0.1426229702612466,51.53923059833878,True
5356,Crystal Palace,LO,534088.0,170540.0,-0.07307,51.41803,True
536,Cannon Street LU,LU,532611.4757,180900.064999999,-0.0904119205678546,51.511473069259,True
5362,Forest Hill,LO,535400.25,172965.25,-0.0532875,51.439505,True
537,Canons Park,LU,518186.8967,191252.07,-0.2946941062058866,51.60770907048488,True
5372,Wandsworth Road,LO,529397.0,176250.0,-0.13841,51.47043,True
5376,Norwood Junction,LO,534090.6666666666,168267.0,-0.0738933333333333,51.397596666666665,True
5378,Penge West,LO,534920.0,170522.0,-0.06112,51.41767,True
538,Pontoon Dock,DLR,541229.0,180131.0,0.03338,51.50248,True
539,Chalfont & Latimer,LU,499633.5338,197564.355,-0.5607234520464773,51.66803142622906,False
5397,Anerley,LO,534606.5,169900.0,-0.065865,51.412155,True
540,Chalk Farm,LU,528202.4569,184390.607000001,-0.1526421476691667,51.54385835909765,True
5404,Brockley,LO,536397.0,175762.0,-0.03788,51.4644,True
541,Chancery Lane,LU,531123.9465,181615.465500001,-0.1115693026029435,51.51824890350831,True
5411,West Croydon NR,"LO,TRM",532169.0,166102.25,-0.102305,51.378595,True
5418,Honor Oak Park,LO,535885.0,174138.0,-0.04587,51.44993,True
542,Embankment,LU,530419.3254,180395.871400001,-0.1221695343079573,51.50745185655674,True
5421,Denmark Hill,LO,532776.0,176086.0,-0.08985,51.46817,True
5423,Peckham Rye,LO,534191.0,176339.0,-0.0694,51.47011,True
5424,Queens Road Peckham,LO,535014.0,176773.0,-0.05739,51.47382,True
543,Chesham,LU,496079.3711,201633.0847,-0.6109804023947352,51.70522161796168,False
5437,Sydenham,LO,535363.6666666666,171609.33333333334,-0.0543299999999999,51.42733333333333,True
544,Chigwell,LU,543795.2009,193021.039000001,0.0755949749891976,51.61765286220907,False
