NLC,mode_label,has_lu,is_lu_only,is_tram_only,is_dlr_only,is_lo_only,is_ezl_only
612,LU,True,True,False,False,False,False
613,LU,True,True,False,False,False,False
614,LU,True,True,False,False,False,False
615,LU,True,True,False,False,False,False
616,LU,True,True,False,False,False,False
617,"LO,LU",True,False,False,False,False,False
618,"LO,LU",True,False,False,False,False,False
619,LU,True,True,False,False,False,False
620,"LO,LU",True,False,False,False,False,False
621,"LO,LU",True,False,False,False,False,False
622,LU,True,True,False,False,False,False
623,LU,True,True,False,False,False,False
624,LU,True,True,False,False,False,False
625,LU,True,True,False,False,False,False
626,LU,True,True,False,False,False,False
627,LU,True,True,False,False,False,False
628,LU,True,True,False,False,False,False
629,LU,True,True,False,False,False,False
630,LU,True,True,False,False,False,False
631,LU,True,True,False,False,False,False
632,LU,True,True,False,False,False,False
633,LU,True,True,False,False,False,False
634,"EZL,LU",True,False,False,False,False,False
635,LU,True,True,False,False,False,False
636,LU,True,True,False,False,False,False
637,LU,True,True,False,False,False,False
638,LU,True,True,False,False,False,False
639,LU,True,True,False,False,False,False
640,LU,True,True,False,False,False,False
641,LU,True,True,False,False,False,False
642,LU,True,True,False,False,False,False
643,LU,True,True,False,False,False,False
645,LU,True,True,False,False,False,False
646,LU,True,True,False,False,False,False
647,LU,True,True,False,False,False,False
648,LU,True,True,False,False,False,False
649,LU,True,True,False,False,False,False
650,LU,True,True,False,False,False,False
653,LU,True,True,False,False,False,False
654,LU,True,True,False,False,False,False
655,LU,True,True,False,False,False,False
656,LU,True,True,False,False,False,False
6560,EZL,False,False,False,False,False,True
6561,EZL,False,False,False,False,False,True
6562,EZL,False,False,False,False,False,True
657,LU,True,True,False,False,False,False
659,"LO,LU",True,False,False,False,False,False
660,LU,True,True,False,False,False,False
661,LU,True,True,False,False,False,False
662,LU,True,True,False,False,False,False
663,LU,True,True,False,False,False,False
664,LU,True,True,False,False,False,False
665,LU,True,True,False,False,False,False
667,LU,True,True,False,False,False,False
668,LU,True,True,False,False,False,False
669,LU,True,True,False,False,False,False
670,"EZL,LU",True,False,False,False,False,False
671,LU,True,True,False,False,False,False
672,LU,True,True,False,False,False,False
673,LU,True,True,False,False,False,False
674,LU,True,True,False,False,False,False
675,LU,True,True,False,False,False,False
676,LU,True,True,False,False,False,False
677,LU,True,True,False,False,False,False
678,LU,True,True,False,False,False,False
679,LU,True,True,False,False,False,False
680,"LO,LU",True,False,False,False,False,False
681,LU,True,True,False,False,False,False
