reference_cluster,matched_candidate_cluster,intersection,reference_size,candidate_size,jaccard,recall,precision
0,3,170,206,170,0.8252427184466019,0.8252427184466019,1.0
1,1,33,36,33,0.9166666666666666,0.9166666666666666,1.0
2,0,60,95,86,0.49586776859504134,0.631578947368421,0.6976744186046512
3,4,11,15,13,0.6470588235294118,0.7333333333333333,0.8461538461538461
4,2,61,68,78,0.7176470588235294,0.8970588235294118,0.782051282051282
