mode_group,0,1,2,3,4
LU only,0.5833333333333334,0.06578947368421052,0.20614035087719298,0.02631578947368421,0.11842105263157894
LU + other mode (interchange),0.47619047619047616,0.023809523809523808,0.3333333333333333,0.07142857142857142,0.09523809523809523
DLR-only,0.2631578947368421,0.47368421052631576,0.15789473684210525,0.05263157894736842,0.05263157894736842
Overground-only,0.3375,0.0125,0.3375,0.0125,0.3
Elizabeth line-only,0.5,0.0,0.03571428571428571,0.10714285714285714,0.35714285714285715
"other non-LU mix (DLR,EZL)",1.0,0.0,0.0,0.0,0.0
"other non-LU mix (DLR,LO)",0.0,1.0,0.0,0.0,0.0
"other non-LU mix (EZL,LO)",1.0,0.0,0.0,0.0,0.0
"other non-LU mix (LO,TRM)",0.0,0.0,0.0,0.0,1.0
