K,BIC_refit,AIC_refit,log_likelihood_per_station,saved_vs_refit_ARI,converged,n_iter
5,-1499102.3735544372,-1513017.0107800765,1809.4107271191388,1.0,True,15
6,-1501451.3942591287,-1518149.7669808383,1817.1616273581408,1.0,True,26
